# time 'Cases' 'Succeptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 1 100000 0 1 0 0
 4.000000E+00 1 100000 0 1 0 0
 8.000000E+00 1 99998 0 0 0 1
 1.200000E+01 2 99996 1 0 0 1
 1.600000E+01 2 99996 1 0 0 1
 2.000000E+01 3 99996 1 1 0 1
 2.400000E+01 4 99996 2 0 1 1
 2.800000E+01 5 99996 1 2 1 1
 3.200000E+01 4 99994 0 2 1 1
 3.600000E+01 5 99992 1 2 1 1
 4.000000E+01 4 99991 1 1 1 1
 4.400000E+01 9 99989 6 0 1 2
 4.800000E+01 8 99988 3 2 1 2
 5.200000E+01 11 99985 4 2 2 3
 5.600000E+01 12 99983 5 1 3 3
 6.000000E+01 14 99982 5 2 4 3
 6.400000E+01 14 99978 6 0 5 3
 6.800000E+01 15 99977 6 1 5 3
 7.200000E+01 17 99977 7 1 5 4
 7.600000E+01 19 99977 8 1 5 5
 8.000000E+01 20 99976 8 2 5 5
 8.400000E+01 25 99973 13 1 5 6
 8.800000E+01 30 99970 15 2 5 8
 9.200000E+01 38 99966 19 1 6 12
 9.600000E+01 41 99961 18 3 6 14
 1.000000E+02 56 99942 27 4 7 18
 1.040000E+02 68 99931 31 9 10 18
 1.080000E+02 87 99911 42 12 12 21
 1.120000E+02 95 99885 42 12 13 28
 1.160000E+02 113 99858 55 13 14 31
 1.200000E+02 148 99838 74 14 18 42
 1.240000E+02 164 99812 67 22 23 52
 1.280000E+02 199 99766 81 25 29 64
 1.320000E+02 251 99725 115 21 33 82
 1.360000E+02 305 99673 132 39 40 94
 1.400000E+02 375 99607 179 35 50 111
 1.440000E+02 449 99528 205 50 58 136
 1.480000E+02 538 99430 249 60 71 158
 1.520000E+02 661 99287 318 71 81 191
 1.560000E+02 783 99155 365 97 95 226
 1.600000E+02 979 98978 458 129 111 281
 1.640000E+02 1187 98729 553 147 138 349
 1.680000E+02 1453 98468 686 196 159 412
 1.720000E+02 1761 98101 834 223 209 495
 1.760000E+02 2154 97710 1029 267 255 603
 1.800000E+02 2612 97156 1279 305 310 718
 1.840000E+02 3191 96539 1576 388 365 862
 1.880000E+02 3793 95802 1805 473 455 1060
 1.920000E+02 4715 94853 2263 596 561 1295
 1.960000E+02 5649 93716 2677 689 682 1601
 2.000000E+02 6706 92549 3131 790 828 1957
 2.040000E+02 8013 91072 3676 986 1005 2346
 2.080000E+02 9521 89271 4330 1196 1196 2799
 2.120000E+02 11476 87219 5218 1358 1492 3408
 2.160000E+02 13468 84952 5974 1614 1792 4088
 2.200000E+02 15730 82242 6805 1883 2135 4907
 2.240000E+02 18318 79263 7699 2236 2540 5843
 2.280000E+02 21320 75738 8709 2638 2995 6978
 2.320000E+02 24519 71815 9649 3021 3536 8313
 2.360000E+02 27945 67646 10538 3425 4157 9825
 2.400000E+02 31547 63115 11306 3793 4921 11527
 2.440000E+02 35269 58492 11978 4179 5731 13381
 2.480000E+02 38991 53793 12348 4597 6622 15424
 2.520000E+02 42388 49138 12188 5058 7604 17538
 2.560000E+02 46012 44466 12310 5116 8637 19949
 2.600000E+02 49343 40070 11898 5407 9636 22402
 2.640000E+02 52306 36035 11257 5438 10682 24929
 2.680000E+02 54926 32308 10440 5364 11787 27335
 2.720000E+02 57386 29098 9531 5233 12825 29797
 2.760000E+02 59588 26250 8596 4989 13831 32172
 2.800000E+02 61165 23924 7365 4650 14787 34363
 2.840000E+02 62757 21783 6426 4280 15660 36391
 2.880000E+02 64137 20039 5412 3953 16457 38315
 2.920000E+02 65137 18599 4534 3415 17168 40020
 2.960000E+02 65984 17468 3795 2926 17770 41493
 3.000000E+02 66683 16579 2999 2585 18319 42780
 3.040000E+02 67171 15846 2414 2111 18814 43832
 3.080000E+02 67554 15290 1907 1718 19181 44748
 3.120000E+02 67937 14824 1502 1453 19484 45498
 3.160000E+02 68183 14486 1173 1150 19740 46120
 3.200000E+02 68371 14203 926 918 19937 46590
 3.240000E+02 68569 13967 765 767 20086 46951
 3.280000E+02 68714 13791 605 607 20236 47266
 3.320000E+02 68834 13647 489 481 20340 47524
 3.360000E+02 68854 13566 329 367 20432 47726
 3.400000E+02 68929 13494 266 287 20489 47887
 3.440000E+02 68983 13439 202 234 20543 48004
 3.480000E+02 69012 13389 149 183 20585 48095
 3.520000E+02 69056 13349 110 148 20613 48185
 3.560000E+02 69092 13313 111 102 20631 48248
 3.600000E+02 69098 13294 82 75 20652 48289
 3.640000E+02 69107 13283 58 56 20664 48329
 3.680000E+02 69119 13263 52 41 20676 48350
 3.720000E+02 69137 13256 38 45 20686 48368
 3.760000E+02 69136 13247 27 30 20693 48386
 3.800000E+02 69139 13240 18 26 20698 48397
 3.840000E+02 69157 13232 23 25 20703 48406
 3.880000E+02 69148 13229 9 15 20706 48418
 3.920000E+02 69154 13225 12 9 20708 48425
 3.960000E+02 69157 13221 11 10 20709 48427
 4.000000E+02 69155 13221 4 7 20713 48431

#Simulation ended (eff.: 0.941608, detail below)
	#Events: 1144739
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
