# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Dead'
 0.000000E+00 0 7000 0 0 0 0
 1.000000E+00 0 7000 0 0 0 0
 2.000000E+00 0 7000 0 0 0 0
 3.000000E+00 0 7000 0 0 0 0
 4.000000E+00 0 7000 0 0 0 0
 5.000000E+00 1 7000 1 0 0 0
 6.000000E+00 0 7000 0 0 0 0
 7.000000E+00 1 7000 1 0 0 0
 8.000000E+00 0 7000 0 0 0 0
 9.000000E+00 0 7000 0 0 0 0
 1.000000E+01 0 7000 0 0 0 0
 1.100000E+01 0 7000 0 0 0 0
 1.200000E+01 1 7000 1 0 0 0
 1.300000E+01 0 7000 0 0 0 0
 1.400000E+01 1 7000 1 0 0 0
 1.500000E+01 0 7000 0 0 0 0
 1.600000E+01 0 7000 0 0 0 0
 1.700000E+01 0 7000 0 0 0 0
 1.800000E+01 0 7000 0 0 0 0
 1.900000E+01 0 7000 0 0 0 0
 2.000000E+01 0 7000 0 0 0 0
 2.100000E+01 0 7000 0 0 0 0
 2.200000E+01 1 7000 1 0 0 0
 2.300000E+01 0 7000 0 0 0 0
 2.400000E+01 0 7000 0 0 0 0
 2.500000E+01 2 7000 2 0 0 0
 2.600000E+01 1 7000 1 0 0 0
 2.700000E+01 0 7000 0 0 0 0
 2.800000E+01 2 7000 2 0 0 0
 2.900000E+01 0 7000 0 0 0 0
 3.000000E+01 1 7000 1 0 0 0
 3.100000E+01 1 7000 1 0 0 0
 3.200000E+01 0 7000 0 0 0 0
 3.300000E+01 1 7000 1 0 0 0
 3.400000E+01 0 7000 0 0 0 0
 3.500000E+01 0 7000 0 0 0 0
 3.600000E+01 0 7000 0 0 0 0
 3.700000E+01 0 7000 0 0 0 0
 3.800000E+01 0 7000 0 0 0 0
 3.900000E+01 0 7000 0 0 0 0
 4.000000E+01 0 7000 0 0 0 0
 4.100000E+01 0 7000 0 0 0 0
 4.200000E+01 0 7000 0 0 0 0
 4.300000E+01 0 7000 0 0 0 0
 4.400000E+01 0 7000 0 0 0 0
 4.500000E+01 0 7000 0 0 0 0
 4.600000E+01 0 7000 0 0 0 0
 4.700000E+01 0 7000 0 0 0 0
 4.800000E+01 2 7000 2 0 0 0
 4.900000E+01 1 7000 1 0 0 0
 5.000000E+01 1 7000 1 0 0 0
 5.100000E+01 0 7000 0 0 0 0
 5.200000E+01 0 7000 0 0 0 0
 5.300000E+01 2 7000 2 0 0 0
 5.400000E+01 3 7000 3 0 0 0
 5.500000E+01 0 7000 0 0 0 0
 5.600000E+01 3 7000 3 0 0 0
 5.700000E+01 7 7000 7 0 0 0
 5.800000E+01 4 7000 4 0 0 0
 5.900000E+01 9 7000 9 0 0 0
 6.000000E+01 6 6999 5 1 0 0
 6.100000E+01 8 6999 7 0 0 1
 6.200000E+01 8 6999 7 0 0 1
 6.300000E+01 10 6999 9 0 0 1
 6.400000E+01 10 6999 9 0 0 1
 6.500000E+01 17 6999 15 1 0 1
 6.600000E+01 12 6998 10 1 0 1
 6.700000E+01 13 6996 11 1 0 1
 6.800000E+01 23 6992 16 6 0 1
 6.900000E+01 30 6990 21 7 1 1
 7.000000E+01 29 6980 18 7 1 3
 7.100000E+01 28 6978 17 7 1 3
 7.200000E+01 35 6974 25 5 1 4
 7.300000E+01 42 6972 29 6 3 4
 7.400000E+01 47 6966 33 5 5 4
 7.500000E+01 52 6962 37 6 5 4
 7.600000E+01 57 6958 42 4 5 6
 7.700000E+01 55 6955 35 8 5 7
 7.800000E+01 74 6949 52 9 5 8
 7.900000E+01 82 6946 61 8 5 8
 8.000000E+01 75 6942 55 7 5 8
 8.100000E+01 74 6938 50 10 6 8
 8.200000E+01 108 6925 80 12 6 10
 8.300000E+01 100 6918 66 15 7 12
 8.400000E+01 140 6909 100 21 7 12
 8.500000E+01 166 6888 120 26 7 13
 8.600000E+01 190 6858 131 35 8 16
 8.700000E+01 212 6832 146 37 9 20
 8.800000E+01 223 6806 150 37 11 25
 8.900000E+01 239 6782 166 34 13 26
 9.000000E+01 284 6755 200 35 17 32
 9.100000E+01 283 6732 196 33 21 33
 9.200000E+01 313 6709 214 35 25 39
 9.300000E+01 343 6691 239 34 28 42
 9.400000E+01 398 6656 278 44 30 46
 9.500000E+01 397 6621 271 43 32 51
 9.600000E+01 467 6598 332 47 34 54
 9.700000E+01 514 6568 363 57 35 59
 9.800000E+01 568 6523 395 63 38 72
 9.900000E+01 612 6486 421 69 43 79
 1.000000E+02 696 6441 486 83 45 82

#Simulation ended (eff.: 0.959422, detail below)
	#Events: 12957
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
