# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Dead'
 0.000000E+00 0 4700 0 0 0 0
 1.000000E+00 0 4700 0 0 0 0
 2.000000E+00 0 4700 0 0 0 0
 3.000000E+00 1 4700 1 0 0 0
 4.000000E+00 0 4700 0 0 0 0
 5.000000E+00 0 4700 0 0 0 0
 6.000000E+00 0 4700 0 0 0 0
 7.000000E+00 0 4700 0 0 0 0
 8.000000E+00 0 4700 0 0 0 0
 9.000000E+00 0 4700 0 0 0 0
 1.000000E+01 0 4700 0 0 0 0
 1.100000E+01 0 4700 0 0 0 0
 1.200000E+01 0 4700 0 0 0 0
 1.300000E+01 0 4700 0 0 0 0
 1.400000E+01 0 4700 0 0 0 0
 1.500000E+01 0 4700 0 0 0 0
 1.600000E+01 0 4700 0 0 0 0
 1.700000E+01 0 4700 0 0 0 0
 1.800000E+01 0 4700 0 0 0 0
 1.900000E+01 0 4700 0 0 0 0
 2.000000E+01 0 4700 0 0 0 0
 2.100000E+01 0 4700 0 0 0 0
 2.200000E+01 1 4700 1 0 0 0
 2.300000E+01 0 4700 0 0 0 0
 2.400000E+01 1 4700 1 0 0 0
 2.500000E+01 0 4700 0 0 0 0
 2.600000E+01 0 4700 0 0 0 0
 2.700000E+01 0 4700 0 0 0 0
 2.800000E+01 0 4700 0 0 0 0
 2.900000E+01 0 4700 0 0 0 0
 3.000000E+01 0 4700 0 0 0 0
 3.100000E+01 0 4700 0 0 0 0
 3.200000E+01 0 4700 0 0 0 0
 3.300000E+01 0 4700 0 0 0 0
 3.400000E+01 1 4700 0 1 0 0
 3.500000E+01 2 4700 1 1 0 0
 3.600000E+01 2 4700 1 1 0 0
 3.700000E+01 1 4699 0 1 0 0
 3.800000E+01 1 4699 0 1 0 0
 3.900000E+01 2 4699 1 1 0 0
 4.000000E+01 1 4699 0 1 0 0
 4.100000E+01 4 4697 3 1 0 0
 4.200000E+01 2 4697 1 1 0 0
 4.300000E+01 2 4697 1 1 0 0
 4.400000E+01 1 4697 0 1 0 0
 4.500000E+01 1 4697 0 0 0 1
 4.600000E+01 3 4697 1 1 0 1
 4.700000E+01 2 4695 0 1 0 1
 4.800000E+01 3 4694 1 1 0 1
 4.900000E+01 2 4694 0 1 0 1
 5.000000E+01 4 4693 2 1 0 1
 5.100000E+01 3 4692 1 1 0 1
 5.200000E+01 2 4691 1 0 0 1
 5.300000E+01 4 4691 2 1 0 1
 5.400000E+01 3 4690 1 1 0 1
 5.500000E+01 6 4689 4 1 0 1
 5.600000E+01 5 4688 3 1 0 1
 5.700000E+01 4 4686 2 0 0 2
 5.800000E+01 6 4686 4 0 0 2
 5.900000E+01 4 4685 2 0 0 2
 6.000000E+01 2 4685 0 0 0 2
 6.100000E+01 11 4685 9 0 0 2
 6.200000E+01 7 4685 5 0 0 2
 6.300000E+01 7 4685 5 0 0 2
 6.400000E+01 9 4685 7 0 0 2
 6.500000E+01 5 4685 3 0 0 2
 6.600000E+01 10 4685 8 0 0 2
 6.700000E+01 12 4685 10 0 0 2
 6.800000E+01 9 4685 6 1 0 2
 6.900000E+01 18 4685 15 0 0 3
 7.000000E+01 18 4685 13 2 0 3
 7.100000E+01 27 4683 21 3 0 3
 7.200000E+01 25 4681 20 1 0 4
 7.300000E+01 23 4678 18 1 0 4
 7.400000E+01 24 4674 18 2 0 4
 7.500000E+01 33 4672 26 2 1 4
 7.600000E+01 28 4671 21 2 1 4
 7.700000E+01 41 4669 34 2 1 4
 7.800000E+01 37 4667 28 2 2 5
 7.900000E+01 46 4663 36 3 2 5
 8.000000E+01 38 4663 27 4 2 5
 8.100000E+01 57 4658 47 3 2 5
 8.200000E+01 43 4658 32 3 2 6
 8.300000E+01 61 4657 48 4 2 7
 8.400000E+01 68 4655 52 6 3 7
 8.500000E+01 78 4650 58 9 3 8
 8.600000E+01 97 4648 73 12 3 9
 8.700000E+01 114 4637 82 19 3 10
 8.800000E+01 134 4625 100 20 3 11
 8.900000E+01 132 4612 92 22 4 14
 9.000000E+01 158 4589 118 19 5 16
 9.100000E+01 152 4581 112 16 6 18
 9.200000E+01 181 4570 133 22 7 19
 9.300000E+01 215 4549 158 27 9 21
 9.400000E+01 221 4528 158 28 12 23
 9.500000E+01 246 4508 181 29 13 23
 9.600000E+01 253 4490 179 32 17 25
 9.700000E+01 322 4465 242 31 18 31
 9.800000E+01 335 4439 240 43 18 34
 9.900000E+01 394 4409 292 42 18 42
 1.000000E+02 404 4375 291 48 20 45

#Simulation ended (eff.: 0.960035, detail below)
	#Events: 7735
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
