# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Dead'
 0.000000E+00 1 100000 0 1 0 0
 1.000000E+00 1 100000 0 1 0 0
 2.000000E+00 2 99999 1 0 0 1
 3.000000E+00 1 99999 0 0 0 1
 4.000000E+00 2 99999 1 0 0 1
 5.000000E+00 2 99998 1 0 0 1
 6.000000E+00 1 99998 0 0 0 1
 7.000000E+00 1 99998 0 0 0 1
 8.000000E+00 2 99998 1 0 0 1
 9.000000E+00 3 99998 2 0 0 1
 1.000000E+01 3 99998 2 0 0 1
 1.100000E+01 3 99998 2 0 0 1
 1.200000E+01 2 99998 1 0 0 1
 1.300000E+01 3 99998 2 0 0 1
 1.400000E+01 2 99998 1 0 0 1
 1.500000E+01 2 99998 1 0 0 1
 1.600000E+01 2 99998 1 0 0 1
 1.700000E+01 2 99998 1 0 0 1
 1.800000E+01 1 99998 0 0 0 1
 1.900000E+01 2 99998 1 0 0 1
 2.000000E+01 2 99998 1 0 0 1
 2.100000E+01 3 99998 2 0 0 1
 2.200000E+01 2 99998 0 1 0 1
 2.300000E+01 3 99998 1 1 0 1
 2.400000E+01 5 99997 3 1 0 1
 2.500000E+01 4 99997 2 0 0 2
 2.600000E+01 5 99997 3 0 0 2
 2.700000E+01 5 99997 3 0 0 2
 2.800000E+01 3 99997 1 0 0 2
 2.900000E+01 4 99997 2 0 0 2
 3.000000E+01 3 99997 1 0 0 2
 3.100000E+01 5 99997 2 1 0 2
 3.200000E+01 4 99997 1 0 1 2
 3.300000E+01 4 99997 1 0 1 2
 3.400000E+01 5 99997 2 0 1 2
 3.500000E+01 4 99997 1 0 1 2
 3.600000E+01 4 99997 0 0 1 3
 3.700000E+01 6 99997 2 0 1 3
 3.800000E+01 6 99997 2 0 1 3
 3.900000E+01 5 99997 1 0 1 3
 4.000000E+01 6 99997 2 0 1 3
 4.100000E+01 5 99997 1 0 1 3
 4.200000E+01 7 99997 3 0 1 3
 4.300000E+01 6 99997 2 0 1 3
 4.400000E+01 7 99997 2 1 1 3
 4.500000E+01 9 99996 3 2 1 3
 4.600000E+01 6 99996 1 1 1 3
 4.700000E+01 10 99995 4 2 1 3
 4.800000E+01 7 99995 1 1 1 4
 4.900000E+01 8 99993 2 1 1 4
 5.000000E+01 9 99993 3 1 1 4
 5.100000E+01 13 99991 7 1 1 4
 5.200000E+01 14 99991 7 1 2 4
 5.300000E+01 15 99989 7 2 2 4
 5.400000E+01 21 99986 13 2 2 4
 5.500000E+01 21 99985 13 2 2 4
 5.600000E+01 26 99983 17 2 2 5
 5.700000E+01 25 99983 15 3 2 5
 5.800000E+01 28 99981 17 4 2 5
 5.900000E+01 25 99978 13 5 2 5
 6.000000E+01 36 99976 23 5 2 6
 6.100000E+01 42 99974 27 4 2 9
 6.200000E+01 50 99971 33 4 2 11
 6.300000E+01 54 99964 36 5 2 11
 6.400000E+01 50 99957 27 9 2 12
 6.500000E+01 73 99943 44 12 3 14
 6.600000E+01 77 99937 43 16 4 14
 6.700000E+01 94 99926 57 18 5 14
 6.800000E+01 101 99910 64 14 6 17
 6.900000E+01 106 99894 64 18 6 18
 7.000000E+01 121 99877 76 15 7 23
 7.100000E+01 137 99867 85 19 8 25
 7.200000E+01 150 99856 91 21 9 29
 7.300000E+01 172 99835 107 20 10 35
 7.400000E+01 195 99813 126 22 11 36
 7.500000E+01 203 99802 121 30 11 41
 7.600000E+01 244 99772 150 34 13 47
 7.700000E+01 254 99744 150 38 14 52
 7.800000E+01 304 99705 185 44 16 59
 7.900000E+01 339 99664 208 49 18 64
 8.000000E+01 372 99635 228 49 22 73
 8.100000E+01 406 99594 236 67 24 79
 8.200000E+01 461 99533 265 81 29 86
 8.300000E+01 500 99476 287 87 31 95
 8.400000E+01 536 99411 310 84 33 109
 8.500000E+01 607 99345 362 87 37 121
 8.600000E+01 670 99260 400 100 41 129
 8.700000E+01 752 99165 448 118 44 142
 8.800000E+01 830 99082 493 131 50 156
 8.900000E+01 954 98997 586 135 60 173
 9.000000E+01 1033 98910 620 153 67 193
 9.100000E+01 1192 98769 717 191 75 209
 9.200000E+01 1316 98622 802 195 88 231
 9.300000E+01 1408 98479 849 205 101 253
 9.400000E+01 1579 98333 958 226 115 280
 9.500000E+01 1758 98149 1067 253 128 310
 9.600000E+01 1937 97965 1159 295 141 342
 9.700000E+01 2097 97727 1231 331 156 379
 9.800000E+01 2318 97482 1359 370 169 420
 9.900000E+01 2538 97197 1468 399 204 467
 1.000000E+02 2807 96915 1630 435 222 520

#Simulation ended (eff.: 0.994445, detail below)
	#Events: 112606
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
