# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Dead'
 0.000000E+00 0 15800 0 0 0 0
 1.000000E+00 0 15800 0 0 0 0
 2.000000E+00 0 15800 0 0 0 0
 3.000000E+00 0 15800 0 0 0 0
 4.000000E+00 0 15800 0 0 0 0
 5.000000E+00 0 15800 0 0 0 0
 6.000000E+00 2 15800 2 0 0 0
 7.000000E+00 1 15800 1 0 0 0
 8.000000E+00 1 15800 1 0 0 0
 9.000000E+00 0 15800 0 0 0 0
 1.000000E+01 0 15800 0 0 0 0
 1.100000E+01 0 15800 0 0 0 0
 1.200000E+01 0 15800 0 0 0 0
 1.300000E+01 0 15800 0 0 0 0
 1.400000E+01 0 15800 0 0 0 0
 1.500000E+01 1 15800 1 0 0 0
 1.600000E+01 1 15800 0 1 0 0
 1.700000E+01 1 15800 0 1 0 0
 1.800000E+01 2 15800 1 1 0 0
 1.900000E+01 1 15800 0 1 0 0
 2.000000E+01 2 15799 1 1 0 0
 2.100000E+01 1 15799 0 1 0 0
 2.200000E+01 1 15798 1 0 0 0
 2.300000E+01 2 15798 2 0 0 0
 2.400000E+01 0 15798 0 0 0 0
 2.500000E+01 0 15798 0 0 0 0
 2.600000E+01 0 15798 0 0 0 0
 2.700000E+01 1 15798 1 0 0 0
 2.800000E+01 1 15798 1 0 0 0
 2.900000E+01 2 15798 2 0 0 0
 3.000000E+01 2 15798 2 0 0 0
 3.100000E+01 0 15798 0 0 0 0
 3.200000E+01 2 15798 2 0 0 0
 3.300000E+01 0 15798 0 0 0 0
 3.400000E+01 0 15798 0 0 0 0
 3.500000E+01 0 15798 0 0 0 0
 3.600000E+01 0 15798 0 0 0 0
 3.700000E+01 0 15798 0 0 0 0
 3.800000E+01 0 15798 0 0 0 0
 3.900000E+01 0 15798 0 0 0 0
 4.000000E+01 0 15798 0 0 0 0
 4.100000E+01 0 15798 0 0 0 0
 4.200000E+01 0 15798 0 0 0 0
 4.300000E+01 1 15798 1 0 0 0
 4.400000E+01 1 15798 1 0 0 0
 4.500000E+01 0 15798 0 0 0 0
 4.600000E+01 1 15798 1 0 0 0
 4.700000E+01 1 15798 1 0 0 0
 4.800000E+01 2 15798 2 0 0 0
 4.900000E+01 4 15798 4 0 0 0
 5.000000E+01 3 15797 2 1 0 0
 5.100000E+01 4 15797 3 1 0 0
 5.200000E+01 4 15796 3 1 0 0
 5.300000E+01 4 15795 3 1 0 0
 5.400000E+01 3 15794 1 2 0 0
 5.500000E+01 7 15791 4 3 0 0
 5.600000E+01 6 15790 3 3 0 0
 5.700000E+01 8 15787 5 3 0 0
 5.800000E+01 9 15786 6 3 0 0
 5.900000E+01 18 15781 14 4 0 0
 6.000000E+01 21 15774 16 5 0 0
 6.100000E+01 13 15768 8 4 1 0
 6.200000E+01 12 15767 7 4 1 0
 6.300000E+01 15 15765 10 4 1 0
 6.400000E+01 32 15757 24 7 1 0
 6.500000E+01 30 15748 22 5 2 1
 6.600000E+01 30 15746 21 5 2 2
 6.700000E+01 26 15744 17 5 2 2
 6.800000E+01 36 15740 25 7 2 2
 6.900000E+01 30 15738 17 8 2 3
 7.000000E+01 48 15732 33 9 3 3
 7.100000E+01 51 15723 31 14 3 3
 7.200000E+01 61 15710 41 13 3 4
 7.300000E+01 67 15701 46 13 4 4
 7.400000E+01 80 15687 56 15 4 5
 7.500000E+01 97 15672 66 19 6 6
 7.600000E+01 103 15654 65 20 9 9
 7.700000E+01 128 15641 84 20 10 14
 7.800000E+01 125 15625 71 25 12 17
 7.900000E+01 142 15613 82 30 13 17
 8.000000E+01 165 15592 101 30 14 20
 8.100000E+01 175 15574 105 34 15 21
 8.200000E+01 193 15555 114 39 17 23
 8.300000E+01 227 15530 148 35 18 26
 8.400000E+01 254 15499 167 39 19 29
 8.500000E+01 271 15470 171 42 22 36
 8.600000E+01 312 15431 200 48 25 39
 8.700000E+01 340 15404 216 47 29 48
 8.800000E+01 390 15370 251 54 32 53
 8.900000E+01 408 15336 253 63 34 58
 9.000000E+01 437 15281 271 63 36 67
 9.100000E+01 496 15235 314 71 39 72
 9.200000E+01 535 15190 343 68 40 84
 9.300000E+01 614 15132 384 96 42 92
 9.400000E+01 636 15077 396 94 48 98
 9.500000E+01 720 15003 448 112 51 109
 9.600000E+01 770 14927 481 107 58 124
 9.700000E+01 843 14854 527 121 62 133
 9.800000E+01 969 14760 620 130 69 150
 9.900000E+01 1066 14673 690 133 77 166
 1.000000E+02 1159 14568 741 154 82 182

#Simulation ended (eff.: 0.983865, detail below)
	#Events: 22927
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
