# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Dead'
 0.000000E+00 0 7000 0 0 0 0
 1.000000E+00 0 7000 0 0 0 0
 2.000000E+00 0 7000 0 0 0 0
 3.000000E+00 0 7000 0 0 0 0
 4.000000E+00 0 7000 0 0 0 0
 5.000000E+00 1 7000 0 1 0 0
 6.000000E+00 1 7000 0 1 0 0
 7.000000E+00 1 7000 0 1 0 0
 8.000000E+00 1 7000 0 0 0 1
 9.000000E+00 1 7000 0 0 0 1
 1.000000E+01 2 6999 1 0 0 1
 1.100000E+01 1 6999 0 0 0 1
 1.200000E+01 1 6999 0 0 0 1
 1.300000E+01 1 6999 0 0 0 1
 1.400000E+01 1 6999 0 0 0 1
 1.500000E+01 2 6998 1 0 0 1
 1.600000E+01 1 6998 0 0 0 1
 1.700000E+01 1 6998 0 0 0 1
 1.800000E+01 2 6997 1 0 0 1
 1.900000E+01 2 6997 1 0 0 1
 2.000000E+01 3 6997 2 0 0 1
 2.100000E+01 1 6997 0 0 0 1
 2.200000E+01 3 6997 2 0 0 1
 2.300000E+01 1 6997 0 0 0 1
 2.400000E+01 1 6997 0 0 0 1
 2.500000E+01 2 6997 1 0 0 1
 2.600000E+01 1 6997 0 0 0 1
 2.700000E+01 1 6996 0 0 0 1
 2.800000E+01 2 6996 1 0 0 1
 2.900000E+01 2 6996 1 0 0 1
 3.000000E+01 1 6996 0 0 0 1
 3.100000E+01 1 6996 0 0 0 1
 3.200000E+01 2 6996 1 0 0 1
 3.300000E+01 1 6996 0 0 0 1
 3.400000E+01 1 6996 0 0 0 1
 3.500000E+01 1 6996 0 0 0 1
 3.600000E+01 1 6996 0 0 0 1
 3.700000E+01 1 6996 0 0 0 1
 3.800000E+01 1 6996 0 0 0 1
 3.900000E+01 2 6996 1 0 0 1
 4.000000E+01 2 6996 1 0 0 1
 4.100000E+01 2 6996 1 0 0 1
 4.200000E+01 1 6996 0 0 0 1
 4.300000E+01 1 6996 0 0 0 1
 4.400000E+01 2 6996 1 0 0 1
 4.500000E+01 2 6996 1 0 0 1
 4.600000E+01 1 6996 0 0 0 1
 4.700000E+01 1 6996 0 0 0 1
 4.800000E+01 1 6996 0 0 0 1
 4.900000E+01 1 6996 0 0 0 1
 5.000000E+01 1 6996 0 0 0 1
 5.100000E+01 1 6996 0 0 0 1
 5.200000E+01 2 6996 1 0 0 1
 5.300000E+01 1 6996 0 0 0 1
 5.400000E+01 2 6996 1 0 0 1
 5.500000E+01 1 6996 0 0 0 1
 5.600000E+01 2 6996 1 0 0 1
 5.700000E+01 3 6996 2 0 0 1
 5.800000E+01 3 6996 2 0 0 1
 5.900000E+01 3 6996 2 0 0 1
 6.000000E+01 2 6996 1 0 0 1
 6.100000E+01 3 6996 1 1 0 1
 6.200000E+01 2 6996 0 1 0 1
 6.300000E+01 7 6996 4 2 0 1
 6.400000E+01 3 6996 1 1 0 1
 6.500000E+01 4 6996 2 1 0 1
 6.600000E+01 4 6995 1 1 0 2
 6.700000E+01 3 6995 0 1 0 2
 6.800000E+01 4 6995 1 1 0 2
 6.900000E+01 7 6993 4 1 0 2
 7.000000E+01 14 6992 11 1 0 2
 7.100000E+01 12 6990 9 1 0 2
 7.200000E+01 11 6990 7 2 0 2
 7.300000E+01 14 6989 10 2 0 2
 7.400000E+01 8 6988 4 1 0 3
 7.500000E+01 9 6988 6 0 0 3
 7.600000E+01 16 6988 13 0 0 3
 7.700000E+01 16 6988 13 0 0 3
 7.800000E+01 15 6987 12 0 0 3
 7.900000E+01 22 6987 18 1 0 3
 8.000000E+01 16 6987 12 1 0 3
 8.100000E+01 20 6987 16 1 0 3
 8.200000E+01 23 6986 18 2 0 3
 8.300000E+01 24 6981 17 4 0 3
 8.400000E+01 31 6978 22 4 1 4
 8.500000E+01 40 6976 31 4 1 4
 8.600000E+01 33 6975 23 4 2 4
 8.700000E+01 39 6971 28 5 2 4
 8.800000E+01 39 6968 28 3 3 5
 8.900000E+01 53 6966 42 2 4 5
 9.000000E+01 51 6964 39 3 4 5
 9.100000E+01 59 6962 47 3 4 5
 9.200000E+01 62 6962 49 3 4 6
 9.300000E+01 74 6959 58 5 5 6
 9.400000E+01 68 6958 50 6 5 7
 9.500000E+01 97 6949 73 11 5 8
 9.600000E+01 105 6942 79 12 5 9
 9.700000E+01 101 6934 71 15 5 10
 9.800000E+01 117 6920 89 11 5 12
 9.900000E+01 125 6913 91 13 8 13
 1.000000E+02 156 6901 115 18 10 13

#Simulation ended (eff.: 0.953663, detail below)
	#Events: 8253
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
