# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Dead'
 0.000000E+00 0 4700 0 0 0 0
 1.000000E+00 0 4700 0 0 0 0
 2.000000E+00 0 4700 0 0 0 0
 3.000000E+00 0 4700 0 0 0 0
 4.000000E+00 0 4700 0 0 0 0
 5.000000E+00 0 4700 0 0 0 0
 6.000000E+00 0 4700 0 0 0 0
 7.000000E+00 0 4700 0 0 0 0
 8.000000E+00 0 4700 0 0 0 0
 9.000000E+00 0 4700 0 0 0 0
 1.000000E+01 0 4700 0 0 0 0
 1.100000E+01 0 4700 0 0 0 0
 1.200000E+01 0 4700 0 0 0 0
 1.300000E+01 0 4700 0 0 0 0
 1.400000E+01 0 4700 0 0 0 0
 1.500000E+01 0 4700 0 0 0 0
 1.600000E+01 0 4700 0 0 0 0
 1.700000E+01 0 4700 0 0 0 0
 1.800000E+01 0 4700 0 0 0 0
 1.900000E+01 0 4700 0 0 0 0
 2.000000E+01 0 4700 0 0 0 0
 2.100000E+01 0 4700 0 0 0 0
 2.200000E+01 0 4700 0 0 0 0
 2.300000E+01 0 4700 0 0 0 0
 2.400000E+01 1 4700 1 0 0 0
 2.500000E+01 0 4700 0 0 0 0
 2.600000E+01 1 4700 1 0 0 0
 2.700000E+01 0 4700 0 0 0 0
 2.800000E+01 0 4700 0 0 0 0
 2.900000E+01 0 4700 0 0 0 0
 3.000000E+01 1 4700 1 0 0 0
 3.100000E+01 0 4700 0 0 0 0
 3.200000E+01 0 4700 0 0 0 0
 3.300000E+01 1 4700 1 0 0 0
 3.400000E+01 0 4700 0 0 0 0
 3.500000E+01 1 4700 1 0 0 0
 3.600000E+01 0 4700 0 0 0 0
 3.700000E+01 0 4700 0 0 0 0
 3.800000E+01 1 4700 1 0 0 0
 3.900000E+01 0 4700 0 0 0 0
 4.000000E+01 0 4700 0 0 0 0
 4.100000E+01 0 4700 0 0 0 0
 4.200000E+01 0 4700 0 0 0 0
 4.300000E+01 0 4700 0 0 0 0
 4.400000E+01 0 4700 0 0 0 0
 4.500000E+01 1 4700 1 0 0 0
 4.600000E+01 1 4700 1 0 0 0
 4.700000E+01 0 4700 0 0 0 0
 4.800000E+01 1 4700 1 0 0 0
 4.900000E+01 1 4700 1 0 0 0
 5.000000E+01 2 4700 2 0 0 0
 5.100000E+01 1 4700 1 0 0 0
 5.200000E+01 1 4700 0 1 0 0
 5.300000E+01 2 4700 1 1 0 0
 5.400000E+01 2 4699 1 1 0 0
 5.500000E+01 2 4698 1 1 0 0
 5.600000E+01 1 4698 0 1 0 0
 5.700000E+01 1 4698 1 0 0 0
 5.800000E+01 2 4698 2 0 0 0
 5.900000E+01 1 4698 1 0 0 0
 6.000000E+01 1 4698 1 0 0 0
 6.100000E+01 2 4698 2 0 0 0
 6.200000E+01 1 4698 1 0 0 0
 6.300000E+01 2 4698 2 0 0 0
 6.400000E+01 1 4698 1 0 0 0
 6.500000E+01 2 4698 1 1 0 0
 6.600000E+01 5 4698 4 1 0 0
 6.700000E+01 4 4698 3 1 0 0
 6.800000E+01 5 4698 4 1 0 0
 6.900000E+01 3 4697 2 1 0 0
 7.000000E+01 7 4697 5 1 0 1
 7.100000E+01 2 4697 0 1 0 1
 7.200000E+01 5 4696 3 1 0 1
 7.300000E+01 8 4695 6 1 0 1
 7.400000E+01 8 4695 6 1 0 1
 7.500000E+01 6 4695 3 1 0 2
 7.600000E+01 15 4693 11 2 0 2
 7.700000E+01 12 4689 8 2 0 2
 7.800000E+01 11 4688 7 2 0 2
 7.900000E+01 20 4687 15 3 0 2
 8.000000E+01 24 4682 19 3 0 2
 8.100000E+01 25 4678 18 5 0 2
 8.200000E+01 13 4677 9 1 0 3
 8.300000E+01 18 4677 14 1 0 3
 8.400000E+01 24 4676 19 2 0 3
 8.500000E+01 16 4674 11 2 0 3
 8.600000E+01 27 4673 22 2 0 3
 8.700000E+01 22 4672 15 4 0 3
 8.800000E+01 29 4669 21 4 0 4
 8.900000E+01 27 4669 19 4 0 4
 9.000000E+01 32 4667 23 3 1 5
 9.100000E+01 35 4665 24 3 2 6
 9.200000E+01 53 4663 36 9 2 6
 9.300000E+01 44 4658 26 9 2 7
 9.400000E+01 55 4648 36 9 2 8
 9.500000E+01 69 4641 51 7 2 9
 9.600000E+01 62 4636 40 8 4 10
 9.700000E+01 88 4628 66 7 4 11
 9.800000E+01 74 4626 51 6 4 13
 9.900000E+01 86 4622 62 5 5 14
 1.000000E+02 102 4619 72 11 5 14

#Simulation ended (eff.: 0.959397, detail below)
	#Events: 5411
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
