# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Dead'
 0.000000E+00 1 100000 0 1 0 0
 1.000000E+00 0 100000 0 0 0 0
 2.000000E+00 0 100000 0 0 0 0
 3.000000E+00 0 100000 0 0 0 0
 4.000000E+00 0 100000 0 0 0 0
 5.000000E+00 0 100000 0 0 0 0
 6.000000E+00 0 100000 0 0 0 0
 7.000000E+00 0 100000 0 0 0 0
 8.000000E+00 0 100000 0 0 0 0
 9.000000E+00 0 100000 0 0 0 0
 1.000000E+01 0 100000 0 0 0 0
 1.100000E+01 1 100000 1 0 0 0
 1.200000E+01 0 100000 0 0 0 0
 1.300000E+01 0 100000 0 0 0 0
 1.400000E+01 0 100000 0 0 0 0
 1.500000E+01 0 100000 0 0 0 0
 1.600000E+01 0 100000 0 0 0 0
 1.700000E+01 2 100000 2 0 0 0
 1.800000E+01 2 100000 2 0 0 0
 1.900000E+01 2 100000 2 0 0 0
 2.000000E+01 1 100000 1 0 0 0
 2.100000E+01 2 100000 2 0 0 0
 2.200000E+01 1 100000 1 0 0 0
 2.300000E+01 2 100000 2 0 0 0
 2.400000E+01 1 100000 1 0 0 0
 2.500000E+01 1 100000 1 0 0 0
 2.600000E+01 1 100000 1 0 0 0
 2.700000E+01 3 100000 3 0 0 0
 2.800000E+01 2 100000 2 0 0 0
 2.900000E+01 2 100000 2 0 0 0
 3.000000E+01 0 100000 0 0 0 0
 3.100000E+01 4 100000 4 0 0 0
 3.200000E+01 3 100000 3 0 0 0
 3.300000E+01 3 100000 3 0 0 0
 3.400000E+01 4 100000 4 0 0 0
 3.500000E+01 3 100000 3 0 0 0
 3.600000E+01 3 100000 3 0 0 0
 3.700000E+01 4 100000 4 0 0 0
 3.800000E+01 2 100000 2 0 0 0
 3.900000E+01 2 100000 2 0 0 0
 4.000000E+01 2 100000 2 0 0 0
 4.100000E+01 1 100000 1 0 0 0
 4.200000E+01 2 100000 2 0 0 0
 4.300000E+01 2 100000 1 1 0 0
 4.400000E+01 3 99999 2 1 0 0
 4.500000E+01 2 99999 1 1 0 0
 4.600000E+01 3 99999 2 1 0 0
 4.700000E+01 4 99999 4 0 0 0
 4.800000E+01 3 99999 3 0 0 0
 4.900000E+01 3 99999 3 0 0 0
 5.000000E+01 2 99999 2 0 0 0
 5.100000E+01 4 99999 4 0 0 0
 5.200000E+01 3 99999 3 0 0 0
 5.300000E+01 1 99999 1 0 0 0
 5.400000E+01 2 99999 1 1 0 0
 5.500000E+01 4 99998 3 1 0 0
 5.600000E+01 6 99998 5 1 0 0
 5.700000E+01 6 99996 5 1 0 0
 5.800000E+01 6 99995 3 3 0 0
 5.900000E+01 8 99993 5 3 0 0
 6.000000E+01 10 99992 7 3 0 0
 6.100000E+01 5 99992 2 3 0 0
 6.200000E+01 12 99990 10 2 0 0
 6.300000E+01 8 99990 5 3 0 0
 6.400000E+01 14 99987 9 4 0 1
 6.500000E+01 17 99983 11 4 0 2
 6.600000E+01 15 99980 8 3 0 4
 6.700000E+01 18 99978 11 3 0 4
 6.800000E+01 17 99977 10 3 0 4
 6.900000E+01 25 99973 16 4 0 5
 7.000000E+01 21 99970 11 5 0 5
 7.100000E+01 26 99968 15 5 0 6
 7.200000E+01 31 99963 19 6 0 6
 7.300000E+01 39 99957 25 8 0 6
 7.400000E+01 47 99949 26 14 0 7
 7.500000E+01 63 99936 36 19 0 8
 7.600000E+01 69 99923 41 19 0 9
 7.700000E+01 80 99910 50 19 1 10
 7.800000E+01 83 99904 49 20 3 11
 7.900000E+01 87 99893 52 18 4 13
 8.000000E+01 97 99879 57 18 5 17
 8.100000E+01 106 99868 60 20 6 20
 8.200000E+01 122 99858 71 17 8 26
 8.300000E+01 130 99850 76 18 8 28
 8.400000E+01 144 99840 83 21 9 31
 8.500000E+01 158 99818 87 25 11 35
 8.600000E+01 174 99796 95 26 12 41
 8.700000E+01 206 99778 113 32 15 46
 8.800000E+01 212 99753 108 40 16 48
 8.900000E+01 222 99726 112 41 17 52
 9.000000E+01 262 99696 142 45 18 57
 9.100000E+01 283 99674 156 45 19 63
 9.200000E+01 301 99631 163 48 23 67
 9.300000E+01 330 99597 178 54 26 72
 9.400000E+01 357 99560 192 58 28 79
 9.500000E+01 390 99519 209 62 33 86
 9.600000E+01 454 99475 252 74 33 95
 9.700000E+01 484 99424 255 86 36 107
 9.800000E+01 561 99358 313 95 37 116
 9.900000E+01 620 99284 346 103 43 128
 1.000000E+02 679 99190 382 114 48 135

#Simulation ended (eff.: 0.994201, detail below)
	#Events: 102526
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
