# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Dead'
 0.000000E+00 0 15800 0 0 0 0
 1.000000E+00 1 15800 0 1 0 0
 2.000000E+00 1 15800 0 1 0 0
 3.000000E+00 1 15800 0 1 0 0
 4.000000E+00 1 15800 0 1 0 0
 5.000000E+00 0 15800 0 0 0 0
 6.000000E+00 0 15800 0 0 0 0
 7.000000E+00 0 15800 0 0 0 0
 8.000000E+00 0 15800 0 0 0 0
 9.000000E+00 0 15800 0 0 0 0
 1.000000E+01 0 15800 0 0 0 0
 1.100000E+01 0 15800 0 0 0 0
 1.200000E+01 0 15800 0 0 0 0
 1.300000E+01 0 15800 0 0 0 0
 1.400000E+01 1 15800 1 0 0 0
 1.500000E+01 0 15800 0 0 0 0
 1.600000E+01 2 15800 2 0 0 0
 1.700000E+01 0 15800 0 0 0 0
 1.800000E+01 0 15800 0 0 0 0
 1.900000E+01 0 15800 0 0 0 0
 2.000000E+01 0 15800 0 0 0 0
 2.100000E+01 1 15800 1 0 0 0
 2.200000E+01 0 15800 0 0 0 0
 2.300000E+01 1 15800 1 0 0 0
 2.400000E+01 1 15800 1 0 0 0
 2.500000E+01 0 15800 0 0 0 0
 2.600000E+01 1 15800 1 0 0 0
 2.700000E+01 1 15800 1 0 0 0
 2.800000E+01 1 15800 1 0 0 0
 2.900000E+01 1 15800 1 0 0 0
 3.000000E+01 3 15800 3 0 0 0
 3.100000E+01 0 15800 0 0 0 0
 3.200000E+01 0 15800 0 0 0 0
 3.300000E+01 0 15800 0 0 0 0
 3.400000E+01 0 15800 0 0 0 0
 3.500000E+01 0 15800 0 0 0 0
 3.600000E+01 1 15800 1 0 0 0
 3.700000E+01 0 15800 0 0 0 0
 3.800000E+01 1 15800 1 0 0 0
 3.900000E+01 1 15800 1 0 0 0
 4.000000E+01 1 15800 1 0 0 0
 4.100000E+01 2 15800 2 0 0 0
 4.200000E+01 1 15800 1 0 0 0
 4.300000E+01 1 15800 1 0 0 0
 4.400000E+01 1 15800 1 0 0 0
 4.500000E+01 1 15800 1 0 0 0
 4.600000E+01 1 15800 1 0 0 0
 4.700000E+01 1 15800 0 1 0 0
 4.800000E+01 1 15800 0 1 0 0
 4.900000E+01 1 15800 0 1 0 0
 5.000000E+01 1 15799 0 1 0 0
 5.100000E+01 1 15799 0 1 0 0
 5.200000E+01 1 15799 0 1 0 0
 5.300000E+01 2 15799 1 1 0 0
 5.400000E+01 1 15799 0 1 0 0
 5.500000E+01 3 15798 2 1 0 0
 5.600000E+01 2 15798 1 1 0 0
 5.700000E+01 2 15798 1 1 0 0
 5.800000E+01 3 15798 2 0 0 1
 5.900000E+01 4 15798 3 0 0 1
 6.000000E+01 4 15798 3 0 0 1
 6.100000E+01 6 15798 5 0 0 1
 6.200000E+01 5 15797 2 2 0 1
 6.300000E+01 3 15797 1 1 0 1
 6.400000E+01 4 15797 2 1 0 1
 6.500000E+01 4 15797 2 1 0 1
 6.600000E+01 6 15796 4 1 0 1
 6.700000E+01 7 15796 5 1 0 1
 6.800000E+01 8 15793 5 2 0 1
 6.900000E+01 10 15792 6 3 0 1
 7.000000E+01 10 15790 7 2 0 1
 7.100000E+01 17 15789 13 3 0 1
 7.200000E+01 18 15786 14 2 1 1
 7.300000E+01 13 15786 9 2 1 1
 7.400000E+01 17 15786 14 1 1 1
 7.500000E+01 16 15786 13 1 1 1
 7.600000E+01 10 15785 7 1 1 1
 7.700000E+01 19 15784 15 2 1 1
 7.800000E+01 25 15784 20 3 1 1
 7.900000E+01 21 15779 15 4 1 1
 8.000000E+01 35 15778 27 5 2 1
 8.100000E+01 37 15775 27 6 3 1
 8.200000E+01 37 15774 25 7 3 2
 8.300000E+01 47 15770 33 9 3 2
 8.400000E+01 38 15765 25 8 3 2
 8.500000E+01 54 15759 41 7 3 3
 8.600000E+01 60 15755 48 5 3 4
 8.700000E+01 59 15750 43 9 3 4
 8.800000E+01 77 15744 59 10 3 5
 8.900000E+01 95 15734 70 15 3 7
 9.000000E+01 90 15728 65 13 3 9
 9.100000E+01 91 15719 60 18 3 10
 9.200000E+01 102 15708 73 12 3 14
 9.300000E+01 124 15701 89 16 4 15
 9.400000E+01 155 15686 113 22 4 16
 9.500000E+01 149 15673 98 28 5 18
 9.600000E+01 150 15659 94 30 6 20
 9.700000E+01 176 15645 117 27 7 25
 9.800000E+01 200 15618 127 37 10 26
 9.900000E+01 226 15592 146 37 13 30
 1.000000E+02 250 15561 163 38 14 35

#Simulation ended (eff.: 0.980896, detail below)
	#Events: 17252
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
