# time 'Cases' 'Succeptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 7000 0 0 0 0
 1.000000E+00 0 7000 0 0 0 0
 2.000000E+00 0 7000 0 0 0 0
 3.000000E+00 0 7000 0 0 0 0
 4.000000E+00 0 7000 0 0 0 0
 5.000000E+00 0 7000 0 0 0 0
 6.000000E+00 0 7000 0 0 0 0
 7.000000E+00 0 7000 0 0 0 0
 8.000000E+00 0 7000 0 0 0 0
 9.000000E+00 0 7000 0 0 0 0
 1.000000E+01 0 7000 0 0 0 0
 1.100000E+01 0 7000 0 0 0 0
 1.200000E+01 0 7000 0 0 0 0
 1.300000E+01 1 7000 1 0 0 0
 1.400000E+01 2 7000 2 0 0 0
 1.500000E+01 0 7000 0 0 0 0
 1.600000E+01 1 7000 1 0 0 0
 1.700000E+01 0 7000 0 0 0 0
 1.800000E+01 0 7000 0 0 0 0
 1.900000E+01 1 7000 1 0 0 0
 2.000000E+01 1 7000 1 0 0 0
 2.100000E+01 0 7000 0 0 0 0
 2.200000E+01 0 7000 0 0 0 0
 2.300000E+01 0 7000 0 0 0 0
 2.400000E+01 1 7000 1 0 0 0
 2.500000E+01 2 7000 2 0 0 0
 2.600000E+01 2 7000 2 0 0 0
 2.700000E+01 4 7000 3 1 0 0
 2.800000E+01 5 6999 4 1 0 0
 2.900000E+01 5 6998 4 1 0 0
 3.000000E+01 1 6998 0 1 0 0
 3.100000E+01 6 6997 5 1 0 0
 3.200000E+01 4 6993 3 1 0 0
 3.300000E+01 1 6992 1 0 0 0
 3.400000E+01 6 6992 5 1 0 0
 3.500000E+01 9 6992 8 0 0 1
 3.600000E+01 8 6992 6 1 0 1
 3.700000E+01 14 6991 12 1 0 1
 3.800000E+01 13 6989 9 3 0 1
 3.900000E+01 19 6988 14 3 0 2
 4.000000E+01 12 6988 7 2 1 2
 4.100000E+01 15 6988 9 3 1 2
 4.200000E+01 16 6987 9 2 2 3
 4.300000E+01 14 6983 6 3 2 3
 4.400000E+01 25 6979 17 2 3 3
 4.500000E+01 21 6976 13 2 3 3
 4.600000E+01 26 6976 17 3 3 3
 4.700000E+01 26 6973 16 4 3 3
 4.800000E+01 35 6969 24 5 3 3
 4.900000E+01 38 6967 27 4 4 3
 5.000000E+01 33 6964 21 3 5 4
 5.100000E+01 41 6958 24 7 6 4
 5.200000E+01 44 6950 27 5 6 6
 5.300000E+01 47 6948 30 4 7 6
 5.400000E+01 50 6945 29 6 8 7
 5.500000E+01 50 6939 30 4 9 7
 5.600000E+01 67 6938 44 5 11 7
 5.700000E+01 70 6935 45 6 11 8
 5.800000E+01 62 6931 35 8 11 8
 5.900000E+01 90 6927 59 11 11 9
 6.000000E+01 87 6918 54 8 11 14
 6.100000E+01 102 6910 64 9 13 16
 6.200000E+01 90 6903 52 8 13 17
 6.300000E+01 109 6898 70 8 14 17
 6.400000E+01 137 6893 96 8 14 19
 6.500000E+01 123 6888 77 12 14 20
 6.600000E+01 141 6879 93 12 15 21
 6.700000E+01 171 6868 119 16 15 21
 6.800000E+01 162 6860 108 15 16 23
 6.900000E+01 179 6848 124 16 16 23
 7.000000E+01 202 6839 143 19 16 24
 7.100000E+01 208 6826 147 20 16 25
 7.200000E+01 228 6806 157 27 19 25
 7.300000E+01 234 6786 162 23 21 28
 7.400000E+01 288 6768 203 33 22 30
 7.500000E+01 302 6745 217 26 24 35
 7.600000E+01 345 6721 248 33 25 39
 7.700000E+01 376 6698 266 35 29 46
 7.800000E+01 397 6674 285 33 30 49
 7.900000E+01 449 6637 321 43 35 50
 8.000000E+01 527 6593 375 58 38 56
 8.100000E+01 548 6560 378 65 43 62
 8.200000E+01 620 6512 441 65 44 70
 8.300000E+01 667 6471 470 67 48 82
 8.400000E+01 743 6424 523 79 50 91
 8.500000E+01 785 6371 557 78 53 97
 8.600000E+01 863 6298 607 92 55 109
 8.700000E+01 973 6244 691 102 59 121
 8.800000E+01 1054 6175 738 121 63 132
 8.900000E+01 1124 6119 787 126 69 142
 9.000000E+01 1265 6028 910 124 74 157
 9.100000E+01 1423 5924 1014 153 83 173
 9.200000E+01 1531 5837 1078 167 95 191
 9.300000E+01 1681 5739 1188 183 98 212
 9.400000E+01 1830 5632 1292 196 113 229
 9.500000E+01 1999 5517 1409 211 127 252
 9.600000E+01 2161 5359 1503 245 138 275
 9.700000E+01 2488 5205 1763 274 145 306
 9.800000E+01 2634 5050 1835 289 169 341
 9.900000E+01 2792 4872 1920 315 180 377
 1.000000E+02 3170 4679 2202 357 199 412

#Simulation ended (eff.: 0.973473, detail below)
	#Events: 36624
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
