# time 'Cases' 'Succeptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 4700 0 0 0 0
 1.000000E+00 0 4700 0 0 0 0
 2.000000E+00 0 4700 0 0 0 0
 3.000000E+00 2 4700 1 1 0 0
 4.000000E+00 1 4700 0 1 0 0
 5.000000E+00 1 4700 0 1 0 0
 6.000000E+00 1 4700 0 0 0 1
 7.000000E+00 1 4700 0 0 0 1
 8.000000E+00 1 4700 0 0 0 1
 9.000000E+00 2 4699 1 0 0 1
 1.000000E+01 1 4699 0 0 0 1
 1.100000E+01 1 4699 0 0 0 1
 1.200000E+01 2 4698 1 0 0 1
 1.300000E+01 2 4698 1 0 0 1
 1.400000E+01 2 4698 1 0 0 1
 1.500000E+01 1 4698 0 0 0 1
 1.600000E+01 1 4698 0 0 0 1
 1.700000E+01 1 4698 0 0 0 1
 1.800000E+01 1 4698 0 0 0 1
 1.900000E+01 2 4698 1 0 0 1
 2.000000E+01 2 4698 1 0 0 1
 2.100000E+01 2 4698 1 0 0 1
 2.200000E+01 1 4698 0 0 0 1
 2.300000E+01 1 4698 0 0 0 1
 2.400000E+01 3 4698 2 0 0 1
 2.500000E+01 3 4698 2 0 0 1
 2.600000E+01 1 4698 0 0 0 1
 2.700000E+01 1 4698 0 0 0 1
 2.800000E+01 2 4698 1 0 0 1
 2.900000E+01 6 4698 5 0 0 1
 3.000000E+01 4 4698 3 0 0 1
 3.100000E+01 5 4698 4 0 0 1
 3.200000E+01 3 4698 2 0 0 1
 3.300000E+01 4 4698 3 0 0 1
 3.400000E+01 2 4698 1 0 0 1
 3.500000E+01 6 4698 5 0 0 1
 3.600000E+01 5 4698 4 0 0 1
 3.700000E+01 3 4698 2 0 0 1
 3.800000E+01 2 4698 1 0 0 1
 3.900000E+01 7 4698 6 0 0 1
 4.000000E+01 6 4698 4 0 1 1
 4.100000E+01 11 4698 9 0 1 1
 4.200000E+01 15 4698 13 0 1 1
 4.300000E+01 5 4698 3 0 1 1
 4.400000E+01 7 4698 5 0 1 1
 4.500000E+01 15 4698 13 0 1 1
 4.600000E+01 9 4698 6 1 1 1
 4.700000E+01 14 4698 10 2 1 1
 4.800000E+01 14 4697 9 2 1 2
 4.900000E+01 18 4696 11 3 1 3
 5.000000E+01 19 4696 12 2 1 4
 5.100000E+01 34 4695 27 2 1 4
 5.200000E+01 24 4694 15 2 1 6
 5.300000E+01 29 4692 19 3 1 6
 5.400000E+01 37 4691 27 3 1 6
 5.500000E+01 30 4686 17 5 2 6
 5.600000E+01 40 4678 24 7 2 7
 5.700000E+01 44 4673 26 8 3 7
 5.800000E+01 46 4669 31 4 3 8
 5.900000E+01 44 4664 28 4 3 9
 6.000000E+01 43 4660 26 4 4 9
 6.100000E+01 54 4655 34 5 5 10
 6.200000E+01 64 4651 42 6 5 11
 6.300000E+01 76 4645 51 9 5 11
 6.400000E+01 68 4637 43 8 5 12
 6.500000E+01 92 4626 62 11 5 14
 6.600000E+01 105 4618 71 12 6 16
 6.700000E+01 109 4609 70 15 7 17
 6.800000E+01 107 4605 66 12 8 21
 6.900000E+01 119 4593 77 11 9 22
 7.000000E+01 134 4586 89 10 10 25
 7.100000E+01 141 4580 92 10 12 27
 7.200000E+01 171 4563 111 16 12 32
 7.300000E+01 186 4554 118 18 15 35
 7.400000E+01 190 4538 116 23 15 36
 7.500000E+01 201 4529 122 22 17 40
 7.600000E+01 236 4513 150 24 19 43
 7.700000E+01 247 4497 154 27 21 45
 7.800000E+01 291 4482 193 30 21 47
 7.900000E+01 325 4459 219 36 22 48
 8.000000E+01 345 4437 235 34 24 52
 8.100000E+01 392 4408 262 50 24 56
 8.200000E+01 419 4376 283 50 27 59
 8.300000E+01 410 4336 265 52 29 64
 8.400000E+01 486 4301 321 61 32 72
 8.500000E+01 538 4274 363 66 35 74
 8.600000E+01 589 4243 398 73 38 80
 8.700000E+01 625 4188 414 83 41 87
 8.800000E+01 670 4123 439 86 43 102
 8.900000E+01 783 4063 533 96 50 104
 9.000000E+01 815 3967 530 116 53 116
 9.100000E+01 904 3898 602 120 55 127
 9.200000E+01 995 3828 658 132 62 143
 9.300000E+01 1039 3770 679 127 69 164
 9.400000E+01 1186 3693 802 130 72 182
 9.500000E+01 1316 3598 892 142 79 203
 9.600000E+01 1378 3499 910 155 88 225
 9.700000E+01 1573 3400 1044 189 94 246
 9.800000E+01 1783 3289 1219 191 101 272
 9.900000E+01 1903 3148 1288 210 109 296
 1.000000E+02 2047 3025 1372 227 120 328

#Simulation ended (eff.: 0.970976, detail below)
	#Events: 21043
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
