# time 'Cases' 'Succeptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 1 100000 0 1 0 0
 1.000000E+00 1 100000 0 1 0 0
 2.000000E+00 2 99999 1 1 0 0
 3.000000E+00 0 99999 0 0 0 0
 4.000000E+00 1 99999 1 0 0 0
 5.000000E+00 1 99999 1 0 0 0
 6.000000E+00 1 99999 1 0 0 0
 7.000000E+00 0 99999 0 0 0 0
 8.000000E+00 0 99999 0 0 0 0
 9.000000E+00 1 99999 1 0 0 0
 1.000000E+01 3 99998 2 1 0 0
 1.100000E+01 3 99998 2 1 0 0
 1.200000E+01 3 99996 2 0 0 1
 1.300000E+01 2 99996 1 0 0 1
 1.400000E+01 3 99996 2 0 0 1
 1.500000E+01 5 99996 4 0 0 1
 1.600000E+01 4 99996 3 0 0 1
 1.700000E+01 4 99996 3 0 0 1
 1.800000E+01 6 99994 4 1 0 1
 1.900000E+01 5 99993 1 3 0 1
 2.000000E+01 8 99990 4 3 0 1
 2.100000E+01 8 99990 4 3 0 1
 2.200000E+01 10 99989 5 3 1 1
 2.300000E+01 10 99987 5 3 1 1
 2.400000E+01 12 99982 7 3 1 1
 2.500000E+01 13 99982 8 3 1 1
 2.600000E+01 17 99980 11 3 1 2
 2.700000E+01 17 99979 10 4 1 2
 2.800000E+01 17 99976 10 3 2 2
 2.900000E+01 18 99972 10 3 2 3
 3.000000E+01 27 99968 18 3 2 4
 3.100000E+01 21 99965 12 3 2 4
 3.200000E+01 32 99964 21 3 2 6
 3.300000E+01 31 99963 19 4 2 6
 3.400000E+01 35 99961 21 6 2 6
 3.500000E+01 30 99959 14 7 2 7
 3.600000E+01 31 99957 15 7 2 7
 3.700000E+01 36 99956 20 6 3 7
 3.800000E+01 42 99954 27 4 4 7
 3.900000E+01 42 99950 24 6 4 8
 4.000000E+01 51 99948 32 7 4 8
 4.100000E+01 53 99942 30 9 5 9
 4.200000E+01 58 99933 28 13 6 11
 4.300000E+01 82 99923 48 15 6 13
 4.400000E+01 78 99916 44 13 8 13
 4.500000E+01 77 99910 39 13 8 17
 4.600000E+01 88 99904 48 14 9 17
 4.700000E+01 96 99889 51 17 10 18
 4.800000E+01 113 99873 62 18 10 23
 4.900000E+01 133 99863 77 20 13 23
 5.000000E+01 139 99851 81 17 14 27
 5.100000E+01 145 99839 85 17 14 29
 5.200000E+01 171 99830 105 20 14 32
 5.300000E+01 181 99817 111 18 18 34
 5.400000E+01 176 99806 100 21 19 36
 5.500000E+01 193 99792 109 26 20 38
 5.600000E+01 221 99770 128 28 24 41
 5.700000E+01 242 99744 143 29 25 45
 5.800000E+01 278 99717 164 38 27 49
 5.900000E+01 293 99691 161 47 29 56
 6.000000E+01 340 99656 202 46 33 59
 6.100000E+01 348 99628 193 55 36 64
 6.200000E+01 388 99589 213 68 40 67
 6.300000E+01 414 99545 234 62 43 75
 6.400000E+01 468 99493 275 70 43 80
 6.500000E+01 500 99446 288 78 45 89
 6.600000E+01 550 99379 315 91 46 98
 6.700000E+01 607 99316 345 102 51 109
 6.800000E+01 719 99243 430 105 54 130
 6.900000E+01 771 99175 447 126 60 138
 7.000000E+01 872 99078 514 141 66 151
 7.100000E+01 942 98978 553 148 73 168
 7.200000E+01 1041 98853 613 165 78 185
 7.300000E+01 1148 98730 670 189 82 207
 7.400000E+01 1251 98600 725 214 91 221
 7.500000E+01 1386 98455 804 230 105 247
 7.600000E+01 1513 98317 878 248 114 273
 7.700000E+01 1661 98134 965 269 121 306
 7.800000E+01 1823 97938 1044 306 134 339
 7.900000E+01 1978 97721 1143 309 155 371
 8.000000E+01 2183 97504 1275 325 181 402
 8.100000E+01 2375 97296 1396 338 195 446
 8.200000E+01 2571 97034 1478 395 210 488
 8.300000E+01 2950 96732 1744 436 233 537
 8.400000E+01 3214 96390 1871 503 258 582
 8.500000E+01 3559 96007 2094 522 289 654
 8.600000E+01 3927 95609 2309 580 311 727
 8.700000E+01 4271 95217 2485 642 347 797
 8.800000E+01 4688 94740 2720 710 384 874
 8.900000E+01 5019 94266 2836 793 421 969
 9.000000E+01 5563 93730 3170 866 455 1072
 9.100000E+01 6147 93079 3529 941 496 1181
 9.200000E+01 6621 92451 3757 1023 545 1296
 9.300000E+01 7336 91725 4165 1146 606 1419
 9.400000E+01 8046 90897 4568 1249 671 1558
 9.500000E+01 8860 89959 4996 1437 730 1697
 9.600000E+01 9814 88916 5610 1557 798 1849
 9.700000E+01 10704 87825 6132 1656 874 2042
 9.800000E+01 11633 86650 6626 1804 961 2242
 9.900000E+01 12737 85386 7218 2020 1063 2436
 1.000000E+02 13932 84008 7924 2159 1174 2675

#Simulation ended (eff.: 0.995778, detail below)
	#Events: 168395
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
