# time 'Cases' 'Succeptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 15800 0 0 0 0
 1.000000E+00 0 15800 0 0 0 0
 2.000000E+00 0 15800 0 0 0 0
 3.000000E+00 0 15800 0 0 0 0
 4.000000E+00 0 15800 0 0 0 0
 5.000000E+00 0 15800 0 0 0 0
 6.000000E+00 0 15800 0 0 0 0
 7.000000E+00 1 15800 1 0 0 0
 8.000000E+00 1 15800 1 0 0 0
 9.000000E+00 0 15800 0 0 0 0
 1.000000E+01 0 15800 0 0 0 0
 1.100000E+01 0 15800 0 0 0 0
 1.200000E+01 1 15800 1 0 0 0
 1.300000E+01 2 15800 2 0 0 0
 1.400000E+01 0 15800 0 0 0 0
 1.500000E+01 0 15800 0 0 0 0
 1.600000E+01 1 15800 1 0 0 0
 1.700000E+01 2 15800 1 1 0 0
 1.800000E+01 2 15800 1 1 0 0
 1.900000E+01 1 15800 0 1 0 0
 2.000000E+01 2 15800 1 1 0 0
 2.100000E+01 3 15800 2 1 0 0
 2.200000E+01 3 15800 2 1 0 0
 2.300000E+01 4 15800 3 1 0 0
 2.400000E+01 6 15799 4 2 0 0
 2.500000E+01 4 15799 2 2 0 0
 2.600000E+01 4 15799 3 1 0 0
 2.700000E+01 3 15799 2 1 0 0
 2.800000E+01 5 15799 4 0 0 1
 2.900000E+01 3 15799 2 0 0 1
 3.000000E+01 5 15799 4 0 0 1
 3.100000E+01 8 15798 7 0 0 1
 3.200000E+01 7 15797 6 0 0 1
 3.300000E+01 15 15795 13 1 0 1
 3.400000E+01 14 15793 9 4 0 1
 3.500000E+01 14 15792 9 4 0 1
 3.600000E+01 18 15788 12 4 0 2
 3.700000E+01 22 15780 16 4 0 2
 3.800000E+01 25 15776 16 5 0 4
 3.900000E+01 21 15775 13 3 0 5
 4.000000E+01 21 15773 11 4 0 6
 4.100000E+01 22 15769 13 2 1 6
 4.200000E+01 23 15767 15 1 1 6
 4.300000E+01 26 15765 17 2 1 6
 4.400000E+01 32 15765 22 2 2 6
 4.500000E+01 39 15762 25 6 2 6
 4.600000E+01 38 15759 22 7 2 7
 4.700000E+01 44 15754 29 5 2 8
 4.800000E+01 46 15747 30 5 2 9
 4.900000E+01 41 15743 23 6 2 10
 5.000000E+01 59 15736 35 10 2 12
 5.100000E+01 53 15725 28 10 3 12
 5.200000E+01 65 15720 38 12 3 12
 5.300000E+01 69 15710 39 14 3 13
 5.400000E+01 83 15704 50 16 4 13
 5.500000E+01 101 15697 67 13 6 15
 5.600000E+01 92 15689 57 10 8 17
 5.700000E+01 103 15680 64 12 9 18
 5.800000E+01 111 15671 69 12 9 21
 5.900000E+01 119 15661 71 17 10 21
 6.000000E+01 140 15647 86 20 11 23
 6.100000E+01 152 15635 97 18 12 25
 6.200000E+01 176 15624 114 21 12 29
 6.300000E+01 188 15600 118 26 12 32
 6.400000E+01 200 15585 125 27 14 34
 6.500000E+01 238 15563 153 32 15 38
 6.600000E+01 256 15533 162 31 17 46
 6.700000E+01 279 15505 174 34 19 52
 6.800000E+01 283 15481 175 27 20 61
 6.900000E+01 324 15459 205 34 22 63
 7.000000E+01 311 15433 177 41 25 68
 7.100000E+01 372 15405 222 47 29 74
 7.200000E+01 409 15376 248 53 30 78
 7.300000E+01 460 15339 278 66 33 83
 7.400000E+01 524 15287 328 69 36 91
 7.500000E+01 563 15248 343 80 40 100
 7.600000E+01 589 15194 358 74 47 110
 7.700000E+01 654 15153 412 75 50 117
 7.800000E+01 717 15098 435 102 56 124
 7.900000E+01 816 15024 508 113 62 133
 8.000000E+01 880 14943 542 122 67 149
 8.100000E+01 945 14858 576 126 79 164
 8.200000E+01 1079 14764 671 148 87 173
 8.300000E+01 1170 14636 714 173 91 192
 8.400000E+01 1298 14499 817 161 98 222
 8.500000E+01 1396 14371 852 187 108 249
 8.600000E+01 1522 14252 923 202 118 279
 8.700000E+01 1675 14103 1015 226 129 305
 8.800000E+01 1866 13944 1140 250 141 335
 8.900000E+01 2114 13787 1305 306 151 352
 9.000000E+01 2262 13597 1369 332 168 393
 9.100000E+01 2434 13386 1471 352 180 431
 9.200000E+01 2771 13140 1699 389 210 473
 9.300000E+01 2963 12909 1782 429 232 520
 9.400000E+01 3209 12638 1940 444 257 568
 9.500000E+01 3515 12330 2115 498 284 618
 9.600000E+01 3949 11999 2432 538 305 674
 9.700000E+01 4183 11651 2524 584 336 739
 9.800000E+01 4595 11305 2788 629 372 806
 9.900000E+01 5211 10893 3212 719 400 880
 1.000000E+02 5518 10470 3334 772 449 963

#Simulation ended (eff.: 0.988148, detail below)
	#Events: 51443
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
