# time 'Cases' 'Succeptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 7000 0 0 0 0
 1.000000E+00 0 7000 0 0 0 0
 2.000000E+00 0 7000 0 0 0 0
 3.000000E+00 0 7000 0 0 0 0
 4.000000E+00 0 7000 0 0 0 0
 5.000000E+00 0 7000 0 0 0 0
 6.000000E+00 0 7000 0 0 0 0
 7.000000E+00 1 7000 1 0 0 0
 8.000000E+00 0 7000 0 0 0 0
 9.000000E+00 0 7000 0 0 0 0
 1.000000E+01 0 7000 0 0 0 0
 1.100000E+01 0 7000 0 0 0 0
 1.200000E+01 0 7000 0 0 0 0
 1.300000E+01 0 7000 0 0 0 0
 1.400000E+01 0 7000 0 0 0 0
 1.500000E+01 0 7000 0 0 0 0
 1.600000E+01 0 7000 0 0 0 0
 1.700000E+01 0 7000 0 0 0 0
 1.800000E+01 2 7000 2 0 0 0
 1.900000E+01 2 7000 2 0 0 0
 2.000000E+01 2 7000 2 0 0 0
 2.100000E+01 1 7000 1 0 0 0
 2.200000E+01 3 6998 2 1 0 0
 2.300000E+01 1 6997 0 1 0 0
 2.400000E+01 2 6997 1 0 1 0
 2.500000E+01 3 6997 2 0 1 0
 2.600000E+01 2 6997 1 0 1 0
 2.700000E+01 3 6997 2 0 1 0
 2.800000E+01 1 6997 0 0 1 0
 2.900000E+01 2 6997 1 0 1 0
 3.000000E+01 2 6997 1 0 1 0
 3.100000E+01 4 6997 3 0 1 0
 3.200000E+01 4 6997 3 0 1 0
 3.300000E+01 3 6997 2 0 1 0
 3.400000E+01 5 6997 4 0 1 0
 3.500000E+01 5 6997 4 0 1 0
 3.600000E+01 2 6997 1 0 1 0
 3.700000E+01 4 6997 3 0 1 0
 3.800000E+01 1 6997 0 0 1 0
 3.900000E+01 2 6997 1 0 1 0
 4.000000E+01 3 6997 1 1 1 0
 4.100000E+01 6 6994 3 2 1 0
 4.200000E+01 8 6991 4 3 1 0
 4.300000E+01 7 6988 3 0 2 2
 4.400000E+01 8 6985 4 0 2 2
 4.500000E+01 10 6981 6 0 2 2
 4.600000E+01 10 6979 5 1 2 2
 4.700000E+01 10 6979 4 2 2 2
 4.800000E+01 11 6975 5 2 2 2
 4.900000E+01 13 6970 6 3 2 2
 5.000000E+01 20 6965 12 3 2 3
 5.100000E+01 27 6960 18 4 2 3
 5.200000E+01 23 6952 14 4 2 3
 5.300000E+01 28 6946 18 5 2 3
 5.400000E+01 27 6938 17 5 2 3
 5.500000E+01 28 6923 20 3 2 3
 5.600000E+01 36 6917 27 2 3 4
 5.700000E+01 45 6901 30 8 3 4
 5.800000E+01 53 6888 35 9 4 5
 5.900000E+01 51 6879 31 9 4 7
 6.000000E+01 71 6849 45 15 4 7
 6.100000E+01 84 6828 55 16 5 8
 6.200000E+01 86 6805 58 12 7 9
 6.300000E+01 90 6780 60 13 8 9
 6.400000E+01 96 6754 61 17 8 10
 6.500000E+01 111 6722 73 17 8 13
 6.600000E+01 126 6695 83 19 8 16
 6.700000E+01 140 6668 94 18 8 20
 6.800000E+01 181 6610 129 24 8 20
 6.900000E+01 197 6556 124 40 11 22
 7.000000E+01 227 6485 144 40 14 29
 7.100000E+01 260 6417 169 39 16 36
 7.200000E+01 312 6335 207 45 18 42
 7.300000E+01 344 6252 226 46 23 49
 7.400000E+01 395 6153 266 53 24 52
 7.500000E+01 418 6054 283 51 28 56
 7.600000E+01 453 5952 300 58 34 61
 7.700000E+01 488 5851 310 65 37 76
 7.800000E+01 530 5721 327 83 39 81
 7.900000E+01 628 5563 413 79 43 93
 8.000000E+01 687 5434 452 85 49 101
 8.100000E+01 789 5278 513 114 56 106
 8.200000E+01 920 5050 590 149 61 120
 8.300000E+01 1005 4841 645 156 70 134
 8.400000E+01 1173 4599 752 192 79 150
 8.500000E+01 1365 4273 883 218 90 174
 8.600000E+01 1525 3938 982 245 97 201
 8.700000E+01 1641 3640 1057 247 111 226
 8.800000E+01 1796 3328 1153 259 122 262
 8.900000E+01 1987 2977 1254 299 143 291
 9.000000E+01 2187 2589 1358 343 153 333
 9.100000E+01 2382 2155 1462 383 172 365
 9.200000E+01 2547 1788 1528 420 186 413
 9.300000E+01 2764 1386 1604 478 202 480
 9.400000E+01 2951 1018 1688 505 218 540
 9.500000E+01 3180 702 1785 547 250 598
 9.600000E+01 3214 487 1706 570 279 659
 9.700000E+01 3418 315 1809 585 304 720
 9.800000E+01 3472 195 1734 623 331 784
 9.900000E+01 3613 115 1758 625 366 864
 1.000000E+02 3787 68 1813 634 400 940

#Simulation ended (eff.: 0.995282, detail below)
	#Events: 31013
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
