# time 'Cases' 'Succeptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 4700 0 0 0 0
 1.000000E+00 0 4700 0 0 0 0
 2.000000E+00 0 4700 0 0 0 0
 3.000000E+00 0 4700 0 0 0 0
 4.000000E+00 0 4700 0 0 0 0
 5.000000E+00 0 4700 0 0 0 0
 6.000000E+00 0 4700 0 0 0 0
 7.000000E+00 0 4700 0 0 0 0
 8.000000E+00 0 4700 0 0 0 0
 9.000000E+00 0 4700 0 0 0 0
 1.000000E+01 0 4700 0 0 0 0
 1.100000E+01 0 4700 0 0 0 0
 1.200000E+01 0 4700 0 0 0 0
 1.300000E+01 3 4696 2 1 0 0
 1.400000E+01 3 4694 2 1 0 0
 1.500000E+01 5 4693 3 1 0 1
 1.600000E+01 2 4692 1 0 0 1
 1.700000E+01 3 4692 2 0 0 1
 1.800000E+01 2 4692 1 0 0 1
 1.900000E+01 2 4692 1 0 0 1
 2.000000E+01 3 4691 2 0 0 1
 2.100000E+01 2 4691 1 0 0 1
 2.200000E+01 1 4691 0 0 0 1
 2.300000E+01 1 4691 0 0 0 1
 2.400000E+01 2 4691 1 0 0 1
 2.500000E+01 1 4691 0 0 0 1
 2.600000E+01 2 4691 1 0 0 1
 2.700000E+01 4 4691 3 0 0 1
 2.800000E+01 1 4691 0 0 0 1
 2.900000E+01 1 4691 0 0 0 1
 3.000000E+01 2 4691 1 0 0 1
 3.100000E+01 2 4691 1 0 0 1
 3.200000E+01 2 4691 1 0 0 1
 3.300000E+01 2 4691 1 0 0 1
 3.400000E+01 3 4691 2 0 0 1
 3.500000E+01 4 4691 3 0 0 1
 3.600000E+01 5 4691 4 0 0 1
 3.700000E+01 5 4691 4 0 0 1
 3.800000E+01 2 4691 1 0 0 1
 3.900000E+01 5 4691 4 0 0 1
 4.000000E+01 4 4691 3 0 0 1
 4.100000E+01 3 4691 2 0 0 1
 4.200000E+01 4 4691 3 0 0 1
 4.300000E+01 2 4691 1 0 0 1
 4.400000E+01 2 4691 1 0 0 1
 4.500000E+01 3 4691 2 0 0 1
 4.600000E+01 6 4691 5 0 0 1
 4.700000E+01 5 4691 4 0 0 1
 4.800000E+01 4 4691 3 0 0 1
 4.900000E+01 3 4691 2 0 0 1
 5.000000E+01 4 4691 3 0 0 1
 5.100000E+01 4 4691 3 0 0 1
 5.200000E+01 8 4691 6 1 0 1
 5.300000E+01 9 4691 7 0 0 2
 5.400000E+01 14 4689 10 2 0 2
 5.500000E+01 12 4686 8 2 0 2
 5.600000E+01 16 4680 11 3 0 2
 5.700000E+01 21 4670 15 4 0 2
 5.800000E+01 26 4656 19 5 0 2
 5.900000E+01 32 4642 24 5 0 3
 6.000000E+01 37 4629 29 5 0 3
 6.100000E+01 45 4616 34 7 0 4
 6.200000E+01 56 4588 43 8 0 5
 6.300000E+01 53 4566 41 7 0 5
 6.400000E+01 47 4546 33 9 0 5
 6.500000E+01 60 4524 42 11 0 7
 6.600000E+01 75 4499 53 13 1 8
 6.700000E+01 99 4450 70 18 2 9
 6.800000E+01 122 4398 88 22 3 9
 6.900000E+01 148 4343 110 24 3 11
 7.000000E+01 145 4293 100 28 6 11
 7.100000E+01 169 4222 120 25 6 18
 7.200000E+01 184 4168 132 25 7 20
 7.300000E+01 207 4100 149 28 8 22
 7.400000E+01 265 4027 193 37 10 25
 7.500000E+01 317 3916 230 46 14 27
 7.600000E+01 382 3762 271 66 15 30
 7.700000E+01 449 3592 315 77 17 40
 7.800000E+01 524 3392 371 78 20 55
 7.900000E+01 567 3206 380 101 25 61
 8.000000E+01 664 2974 464 97 29 74
 8.100000E+01 692 2755 463 103 37 89
 8.200000E+01 798 2498 538 117 42 101
 8.300000E+01 946 2220 652 130 52 112
 8.400000E+01 1059 1926 716 160 60 123
 8.500000E+01 1124 1640 748 164 67 145
 8.600000E+01 1192 1325 755 189 81 167
 8.700000E+01 1341 999 867 186 95 193
 8.800000E+01 1332 743 805 203 103 221
 8.900000E+01 1396 528 815 223 114 244
 9.000000E+01 1486 330 856 237 122 271
 9.100000E+01 1487 191 815 247 131 294
 9.200000E+01 1519 98 791 260 143 325
 9.300000E+01 1542 50 762 275 154 351
 9.400000E+01 1622 21 793 279 168 382
 9.500000E+01 1648 9 793 264 181 410
 9.600000E+01 1745 4 807 293 201 444
 9.700000E+01 1902 2 906 310 215 471
 9.800000E+01 1996 0 922 339 235 500
 9.900000E+01 2084 0 938 366 248 532
 1.000000E+02 2170 0 974 361 263 572

#Simulation ended (eff.: 0.989628, detail below)
	#Events: 17365
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
