 time 'Cases' 'Succeptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 1 100000 0 1 0 0
 1.000000E+00 1 100000 0 0 0 1
 2.000000E+00 1 100000 0 0 0 1
 3.000000E+00 1 100000 0 0 0 1
 4.000000E+00 1 100000 0 0 0 1
 5.000000E+00 2 99999 1 0 0 1
 6.000000E+00 2 99999 1 0 0 1
 7.000000E+00 1 99999 0 0 0 1
 8.000000E+00 1 99999 0 0 0 1
 9.000000E+00 1 99999 0 0 0 1
 1.000000E+01 2 99999 1 0 0 1
 1.100000E+01 1 99999 0 0 0 1
 1.200000E+01 1 99999 0 0 0 1
 1.300000E+01 3 99999 2 0 0 1
 1.400000E+01 5 99999 4 0 0 1
 1.500000E+01 3 99999 2 0 0 1
 1.600000E+01 8 99999 6 1 0 1
 1.700000E+01 8 99998 6 1 0 1
 1.800000E+01 7 99997 5 1 0 1
 1.900000E+01 6 99997 4 1 0 1
 2.000000E+01 7 99997 4 2 0 1
 2.100000E+01 11 99994 8 2 0 1
 2.200000E+01 13 99994 10 2 0 1
 2.300000E+01 15 99994 11 2 0 2
 2.400000E+01 13 99994 9 2 0 2
 2.500000E+01 14 99994 10 1 0 3
 2.600000E+01 13 99994 9 1 0 3
 2.700000E+01 11 99994 7 1 0 3
 2.800000E+01 17 99993 12 2 0 3
 2.900000E+01 19 99990 14 2 0 3
 3.000000E+01 19 99989 10 5 0 4
 3.100000E+01 19 99987 9 5 0 5
 3.200000E+01 22 99984 11 5 1 5
 3.300000E+01 26 99981 14 5 1 6
 3.400000E+01 23 99980 10 4 2 7
 3.500000E+01 23 99980 9 4 3 7
 3.600000E+01 27 99977 11 4 5 7
 3.700000E+01 25 99977 7 5 6 7
 3.800000E+01 29 99977 11 5 6 7
 3.900000E+01 27 99976 8 3 6 10
 4.000000E+01 27 99976 6 5 6 10
 4.100000E+01 30 99975 8 5 6 11
 4.200000E+01 32 99973 10 5 6 11
 4.300000E+01 38 99972 13 7 6 12
 4.400000E+01 43 99968 18 6 6 13
 4.500000E+01 45 99967 18 5 6 16
 4.600000E+01 48 99965 19 7 6 16
 4.700000E+01 50 99964 18 9 6 17
 4.800000E+01 55 99960 23 5 6 21
 4.900000E+01 65 99956 31 7 6 21
 5.000000E+01 62 99954 28 6 6 22
 5.100000E+01 71 99950 34 9 6 22
 5.200000E+01 75 99949 36 10 7 22
 5.300000E+01 79 99946 38 12 7 22
 5.400000E+01 84 99943 43 11 8 22
 5.500000E+01 98 99938 52 14 8 24
 5.600000E+01 108 99936 56 18 8 26
 5.700000E+01 117 99932 65 15 9 28
 5.800000E+01 127 99929 68 19 9 31
 5.900000E+01 148 99923 79 27 10 32
 6.000000E+01 174 99915 94 31 12 37
 6.100000E+01 194 99906 105 34 15 40
 6.200000E+01 239 99896 143 37 16 43
 6.300000E+01 303 99884 196 38 18 51
 6.400000E+01 365 99871 237 50 19 59
 6.500000E+01 399 99854 263 48 21 67
 6.600000E+01 443 99843 290 53 22 78
 6.700000E+01 504 99825 322 71 27 84
 6.800000E+01 575 99803 369 83 34 89
 6.900000E+01 684 99766 445 95 39 105
 7.000000E+01 791 99741 507 126 42 116
 7.100000E+01 906 99702 572 150 50 134
 7.200000E+01 1030 99655 651 162 59 158
 7.300000E+01 1164 99604 732 189 65 178
 7.400000E+01 1305 99540 801 227 73 204
 7.500000E+01 1486 99474 920 255 82 229
 7.600000E+01 1714 99391 1055 310 93 256
 7.700000E+01 1968 99288 1191 380 107 290
 7.800000E+01 2284 99179 1400 428 125 331
 7.900000E+01 2574 99061 1587 459 140 388
 8.000000E+01 2931 98904 1808 509 168 446
 8.100000E+01 3325 98741 2046 574 199 506
 8.200000E+01 3748 98557 2287 661 236 564
 8.300000E+01 4244 98343 2568 750 273 653
 8.400000E+01 4733 98094 2817 858 312 746
 8.500000E+01 5279 97834 3094 985 352 848
 8.600000E+01 6020 97526 3586 1054 397 983
 8.700000E+01 6706 97202 3933 1222 447 1104
 8.800000E+01 7526 96797 4415 1337 516 1258
 8.900000E+01 8317 96361 4785 1534 588 1410
 9.000000E+01 9063 95913 5097 1725 660 1581
 9.100000E+01 9921 95439 5481 1903 744 1793
 9.200000E+01 10843 94849 5932 2061 856 1994
 9.300000E+01 11748 94249 6346 2192 967 2243
 9.400000E+01 12591 93612 6628 2361 1073 2529
 9.500000E+01 13513 92886 6958 2534 1202 2819
 9.600000E+01 14514 92156 7369 2710 1309 3126
 9.700000E+01 15311 91370 7499 2903 1449 3460
 9.800000E+01 16289 90554 7867 3017 1596 3809
 9.900000E+01 17323 89663 8211 3183 1743 4186
 1.000000E+02 18314 88752 8497 3325 1904 4588

#Simulation ended (eff.: 0.998509, detail below)
	#Events: 52898
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
