# time 'Cases' 'Succeptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 15800 0 0 0 0
 1.000000E+00 0 15800 0 0 0 0
 2.000000E+00 0 15800 0 0 0 0
 3.000000E+00 0 15800 0 0 0 0
 4.000000E+00 0 15800 0 0 0 0
 5.000000E+00 0 15800 0 0 0 0
 6.000000E+00 0 15800 0 0 0 0
 7.000000E+00 0 15800 0 0 0 0
 8.000000E+00 1 15800 1 0 0 0
 9.000000E+00 1 15800 1 0 0 0
 1.000000E+01 0 15800 0 0 0 0
 1.100000E+01 0 15800 0 0 0 0
 1.200000E+01 0 15800 0 0 0 0
 1.300000E+01 0 15800 0 0 0 0
 1.400000E+01 0 15800 0 0 0 0
 1.500000E+01 1 15800 1 0 0 0
 1.600000E+01 0 15800 0 0 0 0
 1.700000E+01 0 15800 0 0 0 0
 1.800000E+01 1 15800 0 1 0 0
 1.900000E+01 1 15800 0 1 0 0
 2.000000E+01 1 15800 0 1 0 0
 2.100000E+01 1 15800 1 0 0 0
 2.200000E+01 1 15800 1 0 0 0
 2.300000E+01 1 15800 1 0 0 0
 2.400000E+01 1 15800 0 1 0 0
 2.500000E+01 2 15799 1 1 0 0
 2.600000E+01 2 15799 1 0 0 1
 2.700000E+01 2 15799 1 0 0 1
 2.800000E+01 4 15797 3 0 0 1
 2.900000E+01 4 15797 3 0 0 1
 3.000000E+01 4 15797 3 0 0 1
 3.100000E+01 2 15797 1 0 0 1
 3.200000E+01 2 15797 1 0 0 1
 3.300000E+01 3 15797 2 0 0 1
 3.400000E+01 4 15797 2 0 0 2
 3.500000E+01 6 15795 4 0 0 2
 3.600000E+01 7 15795 5 0 0 2
 3.700000E+01 6 15795 4 0 0 2
 3.800000E+01 9 15795 7 0 0 2
 3.900000E+01 8 15795 6 0 0 2
 4.000000E+01 7 15795 4 1 0 2
 4.100000E+01 8 15794 4 2 0 2
 4.200000E+01 7 15794 4 1 0 2
 4.300000E+01 9 15794 5 2 0 2
 4.400000E+01 13 15791 8 3 0 2
 4.500000E+01 18 15786 10 6 0 2
 4.600000E+01 17 15783 10 4 0 3
 4.700000E+01 20 15782 10 7 0 3
 4.800000E+01 28 15776 17 8 0 3
 4.900000E+01 26 15775 14 7 0 5
 5.000000E+01 29 15772 17 6 0 6
 5.100000E+01 27 15769 17 3 1 6
 5.200000E+01 35 15767 25 3 1 6
 5.300000E+01 35 15765 22 6 1 6
 5.400000E+01 39 15762 24 8 1 6
 5.500000E+01 50 15758 33 6 4 7
 5.600000E+01 51 15752 29 6 5 11
 5.700000E+01 64 15747 39 8 5 12
 5.800000E+01 75 15740 42 15 5 13
 5.900000E+01 92 15726 53 19 6 14
 6.000000E+01 109 15709 65 19 7 18
 6.100000E+01 121 15697 76 19 8 18
 6.200000E+01 143 15673 88 27 8 20
 6.300000E+01 160 15646 95 33 8 24
 6.400000E+01 176 15624 111 27 11 27
 6.500000E+01 215 15600 135 40 12 28
 6.600000E+01 235 15561 143 43 16 33
 6.700000E+01 267 15522 172 41 16 38
 6.800000E+01 300 15483 184 58 17 41
 6.900000E+01 351 15432 224 61 18 48
 7.000000E+01 395 15388 259 58 20 58
 7.100000E+01 441 15348 284 60 27 70
 7.200000E+01 473 15301 301 64 32 76
 7.300000E+01 545 15234 336 88 35 86
 7.400000E+01 598 15160 361 102 39 96
 7.500000E+01 670 15096 399 118 48 105
 7.600000E+01 762 15014 463 129 52 118
 7.700000E+01 871 14914 532 149 59 131
 7.800000E+01 995 14792 621 163 63 148
 7.900000E+01 1138 14664 709 189 71 169
 8.000000E+01 1299 14505 791 234 78 196
 8.100000E+01 1476 14316 905 260 92 219
 8.200000E+01 1668 14103 1020 301 106 241
 8.300000E+01 1879 13876 1137 353 122 267
 8.400000E+01 2123 13626 1277 392 140 314
 8.500000E+01 2451 13321 1458 474 156 363
 8.600000E+01 2778 12961 1665 502 185 426
 8.700000E+01 3126 12590 1890 529 217 490
 8.800000E+01 3472 12209 2096 597 236 543
 8.900000E+01 3816 11800 2267 679 260 610
 9.000000E+01 4250 11340 2505 751 292 702
 9.100000E+01 4694 10853 2757 809 327 801
 9.200000E+01 5177 10309 3021 893 371 892
 9.300000E+01 5550 9779 3157 985 409 999
 9.400000E+01 6079 9183 3403 1090 461 1125
 9.500000E+01 6547 8587 3599 1197 508 1243
 9.600000E+01 6989 7930 3750 1288 579 1372
 9.700000E+01 7497 7268 3944 1402 640 1511
 9.800000E+01 7892 6611 4026 1485 699 1682
 9.900000E+01 8257 5959 4104 1532 766 1855
 1.000000E+02 8565 5355 4088 1564 866 2047

#Simulation ended (eff.: 0.998067, detail below)
	#Events: 38733
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
