# time 'Cases' 'Succeptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 7000 0 0 0 0
 1.000000E+00 0 7000 0 0 0 0
 2.000000E+00 0 7000 0 0 0 0
 3.000000E+00 1 6999 0 1 0 0
 4.000000E+00 3 6998 2 0 0 1
 5.000000E+00 3 6996 2 0 0 1
 6.000000E+00 1 6996 0 0 0 1
 7.000000E+00 2 6995 0 1 0 1
 8.000000E+00 8 6989 6 1 0 1
 9.000000E+00 13 6982 10 2 0 1
 1.000000E+01 18 6974 14 3 0 1
 1.100000E+01 17 6970 14 1 0 2
 1.200000E+01 16 6968 13 0 0 3
 1.300000E+01 22 6961 17 2 0 3
 1.400000E+01 26 6954 19 4 0 3
 1.500000E+01 31 6946 24 4 0 3
 1.600000E+01 32 6940 25 3 1 3
 1.700000E+01 28 6937 23 1 1 3
 1.800000E+01 30 6932 22 4 1 3
 1.900000E+01 36 6921 25 7 1 3
 2.000000E+01 40 6908 27 8 1 4
 2.100000E+01 46 6892 34 6 1 5
 2.200000E+01 62 6875 45 10 1 6
 2.300000E+01 68 6865 52 9 1 6
 2.400000E+01 84 6841 62 14 1 7
 2.500000E+01 87 6823 63 15 1 8
 2.600000E+01 112 6786 80 20 1 11
 2.700000E+01 123 6757 85 24 1 13
 2.800000E+01 149 6708 103 27 2 17
 2.900000E+01 167 6658 114 28 6 19
 3.000000E+01 190 6609 127 34 8 21
 3.100000E+01 214 6562 139 36 11 28
 3.200000E+01 291 6459 196 49 13 33
 3.300000E+01 335 6374 233 49 15 38
 3.400000E+01 387 6275 263 58 20 46
 3.500000E+01 453 6171 313 66 23 51
 3.600000E+01 508 6065 351 72 29 56
 3.700000E+01 563 5946 379 88 32 64
 3.800000E+01 647 5785 429 105 37 76
 3.900000E+01 748 5603 495 119 43 91
 4.000000E+01 843 5406 562 122 47 112
 4.100000E+01 956 5211 637 141 54 124
 4.200000E+01 1072 4992 704 169 57 142
 4.300000E+01 1238 4716 816 195 65 162
 4.400000E+01 1407 4404 909 239 75 184
 4.500000E+01 1617 4057 1054 266 87 210
 4.600000E+01 1809 3712 1197 273 96 243
 4.700000E+01 2001 3353 1313 300 110 278
 4.800000E+01 2157 3006 1385 329 127 316
 4.900000E+01 2332 2647 1440 390 142 360
 5.000000E+01 2566 2233 1577 422 163 404
 5.100000E+01 2783 1834 1674 478 182 449
 5.200000E+01 2961 1473 1725 526 211 499
 5.300000E+01 3157 1118 1791 555 241 570
 5.400000E+01 3242 827 1748 594 265 635
 5.500000E+01 3309 589 1704 605 298 702
 5.600000E+01 3415 417 1696 614 326 779
 5.700000E+01 3540 282 1670 655 362 853
 5.800000E+01 3624 176 1623 675 393 933
 5.900000E+01 3724 108 1605 668 425 1026
 6.000000E+01 3818 59 1573 689 452 1104
 6.100000E+01 3887 43 1496 727 481 1183
 6.200000E+01 3952 29 1436 725 521 1270
 6.300000E+01 4035 19 1398 721 559 1357
 6.400000E+01 4201 10 1453 737 585 1426
 6.500000E+01 4327 3 1432 767 623 1505
 6.600000E+01 4473 1 1450 780 662 1581
 6.700000E+01 4655 0 1482 803 692 1678
 6.800000E+01 4757 0 1459 788 736 1774
 6.900000E+01 4932 0 1475 830 767 1860
 7.000000E+01 5019 0 1438 820 802 1959
 7.100000E+01 5089 0 1389 841 829 2030
 7.200000E+01 5244 0 1392 849 861 2142
 7.300000E+01 5381 0 1431 825 898 2227
 7.400000E+01 5440 0 1354 840 934 2312
 7.500000E+01 5572 0 1360 824 975 2413
 7.600000E+01 5675 0 1342 826 1008 2499
 7.700000E+01 5755 0 1278 839 1043 2595
 7.800000E+01 5828 0 1252 794 1082 2700
 7.900000E+01 5887 0 1213 792 1109 2773
 8.000000E+01 6059 0 1256 787 1145 2871
 8.100000E+01 6159 0 1229 786 1181 2963
 8.200000E+01 6283 0 1217 799 1220 3047
 8.300000E+01 6394 0 1228 759 1265 3142
 8.400000E+01 6502 0 1199 777 1299 3227
 8.500000E+01 6640 0 1214 788 1335 3303
 8.600000E+01 6773 0 1209 802 1371 3391
 8.700000E+01 6850 0 1179 782 1406 3483
 8.800000E+01 6930 0 1145 770 1449 3566
 8.900000E+01 7044 0 1118 778 1487 3661
 9.000000E+01 7165 0 1110 783 1525 3747
 9.100000E+01 7282 0 1081 798 1565 3838
 9.200000E+01 7403 0 1123 742 1601 3937
 9.300000E+01 7520 0 1112 760 1628 4020
 9.400000E+01 7566 0 1109 714 1655 4088
 9.500000E+01 7684 0 1116 702 1690 4176
 9.600000E+01 7729 0 1078 694 1718 4239
 9.700000E+01 7826 0 1041 732 1748 4305
 9.800000E+01 7920 0 1043 704 1781 4392
 9.900000E+01 8013 0 1028 711 1812 4462
 1.000000E+02 8165 0 1062 730 1845 4528

#Simulation ended (eff.: 0.989501, detail below)
	#Events: 50045
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
