# time 'Cases' 'Succeptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 4700 0 0 0 0
 1.000000E+00 0 4700 0 0 0 0
 2.000000E+00 0 4700 0 0 0 0
 3.000000E+00 0 4700 0 0 0 0
 4.000000E+00 0 4700 0 0 0 0
 5.000000E+00 0 4700 0 0 0 0
 6.000000E+00 0 4700 0 0 0 0
 7.000000E+00 0 4700 0 0 0 0
 8.000000E+00 0 4700 0 0 0 0
 9.000000E+00 0 4700 0 0 0 0
 1.000000E+01 0 4700 0 0 0 0
 1.100000E+01 0 4700 0 0 0 0
 1.200000E+01 0 4700 0 0 0 0
 1.300000E+01 0 4700 0 0 0 0
 1.400000E+01 0 4700 0 0 0 0
 1.500000E+01 1 4700 1 0 0 0
 1.600000E+01 2 4700 2 0 0 0
 1.700000E+01 2 4700 2 0 0 0
 1.800000E+01 2 4700 1 1 0 0
 1.900000E+01 7 4695 6 1 0 0
 2.000000E+01 8 4693 7 0 0 1
 2.100000E+01 7 4693 6 0 0 1
 2.200000E+01 14 4687 10 3 0 1
 2.300000E+01 20 4676 15 3 0 2
 2.400000E+01 28 4666 20 6 0 2
 2.500000E+01 40 4650 33 5 0 2
 2.600000E+01 58 4624 44 12 0 2
 2.700000E+01 65 4607 49 13 0 3
 2.800000E+01 95 4569 73 19 0 3
 2.900000E+01 110 4531 83 23 0 4
 3.000000E+01 146 4471 114 23 2 7
 3.100000E+01 178 4414 138 27 3 10
 3.200000E+01 227 4336 179 28 6 14
 3.300000E+01 280 4262 213 41 8 18
 3.400000E+01 333 4164 254 50 9 20
 3.500000E+01 403 4042 313 52 13 25
 3.600000E+01 482 3903 361 75 15 31
 3.700000E+01 574 3740 430 84 17 43
 3.800000E+01 739 3501 556 111 20 52
 3.900000E+01 868 3265 652 130 23 63
 4.000000E+01 1061 2956 795 152 32 82
 4.100000E+01 1210 2647 910 152 45 103
 4.200000E+01 1395 2318 1040 182 53 120
 4.300000E+01 1594 1946 1164 218 61 151
 4.400000E+01 1784 1571 1271 279 67 167
 4.500000E+01 1940 1202 1334 320 81 205
 4.600000E+01 2028 876 1348 341 92 247
 4.700000E+01 2078 578 1332 348 111 287
 4.800000E+01 2080 361 1267 354 126 333
 4.900000E+01 2022 213 1167 337 142 376
 5.000000E+01 1991 115 1054 358 161 418
 5.100000E+01 1917 59 912 366 179 460
 5.200000E+01 1865 31 799 374 198 494
 5.300000E+01 1799 11 685 359 218 537
 5.400000E+01 1772 2 629 338 237 568
 5.500000E+01 1736 1 577 312 248 599
 5.600000E+01 1762 0 569 311 261 621
 5.700000E+01 1817 0 570 312 279 656
 5.800000E+01 1867 0 557 327 294 689
 5.900000E+01 1950 0 596 318 305 731
 6.000000E+01 1982 0 585 316 316 765
 6.100000E+01 2024 0 573 326 330 795
 6.200000E+01 2114 0 598 339 350 827
 6.300000E+01 2190 0 621 334 372 863
 6.400000E+01 2272 0 656 332 385 899
 6.500000E+01 2345 0 665 349 400 931
 6.600000E+01 2443 0 692 368 413 970
 6.700000E+01 2527 0 713 375 425 1014
 6.800000E+01 2658 0 770 381 451 1056
 6.900000E+01 2754 0 805 371 468 1110
 7.000000E+01 2834 0 819 366 490 1159
 7.100000E+01 2924 0 803 413 508 1200
 7.200000E+01 3048 0 836 432 526 1254
 7.300000E+01 3122 0 846 435 540 1301
 7.400000E+01 3256 0 858 471 564 1363
 7.500000E+01 3404 0 905 498 580 1421
 7.600000E+01 3539 0 932 530 603 1474
 7.700000E+01 3607 0 918 538 633 1518
 7.800000E+01 3672 0 909 521 662 1580
 7.900000E+01 3764 0 884 543 692 1645
 8.000000E+01 3879 0 885 555 726 1713
 8.100000E+01 3969 0 899 544 746 1780
 8.200000E+01 4058 0 900 556 774 1828
 8.300000E+01 4156 0 905 556 808 1887
 8.400000E+01 4259 0 907 561 835 1956
 8.500000E+01 4361 0 911 569 860 2021
 8.600000E+01 4460 0 923 577 885 2075
 8.700000E+01 4546 0 902 583 913 2148
 8.800000E+01 4653 0 914 591 932 2216
 8.900000E+01 4746 0 935 566 962 2283
 9.000000E+01 4849 0 957 554 998 2340
 9.100000E+01 4957 0 963 565 1031 2398
 9.200000E+01 5046 0 938 593 1054 2461
 9.300000E+01 5086 0 897 569 1086 2534
 9.400000E+01 5182 0 922 570 1107 2583
 9.500000E+01 5270 0 928 582 1128 2632
 9.600000E+01 5344 0 898 597 1154 2695
 9.700000E+01 5411 0 891 582 1176 2762
 9.800000E+01 5471 0 868 572 1198 2833
 9.900000E+01 5547 0 874 554 1222 2897
 1.000000E+02 5662 0 886 578 1240 2958

#Simulation ended (eff.: 0.986091, detail below)
	#Events: 29280
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
