# time 'Cases' 'Succeptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 1 100000 0 1 0 0
 1.000000E+00 1 99999 1 0 0 0
 2.000000E+00 1 99999 1 0 0 0
 3.000000E+00 1 99999 1 0 0 0
 4.000000E+00 0 99999 0 0 0 0
 5.000000E+00 1 99999 1 0 0 0
 6.000000E+00 2 99999 2 0 0 0
 7.000000E+00 3 99999 3 0 0 0
 8.000000E+00 1 99999 1 0 0 0
 9.000000E+00 1 99999 1 0 0 0
 1.000000E+01 2 99999 2 0 0 0
 1.100000E+01 5 99999 4 1 0 0
 1.200000E+01 5 99999 4 1 0 0
 1.300000E+01 8 99999 7 1 0 0
 1.400000E+01 11 99998 8 3 0 0
 1.500000E+01 11 99998 8 1 1 1
 1.600000E+01 15 99997 11 2 1 1
 1.700000E+01 21 99996 13 5 1 2
 1.800000E+01 29 99994 20 5 2 2
 1.900000E+01 33 99992 19 9 2 3
 2.000000E+01 40 99989 22 11 3 4
 2.100000E+01 44 99986 27 10 3 4
 2.200000E+01 47 99985 27 13 3 4
 2.300000E+01 57 99984 31 15 4 7
 2.400000E+01 69 99984 38 17 4 10
 2.500000E+01 92 99978 49 28 4 11
 2.600000E+01 120 99971 69 32 7 12
 2.700000E+01 155 99959 93 39 8 15
 2.800000E+01 194 99947 123 42 10 19
 2.900000E+01 249 99937 163 49 14 23
 3.000000E+01 301 99927 200 56 15 30
 3.100000E+01 371 99906 238 78 18 37
 3.200000E+01 454 99880 297 91 20 46
 3.300000E+01 528 99854 345 101 26 56
 3.400000E+01 638 99825 410 126 32 70
 3.500000E+01 755 99787 495 144 34 82
 3.600000E+01 904 99733 595 170 40 99
 3.700000E+01 1094 99672 718 207 51 118
 3.800000E+01 1280 99614 824 247 59 150
 3.900000E+01 1509 99537 969 290 76 174
 4.000000E+01 1822 99439 1139 379 84 220
 4.100000E+01 2165 99305 1368 423 102 272
 4.200000E+01 2527 99174 1591 501 122 313
 4.300000E+01 2919 99006 1824 590 143 362
 4.400000E+01 3433 98805 2125 714 171 423
 4.500000E+01 3946 98609 2409 812 212 513
 4.600000E+01 4483 98370 2678 934 258 613
 4.700000E+01 5176 98072 3044 1105 305 722
 4.800000E+01 5878 97734 3399 1280 353 846
 4.900000E+01 6590 97343 3727 1409 431 1023
 5.000000E+01 7307 96917 4070 1545 499 1193
 5.100000E+01 8107 96450 4434 1728 575 1370
 5.200000E+01 8894 95938 4754 1929 638 1573
 5.300000E+01 9712 95399 5057 2110 757 1788
 5.400000E+01 10634 94761 5470 2271 879 2014
 5.500000E+01 11544 94125 5792 2475 1003 2274
 5.600000E+01 12449 93376 6129 2597 1135 2588
 5.700000E+01 13291 92652 6438 2714 1259 2880
 5.800000E+01 14268 91839 6765 2912 1399 3192
 5.900000E+01 15079 91046 6957 3067 1546 3509
 6.000000E+01 16113 90165 7367 3168 1707 3871
 6.100000E+01 17154 89260 7698 3362 1854 4240
 6.200000E+01 18102 88322 7972 3463 2046 4621
 6.300000E+01 19120 87361 8232 3649 2201 5038
 6.400000E+01 20150 86324 8536 3783 2355 5476
 6.500000E+01 21188 85293 8819 3889 2531 5949
 6.600000E+01 22233 84187 9083 4056 2692 6402
 6.700000E+01 23264 83050 9339 4152 2891 6882
 6.800000E+01 24331 81878 9663 4192 3105 7371
 6.900000E+01 25372 80681 9881 4305 3327 7859
 7.000000E+01 26490 79506 10081 4533 3534 8342
 7.100000E+01 27608 78284 10277 4683 3770 8878
 7.200000E+01 28687 77009 10423 4826 4016 9422
 7.300000E+01 29850 75728 10680 4905 4263 10002
 7.400000E+01 30853 74492 10758 5003 4523 10569
 7.500000E+01 31935 73168 10943 5043 4782 11167
 7.600000E+01 32864 71864 10977 5120 5048 11719
 7.700000E+01 33972 70556 11138 5191 5307 12336
 7.800000E+01 35051 69244 11253 5315 5564 12919
 7.900000E+01 36213 67893 11424 5445 5822 13522
 8.000000E+01 37115 66614 11364 5481 6097 14173
 8.100000E+01 38133 65294 11407 5557 6376 14793
 8.200000E+01 39228 63870 11513 5621 6680 15414
 8.300000E+01 40191 62570 11556 5603 6943 16089
 8.400000E+01 41105 61216 11529 5654 7211 16711
 8.500000E+01 42057 59836 11489 5718 7471 17379
 8.600000E+01 42986 58500 11498 5714 7759 18015
 8.700000E+01 43916 57225 11405 5760 8029 18722
 8.800000E+01 44865 55891 11388 5764 8337 19376
 8.900000E+01 45839 54545 11391 5827 8588 20033
 9.000000E+01 46827 53189 11428 5804 8868 20727
 9.100000E+01 47696 51868 11355 5782 9167 21392
 9.200000E+01 48644 50528 11348 5787 9426 22083
 9.300000E+01 49574 49247 11311 5806 9715 22742
 9.400000E+01 50464 47939 11298 5727 10020 23419
 9.500000E+01 51408 46639 11336 5743 10281 24048
 9.600000E+01 52288 45449 11273 5718 10567 24730
 9.700000E+01 53235 44182 11235 5784 10854 25362
 9.800000E+01 53997 43047 11083 5774 11136 26004
 9.900000E+01 54854 41806 11058 5770 11397 26629
 1.000000E+02 55568 40676 10930 5656 11696 27286

#Simulation ended (eff.: 0.999743, detail below)
	#Events: 210371
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
