# time 'Cases' 'Succeptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 15800 0 0 0 0
 1.000000E+00 0 15800 0 0 0 0
 2.000000E+00 0 15800 0 0 0 0
 3.000000E+00 1 15800 1 0 0 0
 4.000000E+00 1 15800 1 0 0 0
 5.000000E+00 1 15800 1 0 0 0
 6.000000E+00 3 15800 3 0 0 0
 7.000000E+00 2 15800 2 0 0 0
 8.000000E+00 4 15800 4 0 0 0
 9.000000E+00 5 15800 5 0 0 0
 1.000000E+01 7 15800 6 1 0 0
 1.100000E+01 10 15799 9 1 0 0
 1.200000E+01 14 15798 11 3 0 0
 1.300000E+01 13 15796 10 1 0 2
 1.400000E+01 16 15796 12 2 0 2
 1.500000E+01 20 15793 14 4 0 2
 1.600000E+01 22 15791 15 3 0 4
 1.700000E+01 27 15788 17 6 0 4
 1.800000E+01 30 15783 20 4 1 5
 1.900000E+01 35 15778 25 3 1 6
 2.000000E+01 49 15773 36 6 1 6
 2.100000E+01 64 15764 46 9 1 8
 2.200000E+01 72 15755 50 10 3 9
 2.300000E+01 77 15751 52 13 3 9
 2.400000E+01 95 15732 62 18 4 11
 2.500000E+01 111 15716 68 25 6 12
 2.600000E+01 129 15697 82 28 6 13
 2.700000E+01 147 15681 95 28 7 17
 2.800000E+01 174 15654 110 30 9 25
 2.900000E+01 218 15618 141 36 10 31
 3.000000E+01 249 15595 159 40 14 36
 3.100000E+01 280 15561 178 42 17 43
 3.200000E+01 321 15519 207 47 20 47
 3.300000E+01 368 15484 231 58 21 58
 3.400000E+01 432 15426 270 71 22 69
 3.500000E+01 488 15371 301 78 29 80
 3.600000E+01 570 15302 352 100 33 85
 3.700000E+01 672 15218 429 114 36 93
 3.800000E+01 789 15118 505 126 46 112
 3.900000E+01 901 15015 562 156 51 132
 4.000000E+01 1038 14901 656 173 62 147
 4.100000E+01 1204 14760 768 200 68 168
 4.200000E+01 1380 14585 888 227 73 192
 4.300000E+01 1569 14431 991 291 80 207
 4.400000E+01 1778 14233 1103 340 97 238
 4.500000E+01 2064 13976 1285 375 117 287
 4.600000E+01 2407 13698 1501 439 139 328
 4.700000E+01 2761 13359 1712 513 164 372
 4.800000E+01 3178 12975 1963 596 187 432
 4.900000E+01 3627 12552 2249 655 217 506
 5.000000E+01 4061 12133 2476 748 244 593
 5.100000E+01 4514 11661 2686 872 282 674
 5.200000E+01 5049 11092 2970 969 331 779
 5.300000E+01 5642 10496 3316 1048 385 893
 5.400000E+01 6185 9862 3554 1184 439 1008
 5.500000E+01 6783 9237 3831 1288 504 1160
 5.600000E+01 7327 8555 4048 1411 566 1302
 5.700000E+01 7867 7862 4264 1517 627 1459
 5.800000E+01 8389 7149 4443 1584 724 1638
 5.900000E+01 8938 6442 4618 1687 813 1820
 6.000000E+01 9352 5787 4686 1747 886 2033
 6.100000E+01 9810 5099 4773 1815 977 2245
 6.200000E+01 10234 4524 4792 1923 1078 2441
 6.300000E+01 10616 3936 4805 1964 1187 2660
 6.400000E+01 10918 3412 4746 1998 1279 2895
 6.500000E+01 11202 2901 4680 2017 1372 3133
 6.600000E+01 11480 2456 4538 2090 1489 3363
 6.700000E+01 11696 2074 4425 2100 1586 3585
 6.800000E+01 11934 1716 4275 2154 1684 3821
 6.900000E+01 12088 1436 4079 2140 1788 4081
 7.000000E+01 12269 1180 3961 2097 1894 4317
 7.100000E+01 12420 948 3796 2066 1998 4560
 7.200000E+01 12514 767 3619 1985 2087 4823
 7.300000E+01 12595 609 3420 1956 2171 5048
 7.400000E+01 12754 487 3290 1940 2256 5268
 7.500000E+01 12824 393 3102 1880 2348 5494
 7.600000E+01 13018 311 2983 1878 2431 5726
 7.700000E+01 13165 252 2881 1839 2511 5934
 7.800000E+01 13283 201 2754 1775 2599 6155
 7.900000E+01 13366 159 2592 1725 2694 6355
 8.000000E+01 13497 131 2489 1692 2786 6530
 8.100000E+01 13622 103 2385 1657 2867 6713
 8.200000E+01 13746 79 2288 1633 2932 6893
 8.300000E+01 13917 64 2240 1561 3022 7094
 8.400000E+01 14138 55 2242 1519 3088 7289
 8.500000E+01 14355 43 2241 1474 3167 7473
 8.600000E+01 14527 39 2191 1483 3217 7636
 8.700000E+01 14727 32 2153 1500 3292 7782
 8.800000E+01 14946 25 2141 1495 3359 7951
 8.900000E+01 15126 19 2106 1473 3431 8116
 9.000000E+01 15268 17 2037 1431 3494 8306
 9.100000E+01 15490 15 2032 1420 3564 8474
 9.200000E+01 15662 14 1994 1398 3629 8641
 9.300000E+01 15891 13 2006 1398 3691 8796
 9.400000E+01 16121 10 2000 1398 3759 8964
 9.500000E+01 16297 9 1946 1421 3834 9096
 9.600000E+01 16494 8 1937 1410 3886 9261
 9.700000E+01 16642 6 1911 1370 3939 9422
 9.800000E+01 16849 4 1913 1324 4008 9604
 9.900000E+01 17065 4 1918 1316 4075 9756
 1.000000E+02 17241 4 1875 1319 4146 9901

#Simulation ended (eff.: 0.997669, detail below)
	#Events: 79592
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
