# time 'Cases' 'Succeptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 7000 0 0 0 0
 4.000000E+00 0 7000 0 0 0 0
 8.000000E+00 0 7000 0 0 0 0
 1.200000E+01 0 7000 0 0 0 0
 1.600000E+01 0 7000 0 0 0 0
 2.000000E+01 0 7000 0 0 0 0
 2.400000E+01 0 7000 0 0 0 0
 2.800000E+01 2 7000 1 1 0 0
 3.200000E+01 3 7000 2 1 0 0
 3.600000E+01 5 6999 4 0 0 1
 4.000000E+01 2 6999 1 0 0 1
 4.400000E+01 3 6999 1 1 0 1
 4.800000E+01 5 6999 3 0 0 2
 5.200000E+01 5 6998 3 0 0 2
 5.600000E+01 5 6998 3 0 0 2
 6.000000E+01 4 6997 2 0 0 2
 6.400000E+01 5 6997 3 0 0 2
 6.800000E+01 7 6997 5 0 0 2
 7.200000E+01 8 6994 4 1 0 3
 7.600000E+01 14 6993 9 1 0 4
 8.000000E+01 12 6991 6 2 0 4
 8.400000E+01 16 6986 10 1 0 5
 8.800000E+01 30 6983 20 3 1 6
 9.200000E+01 24 6980 16 1 1 6
 9.600000E+01 36 6972 27 1 2 6
 1.000000E+02 27 6967 16 1 3 7
 1.040000E+02 43 6964 24 5 6 8
 1.080000E+02 56 6957 28 9 7 12
 1.120000E+02 64 6944 33 8 8 15
 1.160000E+02 74 6924 39 6 9 20
 1.200000E+02 107 6913 66 8 10 23
 1.240000E+02 107 6902 57 9 11 30
 1.280000E+02 156 6880 98 13 13 32
 1.320000E+02 170 6856 97 21 14 38
 1.360000E+02 183 6824 101 19 18 45
 1.400000E+02 233 6782 139 16 23 55
 1.440000E+02 261 6747 145 21 27 68
 1.480000E+02 320 6701 182 23 34 81
 1.520000E+02 387 6644 226 26 43 92
 1.560000E+02 465 6587 270 36 50 109
 1.600000E+02 547 6528 327 33 58 129
 1.640000E+02 615 6445 354 44 62 155
 1.680000E+02 753 6359 427 78 69 179
 1.720000E+02 860 6249 479 83 83 215
 1.760000E+02 1088 6111 655 90 96 247
 1.800000E+02 1229 5968 717 111 111 290
 1.840000E+02 1473 5771 853 136 131 353
 1.880000E+02 1719 5536 996 153 151 419
 1.920000E+02 1987 5283 1126 170 190 501
 1.960000E+02 2372 5044 1379 180 227 586
 2.000000E+02 2765 4716 1562 256 273 674
 2.040000E+02 3090 4399 1763 233 318 776
 2.080000E+02 3619 4087 2051 309 364 895
 2.120000E+02 4204 3647 2377 373 420 1034
 2.160000E+02 4757 3185 2625 422 493 1217
 2.200000E+02 5467 2734 2997 463 591 1416
 2.240000E+02 6231 2277 3326 560 676 1669
 2.280000E+02 6826 1829 3490 584 799 1953
 2.320000E+02 7620 1403 3748 687 915 2270
 2.360000E+02 8430 1026 3962 794 1041 2633
 2.400000E+02 9213 720 4131 864 1202 3016
 2.440000E+02 9984 516 4262 913 1394 3415
 2.480000E+02 10605 368 4216 940 1581 3868
 2.520000E+02 11225 259 4087 1026 1796 4316
 2.560000E+02 11778 181 3993 1030 1994 4761
 2.600000E+02 12129 129 3709 1033 2195 5192
 2.640000E+02 12415 93 3370 1012 2380 5653
 2.680000E+02 12644 66 2955 1007 2561 6121
 2.720000E+02 12798 46 2564 949 2721 6564
 2.760000E+02 12958 33 2267 802 2906 6983
 2.800000E+02 12970 19 1813 760 3071 7326
 2.840000E+02 13002 14 1448 690 3219 7645
 2.880000E+02 12943 11 1101 559 3351 7932
 2.920000E+02 13022 10 924 498 3453 8147
 2.960000E+02 12894 6 605 380 3554 8355
 3.000000E+02 12924 5 501 289 3625 8509
 3.040000E+02 12896 5 348 234 3681 8633
 3.080000E+02 12888 5 251 189 3728 8720
 3.120000E+02 12871 4 178 136 3757 8800
 3.160000E+02 12921 4 167 124 3782 8848
 3.200000E+02 12880 4 89 90 3804 8897
 3.240000E+02 12892 4 66 67 3824 8935
 3.280000E+02 12887 4 47 42 3837 8961
 3.320000E+02 12885 3 34 29 3841 8981
 3.360000E+02 12878 3 24 14 3850 8990
 3.400000E+02 12878 3 15 11 3852 9000
 3.440000E+02 12882 3 12 12 3852 9006
 3.480000E+02 12880 3 12 5 3852 9011
 3.520000E+02 12876 3 8 3 3852 9013
 3.560000E+02 12875 3 4 4 3852 9015
 3.600000E+02 12872 3 2 2 3853 9015
 3.640000E+02 12874 3 4 1 3853 9016
 3.680000E+02 12876 3 4 3 3853 9016
 3.720000E+02 12871 3 0 2 3853 9016
 3.760000E+02 12872 3 1 2 3853 9016
 3.800000E+02 12875 3 1 4 3854 9016
 3.840000E+02 12874 3 1 0 3855 9018
 3.880000E+02 12874 3 0 1 3855 9018
 3.920000E+02 12874 3 0 0 3855 9019
 3.960000E+02 12874 3 0 0 3855 9019
 4.000000E+02 12874 3 0 0 3855 9019

#Simulation ended (eff.: 0.957738, detail below)
	#Events: 465818
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
