# time 'Cases' 'Succeptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 4700 0 0 0 0
 5.000000E+00 16 4700 11 4 0 1
 1.000000E+01 20 4697 14 3 1 2
 1.500000E+01 21 4694 15 1 2 3
 2.000000E+01 27 4692 17 3 3 4
 2.500000E+01 27 4689 13 5 3 6
 3.000000E+01 25 4687 11 3 3 8
 3.500000E+01 34 4681 17 3 6 8
 4.000000E+01 39 4675 16 7 7 9
 4.500000E+01 43 4664 20 5 7 11
 5.000000E+01 39 4661 15 2 9 13
 5.500000E+01 45 4657 17 3 10 15
 6.000000E+01 60 4653 28 2 12 18
 6.500000E+01 65 4647 26 7 13 19
 7.000000E+01 81 4637 33 12 15 21
 7.500000E+01 83 4625 31 9 18 25
 8.000000E+01 96 4613 38 9 21 28
 8.500000E+01 110 4607 40 13 24 33
 9.000000E+01 146 4591 58 15 27 46
 9.500000E+01 160 4577 62 16 31 51
 1.000000E+02 186 4561 81 14 34 57
 1.050000E+02 192 4536 71 17 38 66
 1.100000E+02 216 4510 83 16 41 76
 1.150000E+02 247 4481 93 29 42 83
 1.200000E+02 296 4447 127 23 47 99
 1.250000E+02 319 4409 116 36 50 117
 1.300000E+02 331 4373 118 25 57 131
 1.350000E+02 390 4338 149 28 62 151
 1.400000E+02 422 4292 148 35 69 170
 1.450000E+02 468 4254 158 40 81 189
 1.500000E+02 534 4222 171 60 94 209
 1.550000E+02 567 4168 179 49 104 235
 1.600000E+02 649 4112 217 48 120 264
 1.650000E+02 690 4055 216 43 136 295
 1.700000E+02 799 3991 256 70 149 324
 1.750000E+02 895 3895 277 78 170 370
 1.800000E+02 997 3798 310 79 192 416
 1.850000E+02 1080 3714 322 75 225 458
 1.900000E+02 1150 3619 305 96 247 502
 1.950000E+02 1299 3537 367 108 268 556
 2.000000E+02 1392 3440 392 85 296 619
 2.050000E+02 1555 3321 452 109 313 681
 2.100000E+02 1690 3217 491 105 342 752
 2.150000E+02 1780 3106 469 119 372 820
 2.200000E+02 1914 3002 496 131 396 891
 2.250000E+02 2122 2885 580 154 425 963
 2.300000E+02 2189 2760 553 128 454 1054
 2.350000E+02 2377 2657 601 166 487 1123
 2.400000E+02 2513 2511 583 184 530 1216
 2.450000E+02 2646 2406 596 170 576 1304
 2.500000E+02 2740 2291 557 170 613 1400
 2.550000E+02 2927 2172 590 168 662 1507
 2.600000E+02 3099 2080 601 196 697 1605
 2.650000E+02 3211 1983 588 196 735 1692
 2.700000E+02 3298 1869 545 174 783 1796
 2.750000E+02 3428 1777 543 171 824 1890
 2.800000E+02 3614 1680 561 192 861 2000
 2.850000E+02 3734 1593 534 191 905 2104
 2.900000E+02 3876 1492 538 178 953 2207
 2.950000E+02 4005 1419 534 168 996 2307
 3.000000E+02 4122 1356 511 173 1040 2398
 3.050000E+02 4193 1299 450 161 1088 2494
 3.100000E+02 4277 1253 423 158 1123 2573
 3.150000E+02 4358 1203 405 137 1170 2646
 3.200000E+02 4452 1169 388 133 1202 2729
 3.250000E+02 4567 1135 407 125 1234 2801
 3.300000E+02 4581 1101 317 122 1272 2870
 3.350000E+02 4692 1067 338 117 1305 2932
 3.400000E+02 4739 1036 287 116 1334 3002
 3.450000E+02 4787 1009 256 101 1359 3071
 3.500000E+02 4856 989 252 93 1389 3122
 3.550000E+02 4902 955 230 91 1406 3175
 3.600000E+02 4925 934 197 96 1420 3212
 3.650000E+02 4963 914 192 75 1437 3259
 3.700000E+02 4986 895 163 64 1456 3303
 3.750000E+02 5041 883 165 69 1472 3335
 3.800000E+02 5061 865 139 64 1479 3379
 3.850000E+02 5103 843 128 77 1487 3411
 3.900000E+02 5096 830 106 40 1507 3443
 3.950000E+02 5140 825 100 52 1521 3467
 4.000000E+02 5158 814 92 41 1532 3493
 4.050000E+02 5191 804 91 42 1542 3516
 4.100000E+02 5178 798 64 21 1555 3538
 4.150000E+02 5188 789 51 29 1561 3547
 4.200000E+02 5213 783 62 21 1566 3564
 4.250000E+02 5206 780 39 14 1573 3580
 4.300000E+02 5224 777 46 17 1576 3585
 4.350000E+02 5230 770 42 18 1577 3593
 4.400000E+02 5225 769 30 15 1583 3597
 4.450000E+02 5243 767 31 23 1588 3601
 4.500000E+02 5238 763 22 11 1594 3611
 4.550000E+02 5249 762 28 9 1597 3615
 4.600000E+02 5245 762 20 3 1598 3624
 4.650000E+02 5245 761 17 2 1599 3627
 4.700000E+02 5256 761 18 6 1601 3631
 4.750000E+02 5258 761 15 7 1605 3631
 4.800000E+02 5259 761 14 5 1607 3633
 4.850000E+02 5259 761 11 2 1610 3636
 4.900000E+02 5258 761 9 1 1610 3638
 4.950000E+02 5264 761 8 2 1611 3643
 5.000000E+02 5266 760 8 1 1613 3644

#Simulation ended (eff.: 0.924474, detail below)
	#Events: 138880
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
