# time 'Cases' 'Succeptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 15800 0 0 0 0
 5.000000E+00 19 15797 16 3 0 0
 1.000000E+01 33 15795 29 1 1 2
 1.500000E+01 44 15791 33 5 1 5
 2.000000E+01 48 15783 30 7 3 8
 2.500000E+01 63 15768 37 8 5 13
 3.000000E+01 87 15759 50 8 7 22
 3.500000E+01 100 15746 48 13 10 29
 4.000000E+01 121 15720 55 17 11 38
 4.500000E+01 141 15691 56 21 17 47
 5.000000E+01 165 15662 55 25 25 60
 5.500000E+01 197 15631 67 23 31 76
 6.000000E+01 221 15607 73 24 37 87
 6.500000E+01 247 15574 79 28 42 98
 7.000000E+01 264 15549 76 36 45 107
 7.500000E+01 311 15513 107 26 52 126
 8.000000E+01 347 15471 113 32 56 146
 8.500000E+01 398 15423 137 33 66 162
 9.000000E+01 463 15366 153 46 73 191
 9.500000E+01 525 15304 175 50 81 219
 1.000000E+02 557 15246 159 55 92 251
 1.050000E+02 640 15165 188 62 105 285
 1.100000E+02 694 15083 195 67 121 311
 1.150000E+02 779 15019 227 72 137 343
 1.200000E+02 878 14919 254 81 153 390
 1.250000E+02 971 14827 282 83 172 434
 1.300000E+02 1090 14712 308 90 192 500
 1.350000E+02 1200 14590 324 102 218 556
 1.400000E+02 1333 14451 359 118 242 614
 1.450000E+02 1502 14322 436 121 266 679
 1.500000E+02 1657 14157 453 147 301 756
 1.550000E+02 1839 13959 489 177 332 841
 1.600000E+02 2071 13742 564 185 383 939
 1.650000E+02 2253 13538 592 192 434 1035
 1.700000E+02 2469 13330 641 187 476 1165
 1.750000E+02 2717 13110 706 209 524 1278
 1.800000E+02 2986 12863 780 234 574 1398
 1.850000E+02 3270 12612 845 237 635 1553
 1.900000E+02 3614 12357 902 300 700 1712
 1.950000E+02 3959 12044 995 330 765 1869
 2.000000E+02 4188 11752 979 313 841 2055
 2.050000E+02 4546 11430 1046 319 926 2255
 2.100000E+02 4915 11071 1108 343 1019 2445
 2.150000E+02 5463 10720 1304 372 1137 2650
 2.200000E+02 5862 10358 1323 433 1228 2878
 2.250000E+02 6339 9971 1355 479 1365 3140
 2.300000E+02 6844 9534 1435 510 1497 3402
 2.350000E+02 7311 9110 1470 511 1626 3704
 2.400000E+02 7828 8700 1508 548 1743 4029
 2.450000E+02 8311 8279 1545 526 1878 4362
 2.500000E+02 8747 7904 1484 552 2026 4685
 2.550000E+02 9240 7540 1541 537 2155 5007
 2.600000E+02 9733 7174 1521 567 2299 5346
 2.650000E+02 10370 6836 1638 588 2449 5695
 2.700000E+02 10810 6509 1573 597 2611 6029
 2.750000E+02 11236 6198 1519 599 2771 6347
 2.800000E+02 11754 5919 1529 618 2930 6677
 2.850000E+02 12139 5630 1472 605 3078 6984
 2.900000E+02 12487 5389 1339 592 3236 7320
 2.950000E+02 12995 5140 1343 634 3363 7655
 3.000000E+02 13371 4889 1260 615 3508 7988
 3.050000E+02 13769 4650 1205 595 3661 8308
 3.100000E+02 14166 4445 1195 529 3797 8645
 3.150000E+02 14447 4247 1074 500 3932 8941
 3.200000E+02 14774 4094 993 506 4053 9222
 3.250000E+02 15043 3942 920 450 4156 9517
 3.300000E+02 15289 3802 846 434 4256 9753
 3.350000E+02 15560 3693 821 418 4346 9975
 3.400000E+02 15701 3590 722 341 4440 10198
 3.450000E+02 15914 3501 695 310 4515 10394
 3.500000E+02 16074 3427 625 306 4576 10567
 3.550000E+02 16238 3350 558 296 4649 10735
 3.600000E+02 16408 3273 511 264 4724 10909
 3.650000E+02 16565 3205 486 241 4785 11053
 3.700000E+02 16741 3148 467 247 4841 11186
 3.750000E+02 16779 3084 355 200 4899 11325
 3.800000E+02 16915 3043 333 180 4957 11445
 3.850000E+02 17066 2992 330 180 5000 11556
 3.900000E+02 17090 2973 253 154 5035 11648
 3.950000E+02 17193 2934 249 138 5067 11739
 4.000000E+02 17248 2905 218 122 5093 11815
 4.050000E+02 17322 2879 185 133 5125 11879
 4.100000E+02 17363 2854 156 113 5146 11948
 4.150000E+02 17429 2839 152 95 5172 12010
 4.200000E+02 17470 2817 127 91 5189 12063
 4.250000E+02 17517 2803 124 70 5217 12106
 4.300000E+02 17545 2794 110 60 5231 12144
 4.350000E+02 17584 2780 108 54 5242 12180
 4.400000E+02 17611 2765 88 67 5254 12202
 4.450000E+02 17617 2750 73 41 5267 12236
 4.500000E+02 17648 2741 67 35 5277 12269
 4.550000E+02 17675 2736 63 40 5288 12284
 4.600000E+02 17678 2731 52 25 5297 12304
 4.650000E+02 17692 2729 58 17 5305 12312
 4.700000E+02 17707 2723 48 26 5308 12325
 4.750000E+02 17709 2715 38 22 5312 12337
 4.800000E+02 17723 2711 34 21 5319 12349
 4.850000E+02 17725 2707 23 15 5322 12365
 4.900000E+02 17735 2706 28 14 5324 12369
 4.950000E+02 17745 2705 31 12 5324 12378
 5.000000E+02 17753 2702 28 7 5329 12389

#Simulation ended (eff.: 0.935864, detail below)
	#Events: 345623
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
