# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads' 'I-positive' 'I-zero' 'I-negative' 'tot-info'
 0.000000E+00 0 4700 0 0 0 0 0 4700 0 4700
 4.000000E+00 0 4700 0 0 0 0 0 4700 0 4700
 8.000000E+00 0 4700 0 0 0 0 0 4700 0 4700
 1.200000E+01 0 4700 0 0 0 0 0 4700 0 4700
 1.600000E+01 0 4700 0 0 0 0 0 4700 0 4700
 2.000000E+01 0 4700 0 0 0 0 0 4700 0 4700
 2.400000E+01 0 4700 0 0 0 0 0 4700 0 4700
 2.800000E+01 0 4700 0 0 0 0 0 4700 0 4700
 3.200000E+01 0 4700 0 0 0 0 0 4700 0 4700
 3.600000E+01 0 4700 0 0 0 0 0 4700 0 4700
 4.000000E+01 0 4700 0 0 0 0 0 4700 0 4700
 4.400000E+01 0 4700 0 0 0 0 0 4700 0 4700
 4.800000E+01 0 4700 0 0 0 0 0 4700 0 4700
 5.200000E+01 0 4700 0 0 0 0 0 4700 0 4700
 5.600000E+01 0 4700 0 0 0 0 0 4700 0 4700
 6.000000E+01 0 4700 0 0 0 0 0 4700 0 4700
 6.400000E+01 0 4700 0 0 0 0 0 4700 0 4700
 6.800000E+01 0 4700 0 0 0 0 0 4700 0 4700
 7.200000E+01 0 4700 0 0 0 0 0 4700 0 4700
 7.600000E+01 0 4700 0 0 0 0 0 4700 0 4700
 8.000000E+01 0 4700 0 0 0 0 0 4700 0 4700
 8.400000E+01 0 4700 0 0 0 0 0 4700 0 4700
 8.800000E+01 0 4700 0 0 0 0 0 4700 0 4700
 9.200000E+01 0 4700 0 0 0 0 0 4700 0 4700
 9.600000E+01 0 4700 0 0 0 0 0 4700 0 4700
 1.000000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.040000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.080000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.120000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.160000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.200000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.240000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.280000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.320000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.360000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.400000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.440000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.480000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.520000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.560000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.600000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.640000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.680000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.720000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.760000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.800000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.840000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.880000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.920000E+02 0 4700 0 0 0 0 0 4700 0 4700
 1.960000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.000000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.040000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.080000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.120000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.160000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.200000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.240000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.280000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.320000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.360000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.400000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.440000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.480000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.520000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.560000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.600000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.640000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.680000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.720000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.760000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.800000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.840000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.880000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.920000E+02 0 4700 0 0 0 0 0 4700 0 4700
 2.960000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.000000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.040000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.080000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.120000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.160000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.200000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.240000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.280000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.320000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.360000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.400000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.440000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.480000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.520000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.560000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.600000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.640000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.680000E+02 0 4700 0 0 0 0 0 4700 0 4700
 3.720000E+02 0 4700 0 0 0 0 0 4700 0 4700
