# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads' 'I-positive' 'I-zero' 'I-negative' 'tot-info'
 0.000000E+00 0 15800 0 0 0 0 0 15800 0 15800
 4.000000E+00 1 15800 0 0 1 0 15801 0 0 15801
 8.000000E+00 1 15800 0 0 1 0 15801 0 0 15801
 1.200000E+01 1 15800 0 0 1 0 15801 0 0 15801
 1.600000E+01 1 15800 0 0 1 0 15801 0 0 15801
 2.000000E+01 1 15800 0 0 1 0 15801 0 0 15801
 2.400000E+01 1 15800 0 0 1 0 15801 0 0 15801
 2.800000E+01 1 15800 0 0 1 0 15801 0 0 15801
 3.200000E+01 1 15800 0 0 1 0 15801 0 0 15801
 3.600000E+01 1 15800 0 0 1 0 15801 0 0 15801
 4.000000E+01 1 15800 0 0 1 0 15801 0 0 15801
 4.400000E+01 1 15800 0 0 1 0 15801 0 0 15801
 4.800000E+01 1 15800 0 0 1 0 15801 0 0 15801
 5.200000E+01 1 15800 0 0 1 0 15801 0 0 15801
 5.600000E+01 1 15800 0 0 1 0 15801 0 0 15801
 6.000000E+01 1 15800 0 0 1 0 15801 0 0 15801
 6.400000E+01 1 15800 0 0 1 0 15801 0 0 15801
 6.800000E+01 1 15800 0 0 1 0 15801 0 0 15801
 7.200000E+01 1 15800 0 0 1 0 15801 0 0 15801
 7.600000E+01 1 15800 0 0 1 0 15801 0 0 15801
 8.000000E+01 1 15800 0 0 1 0 15801 0 0 15801
 8.400000E+01 1 15800 0 0 1 0 15801 0 0 15801
 8.800000E+01 1 15800 0 0 1 0 15801 0 0 15801
 9.200000E+01 1 15800 0 0 1 0 15801 0 0 15801
 9.600000E+01 1 15800 0 0 1 0 15801 0 0 15801
 1.000000E+02 1 15800 0 0 1 0 15801 0 0 15801
 1.040000E+02 1 15800 0 0 1 0 15801 0 0 15801
 1.080000E+02 1 15800 0 0 1 0 15801 0 0 15801
 1.120000E+02 1 15800 0 0 1 0 15801 0 0 15801
 1.160000E+02 1 15800 0 0 1 0 15801 0 0 15801
 1.200000E+02 1 15800 0 0 1 0 15801 0 0 15801
 1.240000E+02 1 15800 0 0 1 0 15801 0 0 15801
 1.280000E+02 1 15800 0 0 1 0 15801 0 0 15801
 1.320000E+02 1 15800 0 0 1 0 15801 0 0 15801
 1.360000E+02 1 15800 0 0 1 0 15801 0 0 15801
