"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 21 12739 11 4 2 4
"3" 8 30 12730 19 3 3 5
"4" 12 33 12726 22 2 3 6
"5" 16 36 12723 21 3 5 7
"6" 20 47 12713 26 7 6 8
"7" 24 60 12699 33 8 6 13
"8" 28 72 12686 41 10 6 15
"9" 32 79 12677 42 11 6 20
"10" 36 102 12657 51 15 9 27
"11" 40 118 12640 55 17 10 36
"12" 44 132 12625 58 17 13 44
"13" 48 150 12610 66 18 15 51
"14" 52 167 12590 69 20 18 60
"15" 56 188 12569 75 19 22 72
"16" 60 210 12544 73 26 29 82
"17" 64 243 12515 90 16 40 97
"18" 68 274 12483 98 34 43 99
"19" 72 297 12460 103 31 53 110
"20" 76 326 12431 104 40 59 123
"21" 80 348 12408 102 36 68 142
"22" 84 386 12371 117 35 76 158
"23" 88 416 12336 114 47 81 174
"24" 92 455 12298 127 44 89 195
"25" 96 498 12258 141 48 103 206
"26" 100 520 12235 128 46 108 238
"27" 104 545 12211 125 45 119 256
"28" 108 586 12169 127 48 130 281
"29" 112 626 12130 137 48 139 302
"30" 116 668 12087 140 56 149 323
"31" 120 700 12056 137 58 157 348
"32" 124 730 12026 122 63 170 375
"33" 128 762 11993 119 53 185 405
"34" 132 791 11967 118 45 195 433
"35" 136 817 11940 115 45 206 451
"36" 140 851 11908 114 48 216 473
"37" 144 870 11889 108 46 227 489
"38" 148 884 11873 89 49 236 510
"39" 152 910 11847 88 43 246 533
"40" 156 941 11817 86 53 254 548
"41" 160 960 11797 83 38 269 570
"42" 164 985 11774 86 40 272 587
"43" 168 995 11763 69 38 277 611
"44" 172 1013 11745 64 33 281 635
"45" 176 1036 11722 62 34 288 652
"46" 180 1055 11705 66 26 293 670
"47" 184 1060 11696 56 30 297 677
"48" 188 1076 11680 52 32 302 690
"49" 192 1095 11664 60 28 303 704
"50" 196 1103 11654 44 32 312 715
"51" 200 1123 11634 52 26 316 729
"52" 204 1140 11619 59 22 320 739
"53" 208 1146 11612 49 20 329 748
"54" 212 1153 11606 40 22 331 760
"55" 216 1167 11592 34 26 337 770
"56" 220 1170 11589 32 9 341 788
"57" 224 1173 11584 23 15 344 791
"58" 228 1176 11584 16 10 349 801
"59" 232 1186 11574 21 8 350 807
"60" 236 1189 11570 16 11 353 809
"61" 240 1194 11566 15 10 355 814
"62" 244 1196 11563 14 6 358 818
"63" 248 1198 11562 13 6 358 821
"64" 252 1201 11559 6 9 359 827
"65" 256 1203 11557 6 2 365 830
"66" 260 1203 11557 5 1 366 831
"67" 264 1206 11556 6 2 366 832
"68" 268 1206 11554 5 1 366 834
"69" 272 1206 11554 5 1 366 834
"70" 276 1208 11554 4 1 366 837
"71" 280 1209 11551 4 1 367 837
"72" 284 1209 11551 3 0 368 838
"73" 288 1209 11551 2 0 368 839
"74" 292 1209 11551 1 1 368 839
"75" 296 1209 11551 1 0 369 839
"76" 300 1209 11551 1 0 369 839
"77" 304 1209 11551 1 0 369 839
"78" 308 1209 11551 0 1 369 839
"79" 312 1209 11551 0 1 369 839
"80" 316 1209 11551 0 0 369 840
"81" 320 1209 11551 0 0 369 840
"82" 324 1209 11551 0 0 369 840
"83" 328 1209 11551 0 0 369 840
"84" 332 1209 11551 0 0 369 840
"85" 336 1209 11551 0 0 369 840
"86" 340 1209 11551 0 0 369 840
"87" 344 1209 11551 0 0 369 840
"88" 348 1209 11551 0 0 369 840
"89" 352 1209 11551 0 0 369 840
"90" 356 1209 11551 0 0 369 840
"91" 360 1209 11551 0 0 369 840
"92" 364 1209 11551 0 0 369 840
"93" 368 1209 11551 0 0 369 840
"94" 372 1209 11551 0 0 369 840
"95" 376 1209 11551 0 0 369 840
"96" 380 1209 11551 0 0 369 840
"97" 384 1209 11551 0 0 369 840
"98" 388 1209 11551 0 0 369 840
"99" 392 1209 11551 0 0 369 840
"100" 396 1209 11551 0 0 369 840
"101" 400 1209 11551 0 0 369 840
