# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 7000 0 0 0 0
 4.000000E+00 1 7000 1 0 0 0
 8.000000E+00 7 6999 6 0 1 0
 1.200000E+01 7 6999 6 0 1 0
 1.600000E+01 9 6996 6 1 1 1
 2.000000E+01 15 6996 11 1 2 1
 2.400000E+01 11 6996 7 0 2 2
 2.800000E+01 15 6995 9 1 2 3
 3.200000E+01 36 6992 28 2 2 4
 3.600000E+01 28 6989 18 2 2 6
 4.000000E+01 42 6982 26 6 3 7
 4.400000E+01 51 6969 30 6 5 10
 4.800000E+01 69 6950 43 7 8 11
 5.200000E+01 90 6934 58 7 9 16
 5.600000E+01 114 6917 74 10 10 20
 6.000000E+01 141 6897 93 12 12 24
 6.400000E+01 162 6855 102 18 14 28
 6.800000E+01 221 6813 151 15 16 39
 7.200000E+01 279 6754 186 26 19 48
 7.600000E+01 343 6706 233 29 24 57
 8.000000E+01 451 6628 302 36 30 83
 8.400000E+01 616 6531 423 51 40 102
 8.800000E+01 723 6407 487 52 54 130
 9.200000E+01 956 6284 660 76 68 152
 9.600000E+01 1213 6083 838 98 80 197
 1.000000E+02 1444 5843 975 111 95 263
 1.040000E+02 1836 5583 1253 144 127 312
 1.080000E+02 2315 5211 1558 208 152 397
 1.120000E+02 2826 4802 1893 233 201 499
 1.160000E+02 3538 4361 2404 270 252 612
 1.200000E+02 4347 3853 2912 371 308 756
 1.240000E+02 5270 3245 3456 458 407 949
 1.280000E+02 6310 2558 4116 522 495 1177
 1.320000E+02 7475 1901 4718 686 613 1458
 1.360000E+02 8716 1302 5352 837 747 1780
 1.400000E+02 9901 847 5841 963 913 2184
 1.440000E+02 11037 491 6200 1087 1108 2642
 1.480000E+02 11888 290 6151 1197 1336 3204
 1.520000E+02 12659 147 5981 1345 1581 3752
 1.560000E+02 13366 70 5666 1469 1833 4398
 1.600000E+02 13644 33 4959 1511 2125 5049
 1.640000E+02 13770 14 4121 1541 2391 5717
 1.680000E+02 13700 7 3228 1378 2694 6400
 1.720000E+02 13631 1 2457 1205 2973 6996
 1.760000E+02 13469 1 1665 1101 3197 7506
 1.800000E+02 13276 1 1073 897 3363 7943
 1.840000E+02 13163 1 707 664 3515 8277
 1.880000E+02 13170 1 483 537 3618 8532
 1.920000E+02 13119 1 267 388 3724 8740
 1.960000E+02 13083 1 157 283 3779 8864
 2.000000E+02 13065 1 89 184 3820 8972

#Simulation ended (eff.: 0.961943, detail below)
	#Events: 466824
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
