# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 15800 0 0 0 0
 4.000000E+00 0 15800 0 0 0 0
 8.000000E+00 4 15800 4 0 0 0
 1.200000E+01 4 15800 4 0 0 0
 1.600000E+01 6 15800 5 0 0 1
 2.000000E+01 15 15800 13 1 0 1
 2.400000E+01 9 15793 7 1 0 1
 2.800000E+01 17 15792 12 4 0 1
 3.200000E+01 24 15786 19 3 0 2
 3.600000E+01 26 15781 18 3 0 5
 4.000000E+01 48 15762 33 4 1 10
 4.400000E+01 71 15743 47 12 1 11
 4.800000E+01 95 15716 65 13 2 15
 5.200000E+01 112 15687 79 11 4 18
 5.600000E+01 139 15657 94 14 4 27
 6.000000E+01 186 15609 126 16 7 37
 6.400000E+01 236 15560 150 29 12 45
 6.800000E+01 308 15482 196 36 16 60
 7.200000E+01 409 15385 263 47 25 74
 7.600000E+01 526 15260 349 47 34 96
 8.000000E+01 663 15111 423 68 45 127
 8.400000E+01 819 14949 512 81 65 161
 8.800000E+01 1076 14720 684 101 85 206
 9.200000E+01 1367 14466 870 117 114 266
 9.600000E+01 1720 14146 1054 181 150 335
 1.000000E+02 2213 13711 1379 229 189 416
 1.040000E+02 2798 13148 1728 290 235 545
 1.080000E+02 3551 12503 2202 353 300 696
 1.120000E+02 4443 11681 2707 472 369 895
 1.160000E+02 5529 10618 3306 598 503 1122
 1.200000E+02 6799 9477 4000 718 650 1431
 1.240000E+02 8531 8085 4941 943 820 1827
 1.280000E+02 9987 6667 5540 1155 1013 2279
 1.320000E+02 12141 5132 6629 1420 1249 2843
 1.360000E+02 14414 3669 7647 1686 1554 3527
 1.400000E+02 16633 2511 8360 1957 1893 4423
 1.440000E+02 18820 1613 8922 2192 2323 5383
 1.480000E+02 20925 1023 9158 2535 2782 6450
 1.520000E+02 23149 590 9292 2897 3314 7646
 1.560000E+02 24926 327 8829 3165 3897 9035
 1.600000E+02 26245 165 7940 3247 4549 10509
 1.640000E+02 27140 89 6720 3217 5187 12016
 1.680000E+02 27780 48 5491 3090 5802 13397
 1.720000E+02 28126 31 4193 2832 6392 14709
 1.760000E+02 28257 18 3002 2476 6908 15871
 1.800000E+02 28483 10 2095 2100 7373 16915
 1.840000E+02 28546 6 1395 1659 7732 17760
 1.880000E+02 28554 3 875 1256 8012 18411
 1.920000E+02 28549 3 507 900 8227 18915
 1.960000E+02 28570 2 305 625 8385 19255
 2.000000E+02 28586 2 177 446 8490 19473

#Simulation ended (eff.: 0.950819, detail below)
	#Events: 613337
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
