"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 16 22 127488 12 5 3 2
"3" 32 34 127476 24 3 5 2
"4" 48 37 127471 26 3 6 2
"5" 64 43 127466 30 3 7 3
"6" 80 52 127454 33 6 9 4
"7" 96 70 127436 42 10 11 7
"8" 112 86 127422 51 10 14 11
"9" 128 110 127399 68 7 14 21
"10" 144 131 127374 76 17 14 24
"11" 160 184 127324 111 25 14 34
"12" 176 235 127271 149 21 18 47
"13" 192 280 127221 165 29 24 62
"14" 208 353 127151 213 38 32 70
"15" 224 452 127038 262 59 38 93
"16" 240 603 126895 366 64 57 116
"17" 256 769 126723 470 75 80 144
"18" 272 947 126535 573 87 95 192
"19" 288 1170 126311 697 116 115 242
"20" 304 1467 126006 865 158 150 294
"21" 320 1930 125521 1187 198 175 370
"22" 336 2462 125004 1521 267 227 447
"23" 352 3135 124300 1922 342 288 583
"24" 368 4054 123358 2499 418 356 781
"25" 384 5061 122325 3107 518 456 980
"26" 400 6300 121048 3801 634 588 1277
"27" 416 7900 119396 4731 816 731 1622
"28" 432 10020 117255 5986 1042 922 2070
"29" 448 12682 114506 7571 1327 1139 2645
"30" 464 15974 111106 9438 1746 1434 3356
"31" 480 19988 107015 11814 2109 1818 4247
"32" 496 24873 102032 14588 2660 2320 5305
"33" 512 30746 96039 17796 3363 2923 6664
"34" 528 37758 88856 21562 4202 3632 8362
"35" 544 45661 80781 25517 4993 4579 10572
"36" 560 54594 71615 29531 6367 5635 13061
"37" 576 64483 61596 33668 7643 6999 16173
"38" 592 74438 51548 36953 8839 8556 20090
"39" 608 84522 41355 39240 10327 10441 24514
"40" 624 94523 31369 40713 11802 12576 29432
"41" 640 103348 22405 40447 12780 15053 35068
"42" 656 110789 15107 38335 13622 17698 41134
"43" 672 116620 9500 34397 14252 20371 47600
"44" 688 120514 5762 29004 14307 23242 53961
"45" 704 123204 3270 23229 13702 25929 60344
"46" 720 124948 1822 17660 12451 28532 66305
"47" 736 125914 1027 12709 10715 30804 71686
"48" 752 126463 656 8601 9027 32724 76111
"49" 768 126820 405 5609 7092 34268 79851
"50" 784 127037 289 3520 5394 35464 82659
"51" 800 127165 221 2113 3894 36414 84744
