# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 4700 0 0 0 0
 4.000000E+00 1 4700 1 0 0 0
 8.000000E+00 3 4700 3 0 0 0
 1.200000E+01 3 4700 3 0 0 0
 1.600000E+01 2 4700 1 0 1 0
 2.000000E+01 4 4700 3 0 1 0
 2.400000E+01 4 4699 3 0 1 0
 2.800000E+01 9 4699 8 0 1 0
 3.200000E+01 10 4696 7 1 1 1
 3.600000E+01 13 4693 10 1 1 1
 4.000000E+01 17 4691 12 3 1 1
 4.400000E+01 20 4678 12 3 2 3
 4.800000E+01 24 4673 14 2 2 6
 5.200000E+01 26 4665 12 3 4 7
 5.600000E+01 32 4662 16 2 5 9
 6.000000E+01 44 4654 26 2 5 11
 6.400000E+01 53 4649 33 1 6 13
 6.800000E+01 77 4644 49 8 7 13
 7.200000E+01 89 4626 56 9 8 16
 7.600000E+01 115 4607 75 9 10 21
 8.000000E+01 146 4584 95 17 11 23
 8.400000E+01 188 4549 123 18 19 28
 8.800000E+01 217 4509 132 20 20 45
 9.200000E+01 307 4461 202 31 23 51
 9.600000E+01 371 4392 248 25 31 67
 1.000000E+02 449 4340 301 34 36 78
 1.040000E+02 579 4247 384 51 48 96
 1.080000E+02 713 4122 477 55 57 124
 1.120000E+02 942 4005 654 66 69 153
 1.160000E+02 1180 3803 806 104 81 189
 1.200000E+02 1438 3553 967 132 106 233
 1.240000E+02 1816 3270 1237 154 132 293
 1.280000E+02 2257 2920 1506 202 178 371
 1.320000E+02 2803 2540 1834 271 223 475
 1.360000E+02 3470 2076 2236 359 268 607
 1.400000E+02 4152 1604 2611 404 348 789
 1.440000E+02 4886 1143 2998 439 444 1005
 1.480000E+02 5699 800 3413 533 531 1222
 1.520000E+02 6469 517 3708 638 644 1479
 1.560000E+02 7125 324 3763 773 773 1816
 1.600000E+02 7983 187 3987 867 933 2196
 1.640000E+02 8233 105 3647 897 1107 2582
 1.680000E+02 8666 56 3432 952 1294 2988
 1.720000E+02 8728 30 2844 983 1462 3439
 1.760000E+02 8860 16 2366 969 1648 3877
 1.800000E+02 8804 6 1797 882 1830 4295
 1.840000E+02 8818 4 1358 809 1998 4653
 1.880000E+02 8669 4 875 661 2132 5001
 1.920000E+02 8651 3 592 536 2250 5273
 1.960000E+02 8641 3 407 421 2342 5471
 2.000000E+02 8599 2 253 297 2414 5635

#Simulation ended (eff.: 0.955657, detail below)
	#Events: 256744
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
