# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 10 100000 0 10 0 0
 4.000000E+00 19 99986 9 3 1 6
 8.000000E+00 18 99976 8 1 1 8
 1.200000E+01 22 99973 10 2 1 9
 1.600000E+01 30 99967 17 1 1 11
 2.000000E+01 40 99959 22 4 2 12
 2.400000E+01 53 99946 30 7 2 14
 2.800000E+01 63 99928 34 7 3 19
 3.200000E+01 86 99908 46 12 4 24
 3.600000E+01 106 99884 55 13 6 32
 4.000000E+01 141 99847 83 10 9 39
 4.400000E+01 181 99815 103 20 11 47
 4.800000E+01 234 99746 141 17 14 62
 5.200000E+01 278 99681 161 29 19 69
 5.600000E+01 372 99582 217 47 23 85
 6.000000E+01 458 99448 259 52 36 111
 6.400000E+01 561 99294 313 55 49 144
 6.800000E+01 755 99130 441 87 59 168
 7.200000E+01 938 98903 531 115 84 208
 7.600000E+01 1230 98612 712 145 108 265
 8.000000E+01 1506 98272 853 175 139 339
 8.400000E+01 1886 97822 1084 210 173 419
 8.800000E+01 2566 97211 1487 307 234 538
 9.200000E+01 3202 96457 1863 357 301 681
 9.600000E+01 4006 95501 2281 461 396 868
 1.000000E+02 5141 94207 2933 601 487 1120
 1.040000E+02 6439 92643 3625 765 613 1436
 1.080000E+02 8072 90710 4558 945 761 1808
 1.120000E+02 10274 88302 5783 1207 993 2291
 1.160000E+02 12725 85395 7081 1446 1261 2937
 1.200000E+02 15989 81696 8782 1932 1590 3685
 1.240000E+02 19825 77162 10805 2364 1997 4659
 1.280000E+02 23980 71699 12736 2865 2511 5868
 1.320000E+02 29048 65401 14970 3603 3149 7326
 1.360000E+02 34388 58243 17014 4354 3855 9165
 1.400000E+02 40546 50035 19204 5099 4832 11411
 1.440000E+02 46661 41438 20763 5960 5914 14024
 1.480000E+02 52314 32603 21361 6831 7142 16980
 1.520000E+02 57878 24391 21518 7529 8564 20267
 1.560000E+02 62723 16877 20594 8083 10134 23912
 1.600000E+02 66696 10872 18705 8486 11774 27731
 1.640000E+02 69901 6549 16170 8605 13479 31647
 1.680000E+02 72231 3678 13135 8375 15136 35585
 1.720000E+02 73837 2074 10118 7692 16718 39309
 1.760000E+02 75011 1144 7299 6830 18111 42771
 1.800000E+02 75731 689 4957 5797 19329 45648
 1.840000E+02 76253 450 3315 4578 20349 48011
 1.880000E+02 76590 294 2095 3492 21193 49810
 1.920000E+02 76785 220 1268 2534 21784 51199
 1.960000E+02 76942 168 741 1791 22210 52200
 2.000000E+02 77013 147 418 1196 22502 52897

#Simulation ended (eff.: 0.948034, detail below)
	#Events: 1416034
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
