"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 16 25 127485 15 2 4 4
"3" 32 26 127483 15 1 6 4
"4" 48 31 127479 14 5 6 6
"5" 64 42 127466 22 6 7 7
"6" 80 63 127447 38 8 8 9
"7" 96 74 127436 42 8 11 13
"8" 112 95 127410 58 8 12 17
"9" 128 114 127391 69 11 16 18
"10" 144 153 127354 98 15 19 21
"11" 160 201 127303 123 20 21 37
"12" 176 253 127253 157 18 27 51
"13" 192 321 127181 201 27 31 62
"14" 208 392 127108 236 39 36 81
"15" 224 506 126998 303 57 44 102
"16" 240 623 126871 375 57 60 131
"17" 256 800 126697 484 76 74 166
"18" 272 1020 126467 617 101 93 209
"19" 288 1301 126177 790 134 116 261
"20" 304 1624 125842 985 168 146 325
"21" 320 2050 125410 1243 217 180 410
"22" 336 2635 124790 1584 317 218 516
"23" 352 3422 123998 2098 367 285 672
"24" 368 4351 123049 2663 451 362 875
"25" 384 5572 121804 3411 587 459 1115
"26" 400 7067 120270 4323 719 575 1450
"27" 416 8864 118419 5377 945 727 1815
"28" 432 11255 115937 6814 1193 953 2295
"29" 448 14269 112877 8612 1553 1182 2922
"30" 464 17981 109103 10769 1936 1545 3731
"31" 480 22515 104451 13391 2396 2007 4721
"32" 496 27792 98990 16288 3009 2521 5974
"33" 512 34304 92347 19761 3844 3165 7534
"34" 528 41686 84832 23527 4653 4018 9488
"35" 544 50195 76171 27545 5727 5064 11859
"36" 560 59560 66658 31557 7042 6207 14754
"37" 576 69616 56426 35515 8164 7715 18222
"38" 592 79757 46209 38386 9618 9364 22389
"39" 608 89733 36149 40089 11155 11318 27171
"40" 624 99029 26800 40545 12320 13614 32550
"41" 640 107147 18662 39182 13360 16087 38518
"42" 656 113798 12163 36237 14071 18691 44799
"43" 672 118806 7370 31784 14260 21561 51201
"44" 688 122046 4328 26210 13911 24368 57557
"45" 704 124132 2486 20351 12880 27038 63863
"46" 720 125459 1387 14949 11701 29415 69394
"47" 736 126170 828 10498 9890 31469 74313
"48" 752 126690 488 7088 8099 33219 78284
"49" 768 126939 335 4544 6179 34646 81570
"50" 784 127108 244 2802 4620 35681 84005
"51" 800 127218 189 1679 3334 36397 85808
