# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 1580 0 0 0 0
 4.000000E+00 2 1580 2 0 0 0
 8.000000E+00 1 1580 1 0 0 0
 1.200000E+01 4 1580 3 1 0 0
 1.600000E+01 3 1580 2 0 0 1
 2.000000E+01 5 1580 4 0 0 1
 2.400000E+01 6 1579 4 1 0 1
 2.800000E+01 11 1577 7 2 0 2
 3.200000E+01 12 1574 8 1 0 3
 3.600000E+01 12 1572 6 1 1 4
 4.000000E+01 16 1571 10 0 2 4
 4.400000E+01 20 1566 10 4 2 4
 4.800000E+01 18 1564 7 3 3 5
 5.200000E+01 24 1562 12 3 3 6
 5.600000E+01 26 1559 11 6 3 6
 6.000000E+01 24 1554 11 2 3 8
 6.400000E+01 26 1553 10 4 3 9
 6.800000E+01 29 1552 11 5 3 10
 7.200000E+01 28 1549 8 5 3 12
 7.600000E+01 32 1546 10 5 5 12
 8.000000E+01 41 1542 17 3 7 14
 8.400000E+01 39 1538 12 3 7 17
 8.800000E+01 53 1532 20 7 7 19
 9.200000E+01 48 1528 9 7 10 22
 9.600000E+01 50 1524 11 5 11 23
 1.000000E+02 50 1522 9 5 11 25
 1.040000E+02 57 1521 13 4 12 28
 1.080000E+02 58 1520 11 4 12 31
 1.120000E+02 60 1519 11 1 13 35
 1.160000E+02 69 1513 15 6 13 35
 1.200000E+02 67 1509 8 9 13 37
 1.240000E+02 75 1505 19 1 14 41
 1.280000E+02 69 1505 9 4 15 41
 1.320000E+02 74 1501 8 6 15 45
 1.360000E+02 81 1497 16 4 15 46
 1.400000E+02 77 1495 9 3 17 48
 1.440000E+02 90 1491 18 1 19 52
 1.480000E+02 88 1490 13 2 19 54
 1.520000E+02 93 1489 15 3 19 56
 1.560000E+02 89 1489 10 2 19 58
 1.600000E+02 98 1489 13 4 19 62
 1.640000E+02 103 1488 13 8 19 63
 1.680000E+02 105 1483 12 5 21 67
 1.720000E+02 108 1479 13 5 21 69
 1.760000E+02 110 1476 15 4 21 70
 1.800000E+02 107 1473 7 4 23 73
 1.840000E+02 114 1473 11 4 23 76
 1.880000E+02 119 1470 12 6 23 78
 1.920000E+02 121 1465 8 9 23 81
 1.960000E+02 131 1458 13 8 25 85
 2.000000E+02 126 1455 7 4 26 89

#Simulation ended (eff.: 0.842952, detail below)
	#Events: 3827
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
