# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 470 0 0 0 0
 4.000000E+00 2 470 2 0 0 0
 8.000000E+00 1 470 1 0 0 0
 1.200000E+01 3 470 1 2 0 0
 1.600000E+01 1 469 1 0 0 0
 2.000000E+01 3 469 3 0 0 0
 2.400000E+01 2 467 1 1 0 0
 2.800000E+01 7 466 4 1 0 2
 3.200000E+01 7 465 4 0 0 3
 3.600000E+01 7 465 4 0 0 3
 4.000000E+01 15 462 10 2 0 3
 4.400000E+01 9 461 3 0 1 5
 4.800000E+01 18 460 11 1 1 5
 5.200000E+01 16 457 6 0 1 9
 5.600000E+01 20 453 9 1 1 9
 6.000000E+01 17 451 6 1 1 9
 6.400000E+01 15 451 3 1 1 10
 6.800000E+01 18 450 4 1 2 11
 7.200000E+01 17 450 3 1 2 11
 7.600000E+01 24 448 8 3 2 11
 8.000000E+01 21 447 5 2 3 11
 8.400000E+01 23 447 8 0 3 12
 8.800000E+01 21 447 5 0 4 12
 9.200000E+01 26 447 9 0 4 13
 9.600000E+01 26 446 5 1 4 16
 1.000000E+02 29 446 7 2 4 16
 1.040000E+02 30 443 6 2 5 17
 1.080000E+02 34 443 9 2 5 18
 1.120000E+02 36 440 11 1 6 18
 1.160000E+02 36 436 7 3 8 18
 1.200000E+02 41 434 11 1 8 21
 1.240000E+02 38 433 6 2 8 22
 1.280000E+02 39 433 7 2 8 22
 1.320000E+02 37 433 5 0 9 23
 1.360000E+02 42 432 7 1 10 24
 1.400000E+02 43 431 6 2 10 25
 1.440000E+02 47 429 9 1 10 27
 1.480000E+02 42 428 4 1 10 27
 1.520000E+02 49 426 8 1 10 30
 1.560000E+02 54 423 8 3 11 32
 1.600000E+02 57 421 8 4 12 33
 1.640000E+02 59 419 8 3 13 35
 1.680000E+02 61 418 11 1 13 36
 1.720000E+02 55 417 4 1 13 37
 1.760000E+02 64 414 11 2 13 38
 1.800000E+02 60 414 5 1 14 40
 1.840000E+02 59 413 3 2 14 40
 1.880000E+02 65 413 4 6 14 41
 1.920000E+02 67 410 6 2 15 44
 1.960000E+02 64 410 2 2 15 45
 2.000000E+02 66 408 3 1 16 46

#Simulation ended (eff.: 0.756200, detail below)
	#Events: 1799
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
