# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 10 10000 0 10 0 0
 4.000000E+00 14 9990 5 6 2 1
 8.000000E+00 19 9983 10 2 3 4
 1.200000E+01 17 9981 8 2 3 4
 1.600000E+01 32 9976 18 4 5 5
 2.000000E+01 34 9972 14 8 7 5
 2.400000E+01 37 9966 12 8 7 10
 2.800000E+01 43 9960 17 6 9 11
 3.200000E+01 46 9955 16 7 9 14
 3.600000E+01 55 9944 22 6 11 16
 4.000000E+01 56 9938 14 8 14 20
 4.400000E+01 76 9927 26 10 16 24
 4.800000E+01 76 9916 18 12 17 29
 5.200000E+01 97 9906 33 10 19 35
 5.600000E+01 101 9894 29 8 23 41
 6.000000E+01 114 9886 31 12 26 45
 6.400000E+01 124 9879 31 12 30 51
 6.800000E+01 139 9867 41 9 35 54
 7.200000E+01 147 9857 40 15 37 55
 7.600000E+01 144 9847 33 9 41 61
 8.000000E+01 169 9834 42 11 48 68
 8.400000E+01 169 9824 26 17 52 74
 8.800000E+01 192 9813 40 10 58 84
 9.200000E+01 197 9802 33 14 61 89
 9.600000E+01 222 9785 43 23 62 94
 1.000000E+02 222 9770 37 14 68 103
 1.040000E+02 231 9764 36 16 72 107
 1.080000E+02 253 9754 42 20 75 116
 1.120000E+02 268 9736 45 20 78 125
 1.160000E+02 286 9727 49 21 82 134
 1.200000E+02 293 9709 44 20 83 146
 1.240000E+02 328 9692 55 29 84 160
 1.280000E+02 344 9676 58 30 88 168
 1.320000E+02 354 9661 54 27 95 178
 1.360000E+02 364 9649 57 23 99 185
 1.400000E+02 363 9639 41 23 102 197
 1.440000E+02 384 9620 47 28 108 201
 1.480000E+02 392 9608 39 27 114 212
 1.520000E+02 405 9596 42 22 117 224
 1.560000E+02 413 9587 41 20 120 232
 1.600000E+02 422 9575 40 15 125 242
 1.640000E+02 435 9565 41 18 128 248
 1.680000E+02 453 9555 43 23 131 256
 1.720000E+02 474 9535 48 26 135 265
 1.760000E+02 484 9520 42 29 138 275
 1.800000E+02 498 9505 44 32 142 280
 1.840000E+02 510 9496 43 26 148 293
 1.880000E+02 511 9481 35 26 149 301
 1.920000E+02 514 9477 31 18 151 314
 1.960000E+02 521 9470 32 17 155 317
 2.000000E+02 518 9464 22 13 158 325

#Simulation ended (eff.: 0.936872, detail below)
	#Events: 16028
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
