# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 700 0 0 0 0
 4.000000E+00 2 700 2 0 0 0
 8.000000E+00 0 700 0 0 0 0
 1.200000E+01 3 700 3 0 0 0
 1.600000E+01 1 700 0 1 0 0
 2.000000E+01 3 700 1 1 0 1
 2.400000E+01 1 699 0 0 0 1
 2.800000E+01 8 697 6 1 0 1
 3.200000E+01 7 694 5 1 0 1
 3.600000E+01 5 694 3 1 0 1
 4.000000E+01 3 693 0 1 0 2
 4.400000E+01 8 693 4 2 0 2
 4.800000E+01 2 693 0 0 0 2
 5.200000E+01 3 693 1 0 0 2
 5.600000E+01 5 693 1 1 0 3
 6.000000E+01 12 691 6 2 1 3
 6.400000E+01 10 691 3 2 2 3
 6.800000E+01 12 690 5 1 2 4
 7.200000E+01 10 690 2 1 2 5
 7.600000E+01 17 688 5 4 2 6
 8.000000E+01 18 683 7 1 2 8
 8.400000E+01 17 683 5 1 3 8
 8.800000E+01 16 683 3 2 3 8
 9.200000E+01 18 681 6 0 3 9
 9.600000E+01 20 681 7 1 3 9
 1.000000E+02 26 679 11 2 3 10
 1.040000E+02 19 678 6 0 3 10
 1.080000E+02 23 678 7 2 3 11
 1.120000E+02 22 676 7 1 3 11
 1.160000E+02 19 674 4 1 3 11
 1.200000E+02 27 674 10 2 3 12
 1.240000E+02 23 671 6 2 3 12
 1.280000E+02 24 667 8 1 3 12
 1.320000E+02 26 666 6 2 4 14
 1.360000E+02 30 664 9 3 4 14
 1.400000E+02 28 664 5 1 4 18
 1.440000E+02 28 663 2 3 5 18
 1.480000E+02 32 663 3 3 7 19
 1.520000E+02 30 663 1 1 7 21
 1.560000E+02 36 662 7 0 8 21
 1.600000E+02 37 662 6 1 8 22
 1.640000E+02 35 660 4 1 8 22
 1.680000E+02 33 655 2 1 8 22
 1.720000E+02 37 653 4 3 8 22
 1.760000E+02 37 653 3 3 8 23
 1.800000E+02 38 653 4 1 10 23
 1.840000E+02 42 652 6 3 10 23
 1.880000E+02 36 652 1 0 11 24
 1.920000E+02 39 652 2 1 11 25
 1.960000E+02 40 652 3 1 11 25
 2.000000E+02 40 652 3 0 12 25

#Simulation ended (eff.: 0.718434, detail below)
	#Events: 1707
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
