"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 17 12743 7 6 0 4
"3" 8 20 12740 10 5 0 5
"4" 12 26 12734 14 4 0 8
"5" 16 28 12731 15 5 0 8
"6" 20 34 12726 16 4 3 11
"7" 24 39 12720 19 3 3 14
"8" 28 43 12715 19 5 3 16
"9" 32 53 12704 25 7 3 18
"10" 36 60 12699 26 6 7 21
"11" 40 64 12695 28 6 8 22
"12" 44 73 12686 32 7 9 25
"13" 48 82 12678 28 14 11 29
"14" 52 92 12666 33 7 18 34
"15" 56 101 12659 34 9 20 38
"16" 60 114 12646 34 14 21 45
"17" 64 120 12638 32 13 23 52
"18" 68 132 12627 36 11 25 60
"19" 72 146 12613 38 15 26 67
"20" 76 152 12605 36 14 29 73
"21" 80 164 12595 38 16 31 79
"22" 84 186 12573 43 17 35 91
"23" 88 201 12559 48 18 39 96
"24" 92 212 12546 52 15 41 104
"25" 96 226 12532 48 23 45 110
"26" 100 243 12517 50 25 52 116
"27" 104 256 12504 50 21 58 127
"28" 108 269 12489 48 22 62 137
"29" 112 278 12480 45 18 63 152
"30" 116 292 12466 47 16 69 160
"31" 120 307 12451 51 11 73 172
"32" 124 323 12435 55 13 75 180
"33" 128 328 12430 46 13 78 191
"34" 132 335 12423 41 15 81 198
"35" 136 349 12408 41 16 85 207
"36" 140 360 12398 42 16 90 212
"37" 144 364 12394 31 21 96 216
"38" 148 371 12388 29 16 100 226
"39" 152 384 12372 31 15 102 236
"40" 156 389 12370 29 14 103 243
"41" 160 396 12364 31 7 105 253
"42" 164 402 12357 24 12 110 256
"43" 168 406 12354 21 12 114 259
"44" 172 409 12350 16 10 115 268
"45" 176 416 12344 19 10 116 271
"46" 180 415 12344 15 8 118 274
"47" 184 420 12340 16 11 119 274
"48" 188 424 12336 16 8 121 279
"49" 192 429 12331 16 8 122 283
"50" 196 429 12329 12 10 123 284
"51" 200 434 12325 14 6 123 291
