# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 10 10000 0 10 0 0
 4.000000E+00 12 9995 3 6 0 3
 8.000000E+00 11 9990 3 3 0 5
 1.200000E+01 12 9989 4 1 1 6
 1.600000E+01 13 9987 6 0 1 6
 2.000000E+01 15 9987 5 2 2 6
 2.400000E+01 20 9986 11 0 3 6
 2.800000E+01 27 9983 16 2 3 6
 3.200000E+01 26 9981 13 4 3 6
 3.600000E+01 26 9977 10 5 3 8
 4.000000E+01 32 9973 15 4 3 10
 4.400000E+01 36 9967 16 5 4 11
 4.800000E+01 48 9961 25 5 5 13
 5.200000E+01 43 9958 18 3 7 15
 5.600000E+01 46 9954 14 5 10 17
 6.000000E+01 50 9953 13 5 11 21
 6.400000E+01 62 9951 20 6 12 24
 6.800000E+01 65 9947 17 6 13 29
 7.200000E+01 72 9938 19 6 13 34
 7.600000E+01 74 9934 15 9 13 37
 8.000000E+01 88 9928 25 9 14 40
 8.400000E+01 93 9922 25 10 14 44
 8.800000E+01 103 9913 26 14 14 49
 9.200000E+01 103 9901 27 10 14 52
 9.600000E+01 111 9895 25 15 17 54
 1.000000E+02 123 9889 31 12 18 62
 1.040000E+02 124 9878 26 13 21 64
 1.080000E+02 131 9870 27 8 26 70
 1.120000E+02 139 9863 30 9 26 74
 1.160000E+02 148 9853 26 10 29 83
 1.200000E+02 162 9845 28 15 30 89
 1.240000E+02 165 9835 25 12 33 95
 1.280000E+02 166 9831 18 9 37 102
 1.320000E+02 169 9826 16 7 37 109
 1.360000E+02 184 9817 24 10 40 110
 1.400000E+02 188 9807 18 12 45 113
 1.440000E+02 192 9798 22 7 47 116
 1.480000E+02 198 9795 23 6 48 121
 1.520000E+02 203 9787 18 7 52 126
 1.560000E+02 209 9783 19 8 52 130
 1.600000E+02 217 9777 19 10 54 134
 1.640000E+02 220 9770 17 9 55 139
 1.680000E+02 230 9760 18 11 57 144
 1.720000E+02 234 9752 21 5 58 150
 1.760000E+02 238 9749 21 8 58 151
 1.800000E+02 244 9746 24 7 58 155
 1.840000E+02 250 9741 23 8 61 158
 1.880000E+02 257 9737 17 12 66 162
 1.920000E+02 267 9731 14 11 73 169
 1.960000E+02 269 9729 9 11 74 175
 2.000000E+02 271 9726 11 7 76 177

#Simulation ended (eff.: 0.942729, detail below)
	#Events: 12576
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
