"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 23 12736 13 8 0 2
"3" 8 33 12727 23 2 1 7
"4" 12 37 12723 27 1 1 8
"5" 16 41 12718 26 4 1 10
"6" 20 52 12708 27 9 2 14
"7" 24 67 12691 35 12 4 16
"8" 28 79 12680 45 4 4 26
"9" 32 87 12669 44 8 6 29
"10" 36 101 12658 49 7 8 37
"11" 40 110 12647 50 11 10 39
"12" 44 130 12630 53 12 13 52
"13" 48 138 12619 50 12 16 60
"14" 52 148 12606 52 8 21 67
"15" 56 170 12588 61 18 21 70
"16" 60 202 12557 69 24 27 82
"17" 64 220 12536 75 17 31 97
"18" 68 237 12522 78 21 36 102
"19" 72 260 12496 81 29 36 114
"20" 76 286 12469 81 33 41 131
"21" 80 315 12443 93 36 46 140
"22" 84 343 12413 100 36 51 156
"23" 88 367 12389 100 35 59 173
"24" 92 396 12363 108 29 67 192
"25" 96 426 12331 107 38 69 212
"26" 100 457 12298 113 39 76 229
"27" 104 491 12268 114 53 81 243
"28" 108 524 12234 122 45 89 268
"29" 112 557 12200 126 43 92 296
"30" 116 592 12162 131 41 103 317
"31" 120 626 12129 131 48 110 337
"32" 124 660 12097 131 45 121 363
"33" 128 686 12071 123 52 127 384
"34" 132 701 12052 103 50 139 409
"35" 136 723 12036 95 49 145 434
"36" 140 737 12018 92 35 155 455
"37" 144 761 11995 83 38 165 475
"38" 148 790 11968 82 50 169 489
"39" 152 808 11948 86 32 177 513
"40" 156 822 11934 79 35 185 523
"41" 160 838 11919 72 38 193 535
"42" 164 866 11892 73 36 194 563
"43" 168 882 11876 69 29 201 583
"44" 172 902 11856 71 27 209 595
"45" 176 911 11847 64 22 214 611
"46" 180 924 11834 59 23 218 624
"47" 184 936 11822 52 19 226 639
"48" 188 945 11814 45 17 235 648
"49" 192 953 11806 36 20 238 659
"50" 196 964 11794 30 20 242 672
"51" 200 972 11786 30 20 244 678
