# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 700 0 0 0 0
 4.000000E+00 1 699 0 0 0 1
 8.000000E+00 6 699 4 1 0 1
 1.200000E+01 5 697 3 0 0 2
 1.600000E+01 5 693 2 0 1 2
 2.000000E+01 6 693 3 0 1 2
 2.400000E+01 8 693 4 0 2 2
 2.800000E+01 9 693 5 0 2 2
 3.200000E+01 8 692 2 1 2 3
 3.600000E+01 12 691 6 0 2 4
 4.000000E+01 15 691 6 3 2 4
 4.400000E+01 13 688 4 2 2 5
 4.800000E+01 17 687 8 2 2 5
 5.200000E+01 15 685 6 1 2 6
 5.600000E+01 18 685 8 0 3 7
 6.000000E+01 22 684 11 0 3 8
 6.400000E+01 25 683 11 1 4 9
 6.800000E+01 24 683 9 1 4 10
 7.200000E+01 19 683 4 0 4 11
 7.600000E+01 25 681 6 4 4 11
 8.000000E+01 33 679 13 4 4 12
 8.400000E+01 28 677 7 3 4 14
 8.800000E+01 34 675 10 4 4 16
 9.200000E+01 40 672 16 2 5 17
 9.600000E+01 38 671 12 2 5 19
 1.000000E+02 41 667 14 1 5 21
 1.040000E+02 42 664 12 3 5 22
 1.080000E+02 48 659 13 6 6 23
 1.120000E+02 47 656 10 7 7 23
 1.160000E+02 53 653 13 7 7 26
 1.200000E+02 55 650 13 5 7 30
 1.240000E+02 54 646 12 3 7 32
 1.280000E+02 60 641 15 6 7 32
 1.320000E+02 60 639 14 5 7 34
 1.360000E+02 62 637 13 4 8 37
 1.400000E+02 68 635 16 4 10 38
 1.440000E+02 70 629 16 3 10 41
 1.480000E+02 67 623 11 3 12 41
 1.520000E+02 67 622 11 1 12 43
 1.560000E+02 76 619 14 6 12 44
 1.600000E+02 72 617 12 3 12 45
 1.640000E+02 81 615 12 8 13 48
 1.680000E+02 79 615 11 3 14 51
 1.720000E+02 84 615 14 4 14 52
 1.760000E+02 83 612 9 5 15 54
 1.800000E+02 82 611 9 2 16 55
 1.840000E+02 84 602 10 2 16 56
 1.880000E+02 84 602 8 4 16 56
 1.920000E+02 85 602 8 3 17 57
 1.960000E+02 81 602 1 3 18 59
 2.000000E+02 90 601 9 3 18 60

#Simulation ended (eff.: 0.743991, detail below)
	#Events: 3188
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
