# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 470 0 0 0 0
 4.000000E+00 0 470 0 0 0 0
 8.000000E+00 0 470 0 0 0 0
 1.200000E+01 2 470 2 0 0 0
 1.600000E+01 2 470 1 1 0 0
 2.000000E+01 2 470 2 0 0 0
 2.400000E+01 0 470 0 0 0 0
 2.800000E+01 1 470 1 0 0 0
 3.200000E+01 0 470 0 0 0 0
 3.600000E+01 0 470 0 0 0 0
 4.000000E+01 2 470 2 0 0 0
 4.400000E+01 5 470 5 0 0 0
 4.800000E+01 3 469 2 0 1 0
 5.200000E+01 4 469 3 0 1 0
 5.600000E+01 3 469 1 1 1 0
 6.000000E+01 6 469 4 0 1 1
 6.400000E+01 5 469 3 0 1 1
 6.800000E+01 6 469 3 0 1 2
 7.200000E+01 9 469 6 0 1 2
 7.600000E+01 10 469 6 1 1 2
 8.000000E+01 8 465 4 1 1 2
 8.400000E+01 8 464 3 1 1 3
 8.800000E+01 17 461 11 1 1 4
 9.200000E+01 19 458 7 6 2 4
 9.600000E+01 18 454 7 1 2 8
 1.000000E+02 19 451 4 4 3 8
 1.040000E+02 20 450 3 4 4 9
 1.080000E+02 23 448 7 2 4 10
 1.120000E+02 25 447 6 4 5 10
 1.160000E+02 26 446 7 2 7 10
 1.200000E+02 31 445 11 2 7 11
 1.240000E+02 32 440 11 2 7 12
 1.280000E+02 29 438 9 0 7 13
 1.320000E+02 32 438 10 1 8 13
 1.360000E+02 29 438 5 2 9 13
 1.400000E+02 35 436 9 3 9 14
 1.440000E+02 31 436 5 1 9 16
 1.480000E+02 33 436 5 2 9 17
 1.520000E+02 36 433 7 3 9 17
 1.560000E+02 38 433 7 3 10 18
 1.600000E+02 36 432 4 4 10 18
 1.640000E+02 38 431 5 3 11 19
 1.680000E+02 39 430 6 1 11 21
 1.720000E+02 42 429 6 4 11 21
 1.760000E+02 44 427 7 3 11 23
 1.800000E+02 47 426 6 4 11 26
 1.840000E+02 47 426 5 3 11 28
 1.880000E+02 52 426 7 1 13 31
 1.920000E+02 52 425 5 3 13 31
 1.960000E+02 51 425 4 1 13 33
 2.000000E+02 49 425 3 0 13 33

#Simulation ended (eff.: 0.757782, detail below)
	#Events: 1558
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
