# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 1580 0 0 0 0
 4.000000E+00 4 1580 4 0 0 0
 8.000000E+00 4 1580 4 0 0 0
 1.200000E+01 1 1580 0 0 0 1
 1.600000E+01 10 1580 9 0 0 1
 2.000000E+01 7 1580 4 0 1 2
 2.400000E+01 13 1578 6 4 1 2
 2.800000E+01 14 1576 7 4 1 2
 3.200000E+01 12 1572 4 3 3 2
 3.600000E+01 17 1571 8 1 5 3
 4.000000E+01 15 1569 4 3 5 3
 4.400000E+01 21 1566 10 3 5 3
 4.800000E+01 17 1565 6 1 5 5
 5.200000E+01 20 1565 5 5 5 5
 5.600000E+01 25 1565 7 5 8 5
 6.000000E+01 21 1563 2 1 10 8
 6.400000E+01 33 1561 13 2 10 8
 6.800000E+01 27 1556 4 4 11 8
 7.200000E+01 33 1555 9 5 11 8
 7.600000E+01 44 1551 16 5 12 11
 8.000000E+01 44 1550 14 4 12 14
 8.400000E+01 42 1545 8 5 12 17
 8.800000E+01 46 1542 10 3 14 19
 9.200000E+01 46 1537 7 6 14 19
 9.600000E+01 51 1535 12 5 15 19
 1.000000E+02 53 1535 10 6 15 22
 1.040000E+02 59 1529 12 7 16 24
 1.080000E+02 62 1528 11 5 17 29
 1.120000E+02 70 1519 14 7 17 32
 1.160000E+02 67 1513 10 5 18 34
 1.200000E+02 73 1512 13 4 19 37
 1.240000E+02 74 1507 10 5 20 39
 1.280000E+02 76 1505 10 4 20 42
 1.320000E+02 86 1501 18 2 21 45
 1.360000E+02 76 1500 7 0 23 46
 1.400000E+02 85 1497 8 5 24 48
 1.440000E+02 93 1492 11 6 27 49
 1.480000E+02 93 1486 9 6 28 50
 1.520000E+02 100 1483 10 10 29 51
 1.560000E+02 99 1478 9 7 29 54
 1.600000E+02 104 1475 9 6 29 60
 1.640000E+02 104 1473 9 4 29 62
 1.680000E+02 100 1471 5 1 30 64
 1.720000E+02 104 1470 7 1 31 65
 1.760000E+02 108 1470 6 5 32 65
 1.800000E+02 110 1469 6 4 32 68
 1.840000E+02 116 1468 9 5 32 70
 1.880000E+02 118 1466 7 6 32 73
 1.920000E+02 117 1464 6 3 34 74
 1.960000E+02 115 1464 5 2 34 74
 2.000000E+02 116 1464 4 3 34 75

#Simulation ended (eff.: 0.838622, detail below)
	#Events: 3383
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
