"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 12750 0 10 0 0
"2" 4 28 12731 19 7 0 2
"3" 8 33 12727 23 4 0 6
"4" 12 46 12713 34 5 0 7
"5" 16 53 12705 35 9 1 8
"6" 20 68 12691 43 9 3 13
"7" 24 77 12682 41 10 7 19
"8" 28 90 12670 40 16 9 25
"9" 32 104 12656 44 13 15 32
"10" 36 113 12645 43 18 18 34
"11" 40 133 12626 53 19 19 42
"12" 44 157 12601 65 20 24 48
"13" 48 178 12581 73 21 27 57
"14" 52 202 12555 81 19 33 69
"15" 56 213 12544 83 14 38 78
"16" 60 240 12520 88 20 43 89
"17" 64 251 12504 77 20 51 103
"18" 68 281 12476 86 24 55 116
"19" 72 309 12448 94 26 59 130
"20" 76 327 12427 87 23 66 151
"21" 80 353 12403 96 24 71 162
"22" 84 384 12372 98 30 76 180
"23" 88 402 12356 95 35 84 188
"24" 92 425 12332 92 39 89 205
"25" 96 450 12307 97 42 92 219
"26" 100 477 12278 94 49 99 235
"27" 104 501 12255 100 39 102 260
"28" 108 525 12232 93 41 113 278
"29" 112 554 12201 97 38 122 297
"30" 116 579 12178 93 37 129 320
"31" 120 597 12160 83 38 136 340
"32" 124 627 12132 87 36 147 357
"33" 128 646 12106 89 40 151 366
"34" 132 671 12084 92 39 159 381
"35" 136 689 12069 80 46 164 399
"36" 140 707 12050 72 40 172 423
"37" 144 730 12028 81 31 182 436
"38" 148 747 12012 76 35 187 449
"39" 152 766 11989 78 36 190 462
"40" 156 796 11961 87 36 199 474
"41" 160 808 11950 83 34 204 487
"42" 164 820 11937 69 33 207 511
"43" 168 844 11912 66 33 216 529
"44" 172 858 11899 60 29 225 544
"45" 176 872 11888 55 31 229 557
"46" 180 889 11869 53 29 236 571
"47" 184 900 11858 52 18 243 587
"48" 188 914 11846 52 15 248 599
"49" 192 919 11841 37 29 249 604
"50" 196 927 11829 34 23 253 617
"51" 200 940 11819 34 17 262 627
