# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 4700 0 0 0 0
 4.000000E+00 2 4700 2 0 0 0
 8.000000E+00 4 4699 3 0 0 1
 1.200000E+01 5 4699 3 0 1 1
 1.600000E+01 8 4699 6 0 1 1
 2.000000E+01 8 4698 5 0 1 2
 2.400000E+01 10 4697 4 2 2 2
 2.800000E+01 14 4694 7 2 2 3
 3.200000E+01 21 4691 14 2 2 3
 3.600000E+01 26 4679 16 3 3 4
 4.000000E+01 29 4673 17 3 5 4
 4.400000E+01 37 4660 21 3 7 6
 4.800000E+01 43 4656 23 5 7 8
 5.200000E+01 54 4644 30 6 7 11
 5.600000E+01 72 4635 47 4 7 14
 6.000000E+01 95 4620 61 6 9 19
 6.400000E+01 117 4602 76 10 9 22
 6.800000E+01 145 4579 97 11 10 27
 7.200000E+01 182 4547 116 21 14 31
 7.600000E+01 227 4512 151 19 22 35
 8.000000E+01 288 4465 188 25 25 50
 8.400000E+01 359 4413 241 24 33 61
 8.800000E+01 445 4354 296 31 39 79
 9.200000E+01 562 4263 372 47 49 94
 9.600000E+01 713 4159 473 62 60 118
 1.000000E+02 885 4004 586 80 71 148
 1.040000E+02 1116 3827 742 105 93 176
 1.080000E+02 1357 3598 879 121 112 245
 1.120000E+02 1715 3351 1136 148 138 293
 1.160000E+02 2107 3040 1392 178 160 377
 1.200000E+02 2538 2724 1644 230 187 477
 1.240000E+02 3205 2321 2070 299 252 584
 1.280000E+02 3945 1900 2522 384 315 724
 1.320000E+02 4602 1437 2847 457 388 910
 1.360000E+02 5441 1037 3262 549 488 1142
 1.400000E+02 6189 656 3557 635 604 1393
 1.440000E+02 6811 413 3628 746 738 1699
 1.480000E+02 7503 248 3739 832 889 2043
 1.520000E+02 8078 142 3705 916 1050 2407
 1.560000E+02 8480 72 3506 936 1208 2830
 1.600000E+02 8805 43 3198 992 1390 3225
 1.640000E+02 8819 26 2634 923 1589 3673
 1.680000E+02 8807 8 2089 886 1746 4086
 1.720000E+02 8677 2 1447 843 1922 4465
 1.760000E+02 8656 2 1069 713 2086 4788
 1.800000E+02 8615 0 722 606 2206 5081
 1.840000E+02 8526 0 453 439 2313 5321
 1.880000E+02 8522 0 310 339 2378 5495
 1.920000E+02 8458 0 156 248 2429 5625
 1.960000E+02 8427 0 91 163 2462 5711
 2.000000E+02 8436 0 61 111 2490 5774

#Simulation ended (eff.: 0.955430, detail below)
	#Events: 259278
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
