# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 7000 0 0 0 0
 4.000000E+00 3 7000 2 1 0 0
 8.000000E+00 8 6999 6 1 0 1
 1.200000E+01 6 6996 4 1 0 1
 1.600000E+01 2 6994 1 0 0 1
 2.000000E+01 3 6994 2 0 0 1
 2.400000E+01 5 6993 4 0 0 1
 2.800000E+01 4 6993 3 0 0 1
 3.200000E+01 12 6993 11 0 0 1
 3.600000E+01 10 6989 8 1 0 1
 4.000000E+01 16 6988 14 0 1 1
 4.400000E+01 25 6988 20 2 1 2
 4.800000E+01 29 6986 24 1 1 3
 5.200000E+01 34 6982 25 3 3 3
 5.600000E+01 39 6970 24 8 3 4
 6.000000E+01 62 6950 48 5 3 6
 6.400000E+01 73 6942 54 8 4 7
 6.800000E+01 96 6918 73 9 5 9
 7.200000E+01 108 6909 84 7 7 10
 7.600000E+01 168 6886 126 16 11 15
 8.000000E+01 193 6849 142 17 12 22
 8.400000E+01 247 6808 183 21 14 29
 8.800000E+01 318 6749 230 26 24 38
 9.200000E+01 398 6682 286 36 29 47
 9.600000E+01 463 6595 317 40 37 69
 1.000000E+02 649 6504 465 51 49 84
 1.040000E+02 743 6397 528 50 61 104
 1.080000E+02 958 6261 681 65 78 134
 1.120000E+02 1273 6067 917 94 92 170
 1.160000E+02 1566 5804 1105 127 117 217
 1.200000E+02 1965 5521 1391 153 145 276
 1.240000E+02 2407 5181 1680 205 173 349
 1.280000E+02 3053 4774 2129 265 215 444
 1.320000E+02 3819 4213 2625 346 277 571
 1.360000E+02 4656 3592 3127 453 343 733
 1.400000E+02 5690 2934 3783 511 439 957
 1.440000E+02 6710 2290 4354 599 544 1213
 1.480000E+02 7801 1646 4876 733 671 1521
 1.520000E+02 9005 1100 5419 882 811 1893
 1.560000E+02 10195 668 5832 1029 1000 2334
 1.600000E+02 11209 379 6089 1114 1226 2780
 1.640000E+02 12103 218 6108 1271 1429 3295
 1.680000E+02 12755 122 5841 1327 1693 3894
 1.720000E+02 13186 63 5255 1482 1936 4513
 1.760000E+02 13376 32 4513 1495 2226 5142
 1.800000E+02 13542 19 3822 1422 2498 5800
 1.840000E+02 13388 8 2895 1319 2737 6437
 1.880000E+02 13296 6 2120 1187 2975 7014
 1.920000E+02 13208 2 1475 1041 3196 7496
 1.960000E+02 13028 0 962 781 3395 7890
 2.000000E+02 12863 0 588 560 3541 8174

#Simulation ended (eff.: 0.962918, detail below)
	#Events: 459512
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
