# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 15800 0 0 0 0
 4.000000E+00 2 15800 2 0 0 0
 8.000000E+00 4 15800 3 0 0 1
 1.200000E+01 8 15800 7 0 0 1
 1.600000E+01 12 15800 11 0 0 1
 2.000000E+01 22 15798 16 3 0 3
 2.400000E+01 19 15792 10 4 1 4
 2.800000E+01 32 15785 20 5 1 6
 3.200000E+01 40 15772 24 6 2 8
 3.600000E+01 44 15759 27 4 3 10
 4.000000E+01 46 15748 28 3 4 11
 4.400000E+01 65 15736 42 3 6 14
 4.800000E+01 87 15725 55 9 7 16
 5.200000E+01 114 15703 78 8 9 19
 5.600000E+01 128 15672 81 9 15 23
 6.000000E+01 184 15640 120 18 18 28
 6.400000E+01 220 15591 147 17 20 36
 6.800000E+01 282 15531 184 25 24 49
 7.200000E+01 379 15465 246 40 31 62
 7.600000E+01 501 15359 344 38 40 79
 8.000000E+01 579 15251 373 54 48 104
 8.400000E+01 837 15090 544 99 63 131
 8.800000E+01 1088 14871 693 128 89 178
 9.200000E+01 1360 14531 850 161 120 229
 9.600000E+01 1698 14145 1059 187 151 301
 1.000000E+02 2212 13693 1383 240 199 390
 1.040000E+02 2816 13118 1767 288 255 506
 1.080000E+02 3473 12460 2144 354 328 647
 1.120000E+02 4410 11609 2709 456 408 837
 1.160000E+02 5396 10671 3253 567 519 1057
 1.200000E+02 6749 9454 3966 759 668 1356
 1.240000E+02 8296 8075 4800 902 835 1759
 1.280000E+02 10084 6635 5734 1118 1028 2204
 1.320000E+02 12234 5164 6803 1370 1284 2777
 1.360000E+02 14170 3809 7516 1581 1579 3494
 1.400000E+02 16512 2602 8312 2002 1906 4292
 1.440000E+02 18893 1619 8898 2360 2336 5299
 1.480000E+02 20942 932 9170 2557 2796 6419
 1.520000E+02 22923 542 8995 2889 3352 7687
 1.560000E+02 24791 303 8673 3089 3936 9093
 1.600000E+02 26193 144 7944 3083 4579 10587
 1.640000E+02 27067 73 6734 3169 5162 12002
 1.680000E+02 27805 45 5588 3026 5791 13400
 1.720000E+02 28120 18 4218 2814 6321 14767
 1.760000E+02 28389 12 3076 2499 6834 15980
 1.800000E+02 28579 4 2099 2165 7284 17031
 1.840000E+02 28602 3 1414 1666 7671 17851
 1.880000E+02 28556 3 841 1218 7944 18553
 1.920000E+02 28640 1 558 922 8117 19043
 1.960000E+02 28682 1 349 653 8273 19407
 2.000000E+02 28668 1 199 432 8375 19662

#Simulation ended (eff.: 0.950634, detail below)
	#Events: 612151
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
