"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 4 22 127490 12 6 3 1
"3" 8 24 127484 14 4 3 3
"4" 12 28 127482 18 1 5 4
"5" 16 36 127474 22 3 5 6
"6" 20 43 127464 25 5 6 7
"7" 24 60 127449 36 7 9 8
"8" 28 73 127434 43 8 10 12
"9" 32 109 127400 72 10 11 16
"10" 36 132 127378 82 18 12 20
"11" 40 169 127335 107 19 15 28
"12" 44 220 127284 141 25 16 38
"13" 48 302 127202 196 34 19 53
"14" 52 379 127122 246 38 23 72
"15" 56 498 127003 319 53 36 90
"16" 60 641 126849 407 61 53 120
"17" 64 828 126667 519 87 63 159
"18" 68 1052 126438 664 111 80 197
"19" 72 1333 126143 832 148 101 252
"20" 76 1746 125716 1068 206 135 337
"21" 80 2263 125179 1400 258 165 440
"22" 84 2988 124435 1883 307 219 579
"23" 88 3748 123665 2363 355 285 745
"24" 92 4675 122728 2910 480 350 935
"25" 96 5914 121430 3634 666 437 1177
"26" 100 7629 119677 4683 840 596 1510
"27" 104 9657 117563 5861 1085 789 1922
"28" 108 12343 114857 7498 1324 1020 2501
"29" 112 15523 111591 9409 1626 1314 3174
"30" 116 19511 107526 11677 2125 1680 4029
"31" 120 24310 102538 14364 2705 2098 5143
"32" 124 30231 96507 17676 3350 2696 6509
"33" 128 37160 89430 21339 4177 3407 8237
"34" 132 45143 81294 25376 5123 4266 10378
"35" 136 54125 72065 29562 6211 5341 13011
"36" 140 63970 62131 33611 7528 6695 16136
"37" 144 74373 51570 37168 8987 8324 19894
"38" 148 84674 41195 39757 10437 10137 24343
"39" 152 94276 31552 40669 11853 12337 29417
"40" 156 103037 22760 40221 12986 14734 35096
"41" 160 110726 15219 38402 13860 17307 41157
"42" 164 116656 9458 34578 14355 20058 47665
"43" 168 120671 5602 29111 14370 22866 54324
"44" 172 123355 3115 23359 13645 25601 60750
"45" 176 125016 1729 17661 12585 28278 66492
"46" 180 125909 989 12576 10855 30646 71832
"47" 184 126498 602 8577 9010 32547 76364
"48" 188 126848 390 5621 7138 34078 80011
"49" 192 127077 262 3536 5313 35356 82872
"50" 196 127194 196 2097 3981 36252 84864
"51" 200 127273 155 1256 2760 36933 86324
