# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 10 100000 0 10 0 0
 4.000000E+00 21 99978 12 6 0 3
 8.000000E+00 25 99967 17 2 0 6
 1.200000E+01 35 99956 23 4 0 8
 1.600000E+01 42 99949 27 4 1 10
 2.000000E+01 47 99936 30 3 1 13
 2.400000E+01 62 99928 34 12 2 14
 2.800000E+01 99 99893 61 13 3 22
 3.200000E+01 115 99865 68 15 6 26
 3.600000E+01 127 99830 73 16 6 32
 4.000000E+01 194 99776 116 27 10 41
 4.400000E+01 251 99696 154 28 17 52
 4.800000E+01 308 99627 180 37 25 66
 5.200000E+01 388 99542 226 46 35 81
 5.600000E+01 513 99417 305 55 44 109
 6.000000E+01 647 99263 381 78 55 133
 6.400000E+01 849 99032 497 103 75 174
 6.800000E+01 1133 98710 666 137 100 230
 7.200000E+01 1429 98345 834 163 133 299
 7.600000E+01 1780 97929 1006 224 176 374
 8.000000E+01 2351 97338 1356 285 222 488
 8.400000E+01 3003 96576 1729 366 277 631
 8.800000E+01 3815 95655 2190 447 363 815
 9.200000E+01 4867 94457 2791 574 459 1043
 9.600000E+01 6286 92890 3616 746 589 1335
 1.000000E+02 7991 90971 4595 918 762 1716
 1.040000E+02 10086 88620 5775 1187 934 2190
 1.080000E+02 12527 85607 7025 1492 1185 2825
 1.120000E+02 15682 81837 8686 1924 1503 3569
 1.160000E+02 19509 77309 10677 2338 1926 4568
 1.200000E+02 23886 71769 12685 3003 2408 5790
 1.240000E+02 29026 65406 15062 3616 3048 7300
 1.280000E+02 34389 58217 17132 4387 3783 9087
 1.320000E+02 40344 50185 19172 5148 4719 11305
 1.360000E+02 46526 41340 20805 6088 5786 13847
 1.400000E+02 52538 32507 21759 6836 7107 16836
 1.440000E+02 58098 24148 21698 7676 8586 20138
 1.480000E+02 63174 16684 21019 8209 10141 23805
 1.520000E+02 67056 10746 18958 8503 11823 27772
 1.560000E+02 70352 6564 16358 8708 13528 31758
 1.600000E+02 72519 3764 13180 8448 15189 35702
 1.640000E+02 74181 2111 10226 7721 16737 39497
 1.680000E+02 75351 1143 7281 6991 18157 42922
 1.720000E+02 76064 638 4990 5749 19386 45939
 1.760000E+02 76608 417 3342 4583 20368 48315
 1.800000E+02 76897 272 2078 3537 21159 50123
 1.840000E+02 77094 198 1233 2551 21810 51500
 1.880000E+02 77289 158 763 1790 22256 52480
 1.920000E+02 77371 137 431 1177 22565 53198
 1.960000E+02 77406 121 246 789 22751 53620
 2.000000E+02 77449 111 124 534 22878 53913

#Simulation ended (eff.: 0.947823, detail below)
	#Events: 1423597
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
