"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 4 27 127483 17 6 0 4
"3" 8 35 127471 24 2 2 7
"4" 12 44 127465 31 3 3 7
"5" 16 55 127454 38 3 4 10
"6" 20 61 127447 35 7 6 13
"7" 24 85 127420 51 10 8 16
"8" 28 109 127398 62 13 9 25
"9" 32 149 127360 94 17 10 28
"10" 36 200 127305 126 29 12 33
"11" 40 256 127248 169 27 18 42
"12" 44 308 127193 193 34 27 54
"13" 48 402 127090 245 51 38 68
"14" 52 527 126966 332 53 48 94
"15" 56 683 126812 430 68 60 125
"16" 60 868 126608 537 90 75 166
"17" 64 1108 126378 678 125 95 210
"18" 68 1405 126065 859 139 136 271
"19" 72 1791 125681 1086 183 172 350
"20" 76 2267 125188 1376 235 206 450
"21" 80 2935 124502 1804 317 244 570
"22" 84 3755 123674 2347 386 305 717
"23" 88 4713 122658 2915 493 375 930
"24" 92 6059 121292 3750 638 471 1200
"25" 96 7718 119610 4752 801 615 1550
"26" 100 9695 117581 5900 1007 812 1976
"27" 104 12290 114902 7393 1323 1058 2516
"28" 108 15459 111644 9213 1708 1359 3179
"29" 112 19378 107665 11530 2081 1754 4013
"30" 116 24137 102805 14223 2604 2223 5087
"31" 120 29811 96997 17397 3179 2810 6425
"32" 124 36390 90264 20744 4006 3587 8053
"33" 128 44216 82223 24744 4912 4476 10084
"34" 132 53209 73099 29040 6062 5501 12606
"35" 136 62957 63147 33200 7316 6830 15611
"36" 140 73230 52705 36841 8685 8372 19332
"37" 144 83247 42537 39357 10060 10236 23594
"38" 148 93013 32751 40628 11524 12412 28449
"39" 152 102175 23725 40815 12563 14773 34024
"40" 156 109783 16099 38627 13758 17345 40053
"41" 160 115813 10222 35211 14121 20076 46405
"42" 164 120117 6143 30208 14041 22956 52912
"43" 168 122898 3603 24382 13573 25656 59287
"44" 172 124620 2054 18512 12466 28256 65386
"45" 176 125702 1185 13360 11132 30509 70701
"46" 180 126393 696 9176 9390 32515 75312
"47" 184 126767 436 6048 7412 34167 79140
"48" 188 127015 295 3837 5669 35427 82082
"49" 192 127154 215 2357 4165 36309 84323
"50" 196 127232 181 1414 2876 37001 85941
"51" 200 127307 152 827 1921 37473 87086
