# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 4700 0 0 0 0
 4.000000E+00 2 4700 2 0 0 0
 8.000000E+00 0 4700 0 0 0 0
 1.200000E+01 1 4700 1 0 0 0
 1.600000E+01 0 4700 0 0 0 0
 2.000000E+01 1 4700 1 0 0 0
 2.400000E+01 2 4700 2 0 0 0
 2.800000E+01 0 4700 0 0 0 0
 3.200000E+01 3 4700 3 0 0 0
 3.600000E+01 2 4700 2 0 0 0
 4.000000E+01 5 4700 4 0 0 1
 4.400000E+01 4 4700 1 1 1 1
 4.800000E+01 4 4700 2 0 1 1
 5.200000E+01 4 4700 2 0 1 1
 5.600000E+01 9 4699 5 1 1 2
 6.000000E+01 9 4699 5 0 1 3
 6.400000E+01 11 4697 5 2 1 3
 6.800000E+01 8 4695 2 1 1 4
 7.200000E+01 10 4695 2 2 1 5
 7.600000E+01 15 4693 7 1 1 6
 8.000000E+01 15 4688 6 1 1 7
 8.400000E+01 17 4687 7 1 1 8
 8.800000E+01 16 4686 5 1 1 9
 9.200000E+01 17 4685 4 2 1 10
 9.600000E+01 17 4681 3 1 1 12
 1.000000E+02 22 4680 7 1 1 13
 1.040000E+02 25 4678 7 3 1 14
 1.080000E+02 25 4674 6 3 1 15
 1.120000E+02 30 4673 10 4 1 15
 1.160000E+02 30 4670 9 2 2 17
 1.200000E+02 31 4668 9 3 2 17
 1.240000E+02 29 4668 5 5 2 17
 1.280000E+02 32 4666 9 2 3 18
 1.320000E+02 30 4663 5 1 3 21
 1.360000E+02 35 4662 7 4 3 21
 1.400000E+02 37 4662 8 4 3 22
 1.440000E+02 40 4662 8 3 5 24
 1.480000E+02 39 4660 6 3 5 25
 1.520000E+02 40 4658 4 2 8 26
 1.560000E+02 42 4657 4 3 8 27
 1.600000E+02 49 4653 9 3 8 29
 1.640000E+02 48 4652 5 3 9 31
 1.680000E+02 50 4649 4 4 9 33
 1.720000E+02 56 4645 8 2 10 36
 1.760000E+02 53 4643 4 1 11 37
 1.800000E+02 52 4641 2 1 11 38
 1.840000E+02 53 4641 4 0 11 38
 1.880000E+02 52 4639 3 0 11 38
 1.920000E+02 57 4639 6 1 12 38
 1.960000E+02 55 4639 2 1 13 39
 2.000000E+02 56 4639 4 0 13 39

#Simulation ended (eff.: 0.909907, detail below)
	#Events: 5171
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
