# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 10 100000 0 10 0 0
 4.000000E+00 16 99989 6 3 4 3
 8.000000E+00 13 99986 4 0 4 5
 1.200000E+01 17 99986 6 1 4 6
 1.600000E+01 18 99985 4 3 4 7
 2.000000E+01 19 99983 5 1 4 9
 2.400000E+01 19 99981 2 1 6 10
 2.800000E+01 21 99981 3 1 6 11
 3.200000E+01 23 99981 5 1 6 11
 3.600000E+01 22 99980 3 2 6 11
 4.000000E+01 28 99979 7 0 6 15
 4.400000E+01 29 99979 6 2 6 15
 4.800000E+01 30 99974 7 1 6 16
 5.200000E+01 32 99971 5 4 6 17
 5.600000E+01 41 99965 11 5 6 19
 6.000000E+01 41 99963 11 3 6 21
 6.400000E+01 48 99959 14 2 6 26
 6.800000E+01 52 99949 12 4 6 30
 7.200000E+01 61 99942 17 6 6 32
 7.600000E+01 55 99941 13 0 7 35
 8.000000E+01 56 99939 10 2 7 37
 8.400000E+01 57 99938 5 6 7 39
 8.800000E+01 59 99937 6 2 9 42
 9.200000E+01 62 99935 6 3 9 44
 9.600000E+01 69 99931 10 4 10 45
 1.000000E+02 79 99924 16 5 12 46
 1.040000E+02 81 99921 16 5 13 47
 1.080000E+02 82 99919 14 4 15 49
 1.120000E+02 87 99912 10 7 16 54
 1.160000E+02 95 99905 12 7 18 58
 1.200000E+02 99 99901 13 5 19 62
 1.240000E+02 101 99898 11 6 19 65
 1.280000E+02 110 99890 16 8 19 67
 1.320000E+02 111 99886 16 8 19 68
 1.360000E+02 117 99881 18 9 19 71
 1.400000E+02 119 99877 15 9 21 74
 1.440000E+02 130 99862 23 8 21 78
 1.480000E+02 137 99850 25 8 23 81
 1.520000E+02 144 99848 20 10 27 87
 1.560000E+02 139 99848 11 8 27 93
 1.600000E+02 151 99842 14 11 28 98
 1.640000E+02 158 99836 20 6 32 100
 1.680000E+02 168 99832 24 9 34 101
 1.720000E+02 168 99825 18 11 36 103
 1.760000E+02 175 99817 16 13 37 109
 1.800000E+02 187 99808 22 10 38 117
 1.840000E+02 189 99802 18 10 40 121
 1.880000E+02 192 99800 16 10 40 126
 1.920000E+02 196 99795 10 9 48 129
 1.960000E+02 203 99794 17 5 49 132
 2.000000E+02 205 99791 13 4 50 138

#Simulation ended (eff.: 0.990977, detail below)
	#Events: 89293
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
