# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 15800 0 0 0 0
 4.000000E+00 4 15800 1 3 0 0
 8.000000E+00 5 15799 2 2 0 1
 1.200000E+01 4 15797 3 0 0 1
 1.600000E+01 4 15797 2 1 0 1
 2.000000E+01 12 15792 8 2 1 1
 2.400000E+01 11 15791 7 1 1 2
 2.800000E+01 13 15791 9 0 1 3
 3.200000E+01 14 15789 5 5 1 3
 3.600000E+01 25 15784 12 5 3 5
 4.000000E+01 22 15777 6 7 3 6
 4.400000E+01 31 15772 12 7 4 8
 4.800000E+01 34 15765 13 5 5 11
 5.200000E+01 33 15763 7 6 7 13
 5.600000E+01 42 15757 13 7 7 15
 6.000000E+01 54 15750 21 4 10 19
 6.400000E+01 47 15745 13 4 10 20
 6.800000E+01 63 15743 27 2 11 23
 7.200000E+01 57 15738 17 4 12 24
 7.600000E+01 59 15736 14 7 13 25
 8.000000E+01 65 15733 19 0 17 29
 8.400000E+01 66 15731 14 5 17 30
 8.800000E+01 70 15726 16 3 18 33
 9.200000E+01 78 15724 21 3 18 36
 9.600000E+01 77 15720 18 3 19 37
 1.000000E+02 81 15718 20 2 19 40
 1.040000E+02 87 15715 23 4 19 41
 1.080000E+02 90 15715 19 9 19 43
 1.120000E+02 92 15711 20 4 21 47
 1.160000E+02 97 15702 18 7 22 50
 1.200000E+02 104 15698 24 4 23 53
 1.240000E+02 99 15694 13 6 24 56
 1.280000E+02 106 15689 18 6 24 58
 1.320000E+02 114 15686 22 4 27 61
 1.360000E+02 121 15679 23 7 29 62
 1.400000E+02 117 15678 16 4 32 65
 1.440000E+02 122 15676 12 5 36 69
 1.480000E+02 129 15670 15 7 37 70
 1.520000E+02 132 15666 14 6 38 74
 1.560000E+02 135 15663 17 6 38 74
 1.600000E+02 142 15661 14 11 40 77
 1.640000E+02 148 15650 14 10 43 81
 1.680000E+02 155 15649 17 9 45 84
 1.720000E+02 157 15648 15 5 47 90
 1.760000E+02 158 15648 13 5 49 91
 1.800000E+02 172 15644 18 8 53 93
 1.840000E+02 171 15636 11 7 57 96
 1.880000E+02 180 15631 14 8 57 101
 1.920000E+02 170 15628 3 4 58 105
 1.960000E+02 180 15626 11 3 59 107
 2.000000E+02 183 15625 11 4 60 108

#Simulation ended (eff.: 0.951601, detail below)
	#Events: 16909
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
