# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 7000 0 0 0 0
 4.000000E+00 1 7000 1 0 0 0
 8.000000E+00 5 6999 4 0 0 1
 1.200000E+01 2 6998 1 0 0 1
 1.600000E+01 8 6996 6 1 0 1
 2.000000E+01 6 6995 4 1 0 1
 2.400000E+01 8 6995 6 0 1 1
 2.800000E+01 9 6993 6 1 1 1
 3.200000E+01 7 6991 4 1 1 1
 3.600000E+01 13 6989 7 2 1 3
 4.000000E+01 14 6987 8 2 1 3
 4.400000E+01 21 6980 12 4 1 4
 4.800000E+01 19 6979 12 1 1 5
 5.200000E+01 20 6979 10 3 1 6
 5.600000E+01 22 6976 11 2 2 7
 6.000000E+01 22 6974 12 0 2 8
 6.400000E+01 21 6972 7 4 2 8
 6.800000E+01 33 6969 15 5 2 11
 7.200000E+01 34 6967 17 2 3 12
 7.600000E+01 36 6964 15 6 3 12
 8.000000E+01 37 6963 17 1 3 16
 8.400000E+01 34 6963 10 3 4 17
 8.800000E+01 45 6958 18 2 6 19
 9.200000E+01 41 6958 13 2 7 19
 9.600000E+01 45 6957 11 5 9 20
 1.000000E+02 52 6955 18 5 9 20
 1.040000E+02 47 6953 17 1 9 20
 1.080000E+02 48 6953 13 2 10 23
 1.120000E+02 50 6949 13 3 10 24
 1.160000E+02 62 6947 20 4 12 26
 1.200000E+02 73 6935 27 3 14 29
 1.240000E+02 71 6931 17 8 15 31
 1.280000E+02 89 6924 25 13 18 33
 1.320000E+02 89 6920 24 6 21 38
 1.360000E+02 102 6915 27 11 23 41
 1.400000E+02 98 6908 18 8 28 44
 1.440000E+02 102 6906 25 2 30 45
 1.480000E+02 101 6905 19 4 30 48
 1.520000E+02 102 6903 15 8 30 49
 1.560000E+02 111 6898 21 9 31 50
 1.600000E+02 105 6896 13 6 32 54
 1.640000E+02 112 6896 19 3 33 57
 1.680000E+02 112 6894 15 5 33 59
 1.720000E+02 119 6892 21 3 33 62
 1.760000E+02 126 6890 18 11 34 63
 1.800000E+02 116 6886 7 8 35 66
 1.840000E+02 121 6882 8 7 39 67
 1.880000E+02 126 6880 13 3 40 70
 1.920000E+02 120 6878 6 3 40 71
 1.960000E+02 122 6873 5 5 40 72
 2.000000E+02 120 6872 2 3 41 74

#Simulation ended (eff.: 0.881219, detail below)
	#Events: 9600
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
