"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 100 127500 0 100 0 0
"2" 20 215 127381 115 37 18 45
"3" 40 268 127327 164 17 25 62
"4" 60 317 127280 167 37 35 78
"5" 80 366 127226 169 45 43 109
"6" 100 440 127153 187 59 58 136
"7" 120 537 127057 239 51 75 172
"8" 140 624 126968 258 78 88 200
"9" 160 733 126851 310 74 107 242
"10" 180 901 126685 372 103 126 300
"11" 200 1055 126527 434 101 152 368
"12" 220 1238 126336 498 124 181 435
"13" 240 1476 126102 567 170 221 518
"14" 260 1744 125825 683 183 268 610
"15" 280 2047 125528 805 199 312 731
"16" 300 2430 125144 939 272 367 852
"17" 320 2886 124675 1141 292 429 1024
"18" 340 3409 124127 1339 353 505 1212
"19" 360 4089 123453 1611 449 598 1431
"20" 380 4813 122721 1908 521 706 1678
"21" 400 5666 121840 2263 592 836 1975
"22" 420 6729 120755 2671 709 985 2364
"23" 440 7913 119561 3073 832 1163 2845
"24" 460 9389 118074 3623 1027 1385 3354
"25" 480 10986 116444 4222 1133 1666 3965
"26" 500 12891 114520 4883 1325 1964 4719
"27" 520 14951 112418 5540 1593 2310 5508
"28" 540 17487 109885 6424 1831 2756 6476
"29" 560 20189 107135 7219 2135 3211 7624
"30" 580 23313 103978 8297 2389 3735 8892
"31" 600 26760 100513 9255 2783 4366 10356
"32" 620 30661 96583 10320 3243 5070 12028
"33" 640 34878 92235 11512 3448 5911 14007
"34" 660 39321 87819 12539 3885 6827 16070
"35" 680 44025 83082 13337 4394 7816 18478
"36" 700 48890 78182 14057 4791 8919 21123
"37" 720 54000 73069 14666 5185 10180 23969
"38" 740 58989 68041 14888 5557 11528 27016
"39" 760 63998 63034 15048 5757 12997 30196
"40" 780 68640 58377 14728 5974 14454 33484
"41" 800 73153 53880 14105 6197 15932 36919
"42" 820 77475 49644 13653 6050 17368 40404
"43" 840 81406 45708 12833 5902 18844 43827
"44" 860 84956 42194 11807 5663 20299 47187
"45" 880 88065 39118 10669 5358 21654 50384
"46" 900 90952 36310 9662 5038 22933 53319
"47" 920 93394 33913 8525 4673 24093 56103
"48" 940 95436 31888 7283 4337 25217 58599
"49" 960 97333 30019 6459 3794 26207 60873
"50" 980 98867 28519 5539 3373 27069 62886
"51" 1000 100087 27326 4640 3014 27839 64594
"52" 1020 101214 26230 3910 2546 28514 66244
"53" 1040 102118 25334 3277 2232 29071 67538
"54" 1060 102868 24641 2679 1893 29604 68692
"55" 1080 103436 24073 2168 1554 30010 69704
"56" 1100 103957 23569 1814 1275 30347 70521
"57" 1120 104361 23171 1495 1055 30617 71194
"58" 1140 104723 22824 1251 891 30867 71714
"59" 1160 105011 22542 1006 733 31066 72206
"60" 1180 105237 22331 808 674 31192 72563
"61" 1200 105396 22174 636 510 31343 72907
"62" 1220 105532 22035 499 419 31452 73162
"63" 1240 105643 21936 401 335 31529 73378
"64" 1260 105725 21859 294 268 31611 73552
"65" 1280 105802 21787 249 208 31662 73683
"66" 1300 105849 21743 203 157 31705 73784
"67" 1320 105885 21702 150 132 31747 73856
"68" 1340 105925 21666 124 94 31788 73919
"69" 1360 105953 21638 100 82 31809 73962
"70" 1380 105980 21612 94 68 31819 73999
"71" 1400 106007 21584 82 55 31839 74031
"72" 1420 106016 21576 60 42 31852 74062
"73" 1440 106041 21552 54 40 31860 74087
"74" 1460 106050 21542 45 28 31867 74110
"75" 1480 106064 21530 42 22 31876 74124
"76" 1500 106068 21522 30 23 31883 74132
"77" 1520 106077 21517 28 19 31889 74141
"78" 1540 106083 21509 20 19 31893 74151
"79" 1560 106087 21507 16 15 31897 74159
"80" 1580 106091 21502 13 11 31899 74168
"81" 1600 106098 21498 15 12 31902 74169
"82" 1620 106099 21495 13 7 31906 74173
"83" 1640 106099 21495 6 7 31909 74177
"84" 1660 106098 21495 4 4 31910 74180
"85" 1680 106103 21491 6 4 31910 74183
"86" 1700 106105 21489 6 4 31910 74185
"87" 1720 106109 21485 10 3 31911 74185
"88" 1740 106110 21483 9 4 31911 74186
"89" 1760 106112 21482 6 7 31911 74188
"90" 1780 106112 21481 2 8 31911 74191
"91" 1800 106113 21481 2 5 31912 74194
"92" 1820 106113 21480 2 0 31912 74199
"93" 1840 106117 21477 5 1 31912 74199
"94" 1860 106117 21477 4 1 31913 74199
"95" 1880 106118 21476 2 1 31913 74202
"96" 1900 106118 21476 2 1 31913 74202
"97" 1920 106118 21476 1 2 31913 74202
"98" 1940 106119 21475 1 2 31913 74203
"99" 1960 106119 21475 0 2 31913 74204
"100" 1980 106119 21475 0 1 31913 74205
"101" 2000 106119 21475 0 0 31914 74205
