# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 7000 0 0 0 0
 2.000000E+00 1 7000 1 0 0 0
 4.000000E+00 2 7000 1 1 0 0
 6.000000E+00 3 6998 3 0 0 0
 8.000000E+00 2 6998 2 0 0 0
 1.000000E+01 3 6998 3 0 0 0
 1.200000E+01 1 6998 1 0 0 0
 1.400000E+01 2 6998 2 0 0 0
 1.600000E+01 4 6998 4 0 0 0
 1.800000E+01 4 6998 3 1 0 0
 2.000000E+01 5 6998 4 1 0 0
 2.200000E+01 4 6998 3 0 0 1
 2.400000E+01 6 6998 5 0 1 1
 2.600000E+01 9 6998 5 3 1 1
 2.800000E+01 7 6998 4 1 2 1
 3.000000E+01 4 6998 2 0 2 1
 3.200000E+01 7 6998 4 1 2 1
 3.400000E+01 6 6998 3 1 2 1
 3.600000E+01 10 6997 4 3 3 1
 3.800000E+01 8 6997 4 1 3 1
 4.000000E+01 13 6996 8 2 3 1
 4.200000E+01 9 6996 6 0 3 1
 4.400000E+01 9 6996 5 1 3 1
 4.600000E+01 11 6995 6 1 4 2
 4.800000E+01 9 6995 5 0 4 2
 5.000000E+01 8 6995 4 0 4 2
 5.200000E+01 17 6995 13 0 4 2
 5.400000E+01 14 6995 9 1 4 2
 5.600000E+01 18 6994 13 1 4 2
 5.800000E+01 15 6993 9 0 6 3
 6.000000E+01 16 6993 9 0 7 3
 6.200000E+01 19 6993 11 1 7 3
 6.400000E+01 20 6993 12 1 7 3
 6.600000E+01 23 6993 14 2 7 3
 6.800000E+01 20 6990 11 2 7 3
 7.000000E+01 23 6989 12 4 7 3
 7.200000E+01 29 6987 15 4 8 6
 7.400000E+01 28 6985 15 1 10 7
 7.600000E+01 28 6984 13 2 12 8
 7.800000E+01 33 6981 16 3 12 9
 8.000000E+01 33 6980 16 2 14 9
 8.200000E+01 33 6979 17 0 16 9
 8.400000E+01 34 6979 16 2 16 9
 8.600000E+01 43 6977 23 4 16 9
 8.800000E+01 36 6975 16 2 16 11
 9.000000E+01 50 6973 29 2 16 12
 9.200000E+01 48 6973 25 2 21 13
 9.400000E+01 59 6973 29 6 21 16
 9.600000E+01 65 6970 27 10 22 19
 9.800000E+01 71 6962 36 6 22 20
 1.000000E+02 71 6954 34 5 26 23
 1.020000E+02 71 6949 32 5 28 25
 1.040000E+02 86 6945 46 5 30 26
 1.060000E+02 80 6942 42 3 31 26
 1.080000E+02 75 6941 33 5 34 27
 1.100000E+02 75 6939 34 2 37 29
 1.120000E+02 82 6938 33 8 40 29
 1.140000E+02 102 6933 48 9 41 32
 1.160000E+02 104 6929 49 8 43 34
 1.180000E+02 116 6922 60 8 44 35
 1.200000E+02 115 6918 56 8 48 37
 1.220000E+02 127 6915 61 10 53 40
 1.240000E+02 148 6906 74 14 55 44
 1.260000E+02 154 6902 84 8 56 45
 1.280000E+02 149 6897 75 7 61 48
 1.300000E+02 158 6890 76 13 63 50
 1.320000E+02 163 6881 83 6 66 54
 1.340000E+02 171 6877 85 8 72 57
 1.360000E+02 180 6872 87 14 75 57
 1.380000E+02 205 6860 102 19 80 61
 1.400000E+02 213 6848 104 18 84 65
 1.420000E+02 232 6835 118 18 90 67
 1.440000E+02 238 6828 120 15 95 72
 1.460000E+02 254 6817 132 13 103 77
 1.480000E+02 275 6804 140 20 108 80
 1.500000E+02 284 6790 148 17 114 82
 1.520000E+02 313 6776 165 23 120 84
 1.540000E+02 309 6757 155 21 129 88
 1.560000E+02 340 6744 178 23 135 91
 1.580000E+02 366 6734 190 30 143 95
 1.600000E+02 404 6720 215 35 148 99
 1.620000E+02 409 6700 212 33 153 106
 1.640000E+02 428 6682 225 28 166 111
 1.660000E+02 446 6663 227 32 173 119
 1.680000E+02 485 6636 246 38 185 125
 1.700000E+02 497 6610 248 36 198 132
 1.720000E+02 524 6575 260 42 208 138
 1.740000E+02 545 6548 269 42 216 147
 1.760000E+02 616 6518 309 60 228 159
 1.780000E+02 676 6488 358 49 240 177
 1.800000E+02 700 6449 356 60 256 187
 1.820000E+02 760 6413 400 57 276 201
 1.840000E+02 777 6377 388 64 295 215
 1.860000E+02 860 6331 428 84 313 233
 1.880000E+02 921 6273 460 87 343 251
 1.900000E+02 986 6210 498 90 362 270
 1.920000E+02 1006 6160 499 77 385 292
 1.940000E+02 1138 6098 575 103 418 314
 1.960000E+02 1159 6033 569 99 447 340
 1.980000E+02 1203 5971 582 100 481 364
 2.000000E+02 1304 5927 619 127 513 390

#Simulation ended (eff.: 0.920394, detail below)
	#Events: 30431
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
