# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 4700 0 0 0 0
 2.000000E+00 1 4700 1 0 0 0
 4.000000E+00 1 4700 1 0 0 0
 6.000000E+00 1 4700 1 0 0 0
 8.000000E+00 3 4700 3 0 0 0
 1.000000E+01 2 4700 2 0 0 0
 1.200000E+01 2 4700 1 0 0 1
 1.400000E+01 8 4700 5 1 1 2
 1.600000E+01 4 4699 2 0 1 2
 1.800000E+01 4 4699 2 0 1 2
 2.000000E+01 5 4699 3 0 2 2
 2.200000E+01 9 4699 7 0 2 2
 2.400000E+01 3 4699 1 0 2 2
 2.600000E+01 3 4699 0 1 2 2
 2.800000E+01 4 4699 1 0 3 3
 3.000000E+01 7 4699 3 1 3 3
 3.200000E+01 5 4699 1 1 3 3
 3.400000E+01 3 4699 0 0 3 3
 3.600000E+01 7 4699 4 0 3 3
 3.800000E+01 8 4699 3 2 3 3
 4.000000E+01 7 4698 1 2 3 4
 4.200000E+01 9 4695 4 1 4 4
 4.400000E+01 6 4695 1 0 5 4
 4.600000E+01 8 4695 3 0 5 4
 4.800000E+01 12 4695 7 0 5 4
 5.000000E+01 7 4695 2 0 5 4
 5.200000E+01 11 4695 6 0 5 4
 5.400000E+01 11 4695 5 1 5 4
 5.600000E+01 8 4695 2 1 5 4
 5.800000E+01 12 4694 5 2 5 4
 6.000000E+01 10 4694 4 1 5 4
 6.200000E+01 16 4694 11 0 5 4
 6.400000E+01 12 4694 7 0 5 4
 6.600000E+01 9 4694 4 0 5 4
 6.800000E+01 13 4694 7 1 5 4
 7.000000E+01 14 4694 6 3 5 4
 7.200000E+01 14 4694 6 2 6 4
 7.400000E+01 21 4692 11 3 6 5
 7.600000E+01 25 4690 13 4 6 6
 7.800000E+01 23 4686 12 1 9 8
 8.000000E+01 26 4683 14 1 10 9
 8.200000E+01 36 4682 22 2 12 10
 8.400000E+01 36 4681 21 3 12 10
 8.600000E+01 32 4681 16 3 12 11
 8.800000E+01 35 4678 19 2 13 12
 9.000000E+01 35 4676 18 3 13 12
 9.200000E+01 39 4676 19 5 13 13
 9.400000E+01 37 4673 17 3 16 14
 9.600000E+01 41 4672 21 2 18 14
 9.800000E+01 40 4671 20 1 19 14
 1.000000E+02 43 4671 22 2 19 14
 1.020000E+02 45 4671 23 3 19 14
 1.040000E+02 55 4669 32 4 19 14
 1.060000E+02 61 4667 36 2 21 18
 1.080000E+02 56 4662 30 3 21 18
 1.100000E+02 58 4661 30 5 22 18
 1.120000E+02 57 4659 26 7 23 19
 1.140000E+02 76 4652 42 8 24 21
 1.160000E+02 78 4644 40 10 26 22
 1.180000E+02 85 4639 42 13 28 23
 1.200000E+02 81 4635 34 13 31 26
 1.220000E+02 91 4632 47 7 34 29
 1.240000E+02 88 4629 38 9 38 32
 1.260000E+02 94 4626 39 10 41 33
 1.280000E+02 101 4619 39 14 42 35
 1.300000E+02 117 4610 53 11 47 38
 1.320000E+02 129 4599 61 8 50 43
 1.340000E+02 134 4594 64 6 55 47
 1.360000E+02 132 4591 56 8 61 51
 1.380000E+02 140 4587 60 9 64 53
 1.400000E+02 149 4576 65 12 67 54
 1.420000E+02 154 4568 62 17 69 56
 1.440000E+02 156 4559 56 19 75 60
 1.460000E+02 186 4549 86 12 80 65
 1.480000E+02 189 4536 77 20 83 68
 1.500000E+02 210 4525 89 21 92 73
 1.520000E+02 222 4518 91 26 99 76
 1.540000E+02 254 4502 118 23 105 83
 1.560000E+02 235 4490 103 15 108 85
 1.580000E+02 257 4473 114 18 118 92
 1.600000E+02 262 4464 112 20 125 95
 1.620000E+02 275 4456 117 26 126 97
 1.640000E+02 306 4440 137 28 134 104
 1.660000E+02 314 4429 146 19 142 109
 1.680000E+02 322 4417 138 29 150 112
 1.700000E+02 357 4394 155 41 153 117
 1.720000E+02 371 4375 162 38 161 125
 1.740000E+02 420 4354 189 49 169 135
 1.760000E+02 434 4320 192 45 181 146
 1.780000E+02 489 4287 232 45 193 154
 1.800000E+02 475 4264 199 51 209 164
 1.820000E+02 513 4235 230 46 223 169
 1.840000E+02 521 4212 225 45 238 176
 1.860000E+02 554 4186 246 39 254 185
 1.880000E+02 610 4168 276 51 270 192
 1.900000E+02 640 4140 281 66 282 197
 1.920000E+02 693 4112 326 55 290 212
 1.940000E+02 691 4081 301 61 312 222
 1.960000E+02 802 4045 385 64 328 240
 1.980000E+02 791 3996 351 69 346 255
 2.000000E+02 845 3955 380 72 367 272

#Simulation ended (eff.: 0.909524, detail below)
	#Events: 16808
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
