# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 10 100000 0 10 0 0
 2.000000E+00 15 99994 5 5 4 4
 4.000000E+00 14 99990 5 3 4 5
 6.000000E+00 15 99986 6 2 4 6
 8.000000E+00 17 99983 8 2 6 6
 1.000000E+01 20 99983 11 2 6 6
 1.200000E+01 20 99981 9 2 6 8
 1.400000E+01 21 99978 10 2 6 8
 1.600000E+01 23 99977 11 1 8 9
 1.800000E+01 23 99975 12 0 8 9
 2.000000E+01 28 99971 15 2 10 9
 2.200000E+01 28 99967 13 4 10 9
 2.400000E+01 33 99967 17 3 12 9
 2.600000E+01 32 99967 16 3 13 9
 2.800000E+01 33 99967 17 1 14 10
 3.000000E+01 32 99966 16 1 14 10
 3.200000E+01 31 99965 11 4 14 11
 3.400000E+01 37 99961 13 8 14 11
 3.600000E+01 38 99958 13 6 16 13
 3.800000E+01 36 99956 11 4 18 14
 4.000000E+01 40 99954 14 4 19 15
 4.200000E+01 45 99950 15 6 22 17
 4.400000E+01 51 99947 20 4 23 20
 4.600000E+01 56 99944 25 3 24 20
 4.800000E+01 60 99939 24 5 26 22
 5.000000E+01 80 99931 41 6 29 24
 5.200000E+01 70 99928 28 7 33 25
 5.400000E+01 67 99928 24 8 33 25
 5.600000E+01 72 99925 27 10 33 25
 5.800000E+01 80 99922 29 11 36 28
 6.000000E+01 84 99916 31 6 37 35
 6.200000E+01 90 99909 30 10 42 38
 6.400000E+01 93 99903 31 7 50 42
 6.600000E+01 105 99895 40 8 54 43
 6.800000E+01 109 99886 38 13 55 44
 7.000000E+01 115 99877 34 11 59 55
 7.200000E+01 133 99865 45 14 63 59
 7.400000E+01 140 99845 50 12 70 60
 7.600000E+01 153 99837 58 14 74 63
 7.800000E+01 168 99826 64 20 75 66
 8.000000E+01 189 99814 77 26 80 68
 8.200000E+01 192 99795 68 25 91 77
 8.400000E+01 211 99778 79 26 100 82
 8.600000E+01 217 99764 78 26 103 88
 8.800000E+01 246 99742 91 29 113 97
 9.000000E+01 257 99719 92 29 124 105
 9.200000E+01 259 99702 87 28 130 111
 9.400000E+01 286 99679 104 29 136 119
 9.600000E+01 313 99648 117 34 146 125
 9.800000E+01 333 99621 122 36 162 135
 1.000000E+02 343 99602 116 32 180 143
 1.020000E+02 368 99576 121 37 191 154
 1.040000E+02 379 99558 120 38 207 159
 1.060000E+02 421 99533 147 40 223 168
 1.080000E+02 444 99514 159 40 232 177
 1.100000E+02 463 99487 159 43 241 192
 1.120000E+02 502 99459 178 56 255 194
 1.140000E+02 514 99429 177 54 266 205
 1.160000E+02 560 99380 203 60 275 216
 1.180000E+02 564 99345 188 56 297 232
 1.200000E+02 603 99317 210 54 318 246
 1.220000E+02 653 99278 226 65 338 261
 1.240000E+02 679 99231 231 58 358 281
 1.260000E+02 692 99198 216 67 386 288
 1.280000E+02 750 99148 248 74 401 303
 1.300000E+02 818 99100 287 81 420 317
 1.320000E+02 855 99045 295 79 450 340
 1.340000E+02 899 98992 307 77 479 363
 1.360000E+02 950 98934 313 94 505 381
 1.380000E+02 999 98877 328 96 537 405
 1.400000E+02 1064 98810 350 118 565 421
 1.420000E+02 1114 98745 360 121 597 445
 1.440000E+02 1184 98678 389 109 638 485
 1.460000E+02 1253 98593 404 130 670 506
 1.480000E+02 1354 98502 465 129 700 541
 1.500000E+02 1423 98414 486 128 747 573
 1.520000E+02 1551 98295 552 148 786 607
 1.540000E+02 1630 98184 568 166 833 637
 1.560000E+02 1772 98076 634 180 881 686
 1.580000E+02 1858 97960 655 171 940 737
 1.600000E+02 1928 97840 665 168 996 789
 1.620000E+02 2070 97723 727 186 1068 830
 1.640000E+02 2181 97586 751 207 1143 873
 1.660000E+02 2316 97430 781 242 1205 929
 1.680000E+02 2451 97279 807 273 1275 982
 1.700000E+02 2638 97096 919 251 1353 1049
 1.720000E+02 2805 96921 947 308 1430 1107
 1.740000E+02 3018 96712 1045 322 1529 1177
 1.760000E+02 3156 96490 1073 317 1622 1258
 1.780000E+02 3371 96249 1170 328 1719 1339
 1.800000E+02 3547 96039 1245 325 1822 1421
 1.820000E+02 3733 95826 1304 323 1934 1508
 1.840000E+02 4012 95598 1409 375 2057 1586
 1.860000E+02 4248 95340 1479 415 2182 1672
 1.880000E+02 4399 95086 1492 407 2336 1771
 1.900000E+02 4680 94807 1598 448 2459 1867
 1.920000E+02 4970 94504 1718 479 2582 1970
 1.940000E+02 5300 94155 1833 546 2725 2073
 1.960000E+02 5603 93767 1923 573 2881 2204
 1.980000E+02 6007 93395 2089 616 3051 2345
 2.000000E+02 6367 93007 2221 628 3246 2501

#Simulation ended (eff.: 0.945754, detail below)
	#Events: 82902
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
