# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 15800 0 0 0 0
 2.000000E+00 0 15800 0 0 0 0
 4.000000E+00 3 15800 3 0 0 0
 6.000000E+00 8 15799 7 1 0 0
 8.000000E+00 8 15799 7 0 0 1
 1.000000E+01 6 15798 5 0 0 1
 1.200000E+01 7 15798 6 0 0 1
 1.400000E+01 5 15797 4 0 0 1
 1.600000E+01 8 15797 7 0 0 1
 1.800000E+01 9 15796 7 1 1 1
 2.000000E+01 8 15795 5 1 1 2
 2.200000E+01 9 15795 6 0 1 3
 2.400000E+01 9 15792 4 2 2 3
 2.600000E+01 11 15790 7 1 2 3
 2.800000E+01 11 15790 6 2 2 3
 3.000000E+01 14 15789 8 3 3 3
 3.200000E+01 17 15788 11 3 3 3
 3.400000E+01 15 15788 8 3 4 3
 3.600000E+01 14 15787 8 1 4 4
 3.800000E+01 19 15785 8 3 6 6
 4.000000E+01 18 15784 7 3 8 6
 4.200000E+01 22 15781 10 4 8 6
 4.400000E+01 22 15778 11 1 8 8
 4.600000E+01 26 15775 13 2 9 9
 4.800000E+01 27 15772 12 2 11 11
 5.000000E+01 23 15768 7 2 11 12
 5.200000E+01 27 15765 8 4 12 13
 5.400000E+01 31 15763 11 1 12 17
 5.600000E+01 33 15759 12 1 15 18
 5.800000E+01 32 15758 10 1 17 19
 6.000000E+01 44 15751 21 2 18 19
 6.200000E+01 37 15749 15 0 19 20
 6.400000E+01 43 15749 17 4 20 20
 6.600000E+01 44 15744 17 4 22 20
 6.800000E+01 53 15741 23 5 23 22
 7.000000E+01 57 15737 26 4 25 23
 7.200000E+01 52 15733 21 4 25 23
 7.400000E+01 60 15730 26 6 26 24
 7.600000E+01 62 15726 27 5 27 26
 7.800000E+01 65 15723 30 4 28 27
 8.000000E+01 61 15720 22 6 29 29
 8.200000E+01 69 15719 29 5 32 30
 8.400000E+01 69 15719 26 6 33 31
 8.600000E+01 81 15712 36 6 36 32
 8.800000E+01 83 15710 34 9 38 32
 9.000000E+01 91 15704 42 4 39 37
 9.200000E+01 111 15698 57 9 42 37
 9.400000E+01 105 15693 50 10 42 37
 9.600000E+01 106 15688 49 7 47 40
 9.800000E+01 122 15683 51 18 51 42
 1.000000E+02 135 15677 61 16 55 44
 1.020000E+02 142 15670 63 19 57 45
 1.040000E+02 150 15655 63 18 64 51
 1.060000E+02 145 15647 53 17 66 57
 1.080000E+02 167 15636 70 17 72 59
 1.100000E+02 183 15628 81 15 79 63
 1.120000E+02 185 15619 76 15 88 67
 1.140000E+02 182 15608 68 12 93 73
 1.160000E+02 201 15599 78 14 100 78
 1.180000E+02 230 15590 98 18 107 80
 1.200000E+02 244 15579 102 18 113 88
 1.220000E+02 231 15571 84 14 120 96
 1.240000E+02 251 15559 91 23 125 100
 1.260000E+02 276 15546 108 22 137 106
 1.280000E+02 298 15527 114 35 145 108
 1.300000E+02 291 15506 99 29 149 118
 1.320000E+02 332 15485 124 38 160 124
 1.340000E+02 341 15468 119 38 170 133
 1.360000E+02 378 15452 144 37 181 143
 1.380000E+02 383 15428 140 36 189 151
 1.400000E+02 411 15410 153 42 200 158
 1.420000E+02 447 15380 170 49 214 165
 1.440000E+02 484 15351 188 47 228 184
 1.460000E+02 500 15321 190 47 241 193
 1.480000E+02 522 15288 195 40 269 206
 1.500000E+02 564 15263 216 54 281 210
 1.520000E+02 581 15222 226 46 294 216
 1.540000E+02 637 15189 253 52 312 231
 1.560000E+02 653 15151 259 47 320 243
 1.580000E+02 706 15115 292 48 339 255
 1.600000E+02 758 15082 320 59 359 263
 1.620000E+02 780 15042 301 72 378 282
 1.640000E+02 843 14987 337 74 401 300
 1.660000E+02 901 14955 364 87 428 311
 1.680000E+02 938 14912 364 95 450 325
 1.700000E+02 966 14864 360 100 481 341
 1.720000E+02 1059 14798 408 107 510 370
 1.740000E+02 1101 14734 416 102 534 403
 1.760000E+02 1220 14669 494 107 572 428
 1.780000E+02 1281 14588 502 122 602 455
 1.800000E+02 1414 14517 578 135 643 487
 1.820000E+02 1492 14438 612 145 683 512
 1.840000E+02 1551 14349 621 141 729 551
 1.860000E+02 1620 14252 636 144 777 585
 1.880000E+02 1746 14174 697 157 822 628
 1.900000E+02 1880 14076 771 169 880 659
 1.920000E+02 1952 13972 769 186 929 699
 1.940000E+02 2030 13864 781 197 979 739
 1.960000E+02 2208 13750 875 206 1051 792
 1.980000E+02 2338 13622 914 227 1111 839
 2.000000E+02 2419 13491 915 215 1198 895

#Simulation ended (eff.: 0.940215, detail below)
	#Events: 40024
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
