"time" "cases" "susceptible" "exposed" "infected" "removed" "dead"
"1" 0 10 127500 0 10 0 0
"2" 4 20 127489 10 6 1 3
"3" 8 30 127479 20 2 5 5
"4" 12 41 127468 29 1 8 8
"5" 16 43 127467 28 4 11 8
"6" 20 44 127465 24 8 12 8
"7" 24 55 127454 27 8 17 13
"8" 28 66 127443 32 6 26 18
"9" 32 80 127427 36 11 31 21
"10" 36 88 127419 38 8 40 25
"11" 40 100 127409 38 11 48 29
"12" 44 113 127397 41 13 52 35
"13" 48 128 127380 49 9 64 44
"14" 52 142 127364 56 10 72 50
"15" 56 163 127347 61 17 76 59
"16" 60 190 127318 70 20 88 72
"17" 64 223 127282 89 21 99 83
"18" 68 261 127242 112 27 111 88
"19" 72 298 127208 128 33 129 98
"20" 76 339 127166 145 37 146 113
"21" 80 375 127126 159 32 165 133
"22" 84 423 127077 170 49 188 149
"23" 88 483 127017 186 61 214 176
"24" 92 550 126948 216 56 255 202
"25" 96 640 126859 262 66 286 230
"26" 100 742 126753 314 67 319 270
"27" 104 825 126668 334 79 369 306
"28" 108 945 126547 382 102 424 339
"29" 112 1065 126431 436 96 482 392
"30" 116 1212 126279 482 125 547 446
"31" 120 1361 126123 546 129 632 498
"32" 124 1547 125926 627 147 715 553
"33" 128 1762 125720 708 174 814 629
"34" 132 1975 125499 799 198 910 698
"35" 136 2267 125208 916 232 1041 795
"36" 140 2579 124889 1040 261 1168 912
"37" 144 2945 124520 1185 303 1332 1041
"38" 148 3289 124161 1309 315 1524 1184
"39" 152 3722 123731 1459 394 1729 1330
"40" 156 4249 123180 1670 447 1944 1522
"41" 160 4831 122597 1910 470 2241 1754
"42" 164 5450 121966 2166 513 2559 1976
"43" 168 6166 121241 2420 610 2887 2226
"44" 172 6893 120515 2653 685 3299 2516
"45" 176 7791 119614 2973 802 3733 2825
"46" 180 8745 118616 3349 854 4207 3196
"47" 184 9915 117450 3857 916 4727 3621
"48" 188 11126 116196 4271 1043 5371 4084
"49" 192 12494 114837 4732 1182 6091 4607
"50" 196 13966 113323 5246 1304 6847 5197
"51" 200 15607 111633 5796 1448 7728 5879
"52" 204 17554 109697 6545 1630 8684 6587
"53" 208 19596 107606 7261 1832 9725 7375
"54" 212 21768 105377 7898 2058 10971 8280
"55" 216 24324 102831 8748 2353 12282 9246
"56" 220 27042 100061 9656 2588 13766 10348
"57" 224 30033 96986 10623 2770 15423 11668
"58" 228 33200 93804 11554 3062 17276 13038
"59" 232 36555 90397 12505 3438 19222 14466
"60" 236 40226 86729 13475 3761 21465 16132
"61" 240 44153 82799 14451 4171 23882 17910
"62" 244 48365 78517 15490 4628 26424 19787
"63" 248 52607 74214 16482 4872 29242 21849
"64" 252 57049 69739 17297 5267 32280 24152
"65" 256 61627 65125 17987 5638 35625 26629
"66" 260 66228 60494 18519 5970 39212 29212
"67" 264 70844 55870 18854 6262 42953 32051
"68" 268 75304 51427 18857 6524 47030 34985
"69" 272 79684 47038 18808 6685 51230 37964
"70" 276 83820 42956 18522 6680 55628 40979
"71" 280 87754 39032 18014 6739 60009 44071
"72" 284 91590 35205 17376 6807 64383 47120
"73" 288 95015 31759 16528 6650 68796 50238
"74" 292 98214 28577 15563 6485 73123 53302
"75" 296 101218 25700 14511 6403 77408 56135
"76" 300 103884 23078 13460 6054 81560 58976
"77" 304 106344 20638 12367 5839 85427 61551
"78" 308 108475 18575 11194 5460 89220 64131
"79" 312 110411 16674 10124 5072 92773 66500
"80" 316 112100 15006 9085 4623 96060 68722
"81" 320 113544 13595 8032 4184 99103 70793
"82" 324 114787 12430 7044 3788 101959 72626
"83" 328 115842 11404 6187 3379 104488 74239
"84" 332 116784 10481 5335 3072 106802 75733
"85" 336 117570 9735 4632 2749 108846 76979
"86" 340 118195 9148 3890 2421 110669 78167
"87" 344 118754 8603 3273 2110 112257 79212
"88" 348 119236 8121 2821 1783 113679 80073
"89" 352 119658 7724 2410 1568 114848 80824
"90" 356 120017 7390 2063 1277 115933 81551
"91" 360 120268 7142 1696 1058 116861 82135
"92" 364 120517 6925 1411 977 117614 82557
"93" 368 120710 6738 1199 795 118258 82975
"94" 372 120863 6594 999 684 118800 83289
"95" 376 121002 6459 843 585 119269 83564
"96" 380 121118 6347 687 524 119652 83794
"97" 384 121216 6258 580 442 119977 84000
"98" 388 121294 6186 492 349 120244 84182
"99" 392 121359 6126 421 294 120489 84322
"100" 396 121398 6086 345 237 120682 84450
"101" 400 121442 6051 283 192 120851 84550
