# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 7000 0 0 0 0
 2.000000E+00 1 7000 0 1 0 0
 4.000000E+00 2 6999 1 0 0 1
 6.000000E+00 2 6998 1 0 1 1
 8.000000E+00 2 6998 1 0 1 1
 1.000000E+01 5 6997 3 1 1 1
 1.200000E+01 3 6997 1 0 2 1
 1.400000E+01 5 6997 3 0 2 1
 1.600000E+01 7 6997 4 1 2 1
 1.800000E+01 4 6997 1 0 3 1
 2.000000E+01 6 6996 2 0 3 2
 2.200000E+01 7 6996 3 0 3 2
 2.400000E+01 6 6996 1 1 3 2
 2.600000E+01 12 6995 5 3 3 2
 2.800000E+01 11 6993 6 1 3 2
 3.000000E+01 11 6993 6 1 3 2
 3.200000E+01 10 6993 5 0 3 3
 3.400000E+01 8 6993 3 0 4 3
 3.600000E+01 10 6993 5 0 4 3
 3.800000E+01 13 6993 8 0 5 3
 4.000000E+01 11 6993 6 0 5 3
 4.200000E+01 14 6993 8 1 5 3
 4.400000E+01 12 6992 6 1 5 3
 4.600000E+01 13 6988 6 1 5 4
 4.800000E+01 15 6987 6 3 5 4
 5.000000E+01 14 6983 4 3 6 5
 5.200000E+01 15 6983 6 1 6 6
 5.400000E+01 17 6981 6 2 7 7
 5.600000E+01 26 6981 14 2 7 8
 5.800000E+01 24 6981 12 1 10 8
 6.000000E+01 23 6980 11 1 10 8
 6.200000E+01 25 6980 13 1 11 8
 6.400000E+01 21 6980 10 0 11 8
 6.600000E+01 23 6979 11 1 11 8
 6.800000E+01 25 6978 12 2 11 8
 7.000000E+01 29 6977 15 2 12 8
 7.200000E+01 33 6977 18 1 14 9
 7.400000E+01 36 6974 20 1 14 10
 7.600000E+01 41 6973 22 4 15 10
 7.800000E+01 36 6972 18 1 16 12
 8.000000E+01 43 6970 24 1 17 12
 8.200000E+01 42 6969 19 5 17 12
 8.400000E+01 41 6965 19 3 18 13
 8.600000E+01 41 6965 17 4 20 13
 8.800000E+01 51 6962 23 5 23 15
 9.000000E+01 58 6961 25 8 24 17
 9.200000E+01 57 6956 23 6 27 18
 9.400000E+01 63 6952 31 3 29 18
 9.600000E+01 63 6948 30 2 29 20
 9.800000E+01 72 6946 33 6 29 22
 1.000000E+02 76 6944 34 6 35 24
 1.020000E+02 95 6941 51 6 35 26
 1.040000E+02 97 6938 50 6 39 27
 1.060000E+02 106 6935 54 9 41 29
 1.080000E+02 97 6931 40 11 43 32
 1.100000E+02 112 6927 52 12 45 33
 1.120000E+02 117 6923 56 10 47 36
 1.140000E+02 124 6914 61 10 49 37
 1.160000E+02 134 6910 66 11 52 39
 1.180000E+02 139 6903 65 11 57 44
 1.200000E+02 152 6895 69 11 63 52
 1.220000E+02 176 6887 89 15 68 52
 1.240000E+02 179 6879 85 16 74 55
 1.260000E+02 190 6870 91 17 78 58
 1.280000E+02 199 6863 93 21 83 60
 1.300000E+02 229 6857 121 18 85 64
 1.320000E+02 233 6845 112 23 90 71
 1.340000E+02 244 6834 114 26 96 76
 1.360000E+02 245 6819 118 15 101 81
 1.380000E+02 258 6808 125 17 108 84
 1.400000E+02 290 6797 146 21 115 91
 1.420000E+02 304 6777 154 21 120 96
 1.440000E+02 325 6766 164 27 121 101
 1.460000E+02 335 6758 171 24 128 105
 1.480000E+02 359 6748 188 21 136 112
 1.500000E+02 344 6724 158 30 142 118
 1.520000E+02 379 6707 178 28 152 130
 1.540000E+02 415 6683 198 34 170 136
 1.560000E+02 468 6655 233 41 180 143
 1.580000E+02 475 6633 229 39 193 154
 1.600000E+02 499 6608 241 40 199 164
 1.620000E+02 547 6580 270 47 208 173
 1.640000E+02 555 6554 262 54 218 181
 1.660000E+02 630 6502 326 43 236 195
 1.680000E+02 657 6468 327 53 254 206
 1.700000E+02 684 6438 332 64 269 214
 1.720000E+02 720 6396 346 62 288 229
 1.740000E+02 774 6358 370 70 309 244
 1.760000E+02 870 6312 442 73 334 259
 1.780000E+02 876 6281 429 74 348 271
 1.800000E+02 950 6238 462 86 382 290
 1.820000E+02 977 6182 449 103 403 305
 1.840000E+02 1078 6124 512 113 425 327
 1.860000E+02 1145 6056 540 109 459 354
 1.880000E+02 1251 5990 618 103 482 380
 1.900000E+02 1326 5929 665 105 510 398
 1.920000E+02 1333 5870 633 110 539 421
 1.940000E+02 1484 5826 742 125 567 443
 1.960000E+02 1556 5748 732 158 605 482
 1.980000E+02 1559 5680 713 131 656 514
 2.000000E+02 1763 5586 856 141 707 545

#Simulation ended (eff.: 0.931393, detail below)
	#Events: 39302
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
