# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 4700 0 0 0 0
 2.000000E+00 0 4700 0 0 0 0
 4.000000E+00 2 4700 2 0 0 0
 6.000000E+00 1 4700 1 0 0 0
 8.000000E+00 6 4700 5 1 0 0
 1.000000E+01 2 4700 2 0 0 0
 1.200000E+01 1 4700 1 0 0 0
 1.400000E+01 2 4700 2 0 0 0
 1.600000E+01 1 4700 1 0 0 0
 1.800000E+01 2 4700 2 0 0 0
 2.000000E+01 5 4700 5 0 0 0
 2.200000E+01 4 4700 4 0 0 0
 2.400000E+01 3 4700 2 1 0 0
 2.600000E+01 4 4700 3 1 0 0
 2.800000E+01 4 4700 2 2 0 0
 3.000000E+01 6 4698 4 1 0 1
 3.200000E+01 7 4697 4 1 0 2
 3.400000E+01 8 4692 6 0 0 2
 3.600000E+01 7 4691 5 0 0 2
 3.800000E+01 11 4691 9 0 1 2
 4.000000E+01 7 4691 5 0 1 2
 4.200000E+01 13 4688 10 1 1 2
 4.400000E+01 9 4688 6 1 1 2
 4.600000E+01 8 4687 5 1 1 2
 4.800000E+01 10 4686 6 2 1 2
 5.000000E+01 18 4682 13 3 1 2
 5.200000E+01 11 4681 7 1 3 2
 5.400000E+01 16 4680 10 2 4 2
 5.600000E+01 16 4680 10 2 4 2
 5.800000E+01 24 4679 18 1 4 3
 6.000000E+01 16 4679 9 2 4 3
 6.200000E+01 21 4678 15 1 4 3
 6.400000E+01 26 4677 19 2 4 3
 6.600000E+01 16 4676 8 3 4 3
 6.800000E+01 24 4676 12 4 6 4
 7.000000E+01 23 4675 10 4 8 4
 7.200000E+01 30 4672 16 4 10 4
 7.400000E+01 32 4669 16 6 10 4
 7.600000E+01 31 4662 15 5 11 4
 7.800000E+01 37 4656 20 5 11 5
 8.000000E+01 41 4650 19 8 14 6
 8.200000E+01 37 4646 18 2 15 8
 8.400000E+01 54 4643 33 2 16 10
 8.600000E+01 53 4641 28 6 19 10
 8.800000E+01 64 4636 36 8 19 11
 9.000000E+01 73 4633 43 8 20 13
 9.200000E+01 70 4629 38 8 22 14
 9.400000E+01 74 4624 42 5 22 17
 9.600000E+01 75 4620 38 9 25 18
 9.800000E+01 86 4619 48 8 26 19
 1.000000E+02 88 4614 46 8 29 22
 1.020000E+02 91 4612 45 8 34 24
 1.040000E+02 99 4606 50 7 36 27
 1.060000E+02 104 4599 51 8 39 30
 1.080000E+02 113 4596 59 8 41 30
 1.100000E+02 116 4593 55 12 45 32
 1.120000E+02 131 4583 64 12 48 38
 1.140000E+02 140 4574 69 15 51 39
 1.160000E+02 153 4560 76 16 58 41
 1.180000E+02 153 4551 74 13 60 46
 1.200000E+02 167 4544 87 12 62 48
 1.220000E+02 178 4536 93 13 64 52
 1.240000E+02 186 4526 95 16 69 52
 1.260000E+02 217 4518 116 17 74 58
 1.280000E+02 218 4506 113 16 82 60
 1.300000E+02 208 4493 94 20 87 62
 1.320000E+02 231 4480 108 22 94 69
 1.340000E+02 243 4471 120 18 98 71
 1.360000E+02 239 4463 110 20 103 74
 1.380000E+02 266 4448 124 27 112 77
 1.400000E+02 294 4429 142 23 117 87
 1.420000E+02 314 4411 143 36 122 92
 1.440000E+02 363 4383 183 39 128 98
 1.460000E+02 351 4364 154 46 140 105
 1.480000E+02 383 4339 174 43 150 116
 1.500000E+02 395 4306 177 37 165 126
 1.520000E+02 435 4280 204 43 171 131
 1.540000E+02 464 4250 219 48 182 139
 1.560000E+02 480 4219 219 48 194 151
 1.580000E+02 518 4199 245 46 210 160
 1.600000E+02 555 4168 267 49 223 169
 1.620000E+02 603 4134 287 51 245 183
 1.640000E+02 641 4098 300 61 258 195
 1.660000E+02 682 4059 322 63 273 207
 1.680000E+02 705 4031 328 59 290 222
 1.700000E+02 756 3989 350 63 309 238
 1.720000E+02 806 3951 380 59 329 258
 1.740000E+02 845 3908 399 58 354 273
 1.760000E+02 838 3849 354 78 377 286
 1.780000E+02 919 3798 408 80 404 304
 1.800000E+02 1026 3750 475 93 427 324
 1.820000E+02 1070 3692 482 100 452 343
 1.840000E+02 1167 3631 547 101 474 367
 1.860000E+02 1227 3586 579 103 510 385
 1.880000E+02 1257 3527 565 103 541 412
 1.900000E+02 1353 3468 613 109 583 434
 1.920000E+02 1405 3417 626 109 620 460
 1.940000E+02 1511 3358 671 129 659 485
 1.960000E+02 1573 3292 693 127 696 513
 1.980000E+02 1677 3221 750 133 745 538
 2.000000E+02 1774 3156 798 138 786 566

#Simulation ended (eff.: 0.933698, detail below)
	#Events: 35812
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
