# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 10 100000 0 10 0 0
 2.000000E+00 14 99995 4 7 1 2
 4.000000E+00 14 99989 4 7 3 2
 6.000000E+00 18 99986 9 5 4 2
 8.000000E+00 18 99983 9 5 4 2
 1.000000E+01 21 99979 11 4 5 3
 1.200000E+01 22 99977 12 3 5 4
 1.400000E+01 29 99974 17 4 7 5
 1.600000E+01 26 99972 12 4 8 7
 1.800000E+01 30 99967 14 5 10 8
 2.000000E+01 31 99964 15 2 12 9
 2.200000E+01 36 99962 17 4 14 10
 2.400000E+01 36 99959 15 5 14 11
 2.600000E+01 39 99956 16 6 15 12
 2.800000E+01 49 99949 26 4 17 14
 3.000000E+01 48 99945 23 4 18 15
 3.200000E+01 58 99940 29 6 22 15
 3.400000E+01 63 99937 31 7 22 17
 3.600000E+01 71 99932 34 10 23 19
 3.800000E+01 75 99926 36 10 26 20
 4.000000E+01 88 99918 45 12 29 20
 4.200000E+01 78 99913 32 13 31 22
 4.400000E+01 84 99908 36 13 34 23
 4.600000E+01 94 99903 39 16 36 25
 4.800000E+01 112 99891 54 14 41 28
 5.000000E+01 113 99884 51 14 43 31
 5.200000E+01 128 99878 62 12 48 36
 5.400000E+01 133 99869 61 16 50 38
 5.600000E+01 136 99854 56 18 54 42
 5.800000E+01 147 99837 70 10 60 45
 6.000000E+01 167 99832 79 16 65 49
 6.200000E+01 176 99818 80 19 72 54
 6.400000E+01 178 99808 76 17 80 59
 6.600000E+01 211 99791 91 29 86 63
 6.800000E+01 229 99770 98 31 93 68
 7.000000E+01 235 99755 96 22 103 81
 7.200000E+01 262 99741 105 29 108 90
 7.400000E+01 270 99725 102 33 119 94
 7.600000E+01 285 99702 108 34 127 102
 7.800000E+01 307 99674 115 34 142 110
 8.000000E+01 347 99639 144 37 152 114
 8.200000E+01 358 99617 141 46 159 118
 8.400000E+01 396 99590 169 34 171 135
 8.600000E+01 414 99568 165 40 189 143
 8.800000E+01 447 99547 181 42 204 150
 9.000000E+01 471 99521 179 55 223 157
 9.200000E+01 515 99486 197 58 238 174
 9.400000E+01 527 99450 193 52 253 190
 9.600000E+01 580 99415 218 68 267 199
 9.800000E+01 617 99370 229 77 289 211
 1.000000E+02 656 99329 236 84 311 229
 1.020000E+02 727 99266 285 78 336 250
 1.040000E+02 743 99225 273 78 361 269
 1.060000E+02 808 99167 309 78 389 290
 1.080000E+02 865 99109 330 88 413 306
 1.100000E+02 907 99052 320 92 445 341
 1.120000E+02 1004 98965 381 101 479 361
 1.140000E+02 1087 98871 416 116 505 386
 1.160000E+02 1128 98795 421 119 535 412
 1.180000E+02 1220 98697 469 123 571 445
 1.200000E+02 1300 98605 494 136 622 466
 1.220000E+02 1368 98516 516 133 662 499
 1.240000E+02 1451 98426 533 148 718 535
 1.260000E+02 1561 98327 586 157 757 571
 1.280000E+02 1636 98229 593 172 812 605
 1.300000E+02 1774 98110 666 170 860 652
 1.320000E+02 1866 97999 687 185 918 687
 1.340000E+02 1964 97882 715 185 979 732
 1.360000E+02 2058 97761 708 215 1037 792
 1.380000E+02 2208 97612 784 220 1107 841
 1.400000E+02 2342 97482 841 231 1173 885
 1.420000E+02 2467 97332 871 242 1245 948
 1.440000E+02 2610 97170 912 262 1331 1001
 1.460000E+02 2778 97002 966 282 1423 1066
 1.480000E+02 2909 96841 982 291 1506 1145
 1.500000E+02 3150 96648 1104 304 1610 1212
 1.520000E+02 3293 96434 1126 325 1688 1287
 1.540000E+02 3562 96207 1261 347 1796 1376
 1.560000E+02 3766 95989 1324 365 1916 1459
 1.580000E+02 3987 95718 1377 422 2038 1534
 1.600000E+02 4262 95425 1483 452 2167 1625
 1.620000E+02 4436 95188 1492 459 2316 1733
 1.640000E+02 4698 94902 1594 468 2448 1836
 1.660000E+02 5082 94572 1795 511 2581 1931
 1.680000E+02 5368 94228 1897 529 2725 2044
 1.700000E+02 5666 93914 1996 558 2891 2153
 1.720000E+02 5980 93568 2072 621 3064 2263
 1.740000E+02 6347 93177 2176 669 3256 2404
 1.760000E+02 6732 92786 2311 702 3437 2552
 1.780000E+02 7144 92323 2474 716 3648 2706
 1.800000E+02 7473 91855 2520 754 3868 2883
 1.820000E+02 7980 91355 2728 766 4126 3081
 1.840000E+02 8442 90814 2867 841 4372 3252
 1.860000E+02 8871 90295 2970 892 4627 3445
 1.880000E+02 9424 89722 3193 958 4886 3616
 1.900000E+02 10005 89084 3397 990 5204 3853
 1.920000E+02 10498 88459 3472 1073 5509 4088
 1.940000E+02 11089 87794 3680 1086 5842 4358
 1.960000E+02 11935 87034 4090 1154 6188 4614
 1.980000E+02 12499 86269 4150 1242 6557 4903
 2.000000E+02 13140 85489 4324 1295 6961 5184

#Simulation ended (eff.: 0.948582, detail below)
	#Events: 176330
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
