# time 'Cases' 'Susceptible' 'Exposed' 'Infected' 'Removed' 'Deads'
 0.000000E+00 0 15800 0 0 0 0
 2.000000E+00 0 15800 0 0 0 0
 4.000000E+00 1 15800 1 0 0 0
 6.000000E+00 1 15800 1 0 0 0
 8.000000E+00 4 15800 4 0 0 0
 1.000000E+01 5 15799 4 1 0 0
 1.200000E+01 4 15798 2 1 1 0
 1.400000E+01 6 15798 4 1 1 0
 1.600000E+01 4 15798 2 0 2 0
 1.800000E+01 7 15798 5 0 2 0
 2.000000E+01 9 15797 5 2 2 0
 2.200000E+01 7 15795 3 2 2 0
 2.400000E+01 9 15795 5 2 2 0
 2.600000E+01 12 15794 7 3 2 0
 2.800000E+01 8 15794 4 2 2 0
 3.000000E+01 10 15793 7 0 3 0
 3.200000E+01 8 15793 5 0 3 0
 3.400000E+01 9 15793 6 0 3 0
 3.600000E+01 11 15793 5 1 3 2
 3.800000E+01 14 15792 7 2 4 2
 4.000000E+01 12 15792 6 1 5 2
 4.200000E+01 11 15792 3 2 5 3
 4.400000E+01 13 15792 6 0 5 4
 4.600000E+01 16 15792 8 1 5 4
 4.800000E+01 17 15790 9 1 7 4
 5.000000E+01 14 15790 6 0 7 5
 5.200000E+01 21 15789 10 3 7 5
 5.400000E+01 17 15787 8 1 7 5
 5.600000E+01 18 15786 8 1 7 6
 5.800000E+01 19 15786 9 0 8 7
 6.000000E+01 22 15784 11 1 10 7
 6.200000E+01 29 15784 17 1 11 8
 6.400000E+01 27 15782 12 3 11 9
 6.600000E+01 31 15779 14 3 12 10
 6.800000E+01 32 15778 14 4 12 10
 7.000000E+01 34 15775 17 2 13 11
 7.200000E+01 44 15774 24 4 14 11
 7.400000E+01 46 15771 23 6 16 12
 7.600000E+01 53 15764 25 8 18 14
 7.800000E+01 50 15762 21 8 20 14
 8.000000E+01 59 15758 30 6 22 16
 8.200000E+01 65 15751 32 8 23 17
 8.400000E+01 63 15748 29 8 23 18
 8.600000E+01 68 15747 33 7 24 20
 8.800000E+01 67 15744 30 6 25 23
 9.000000E+01 69 15740 26 10 26 25
 9.200000E+01 82 15729 37 8 30 29
 9.400000E+01 89 15725 40 9 33 31
 9.600000E+01 97 15722 48 5 35 35
 9.800000E+01 108 15716 52 9 40 37
 1.000000E+02 117 15705 58 9 45 39
 1.020000E+02 123 15701 55 11 51 43
 1.040000E+02 131 15695 61 9 54 47
 1.060000E+02 147 15688 65 16 57 52
 1.080000E+02 172 15675 85 16 64 56
 1.100000E+02 171 15667 78 13 68 63
 1.120000E+02 181 15650 85 14 74 65
 1.140000E+02 192 15634 91 13 80 69
 1.160000E+02 198 15622 85 19 88 71
 1.180000E+02 215 15613 97 19 95 75
 1.200000E+02 243 15606 113 25 98 80
 1.220000E+02 264 15591 126 30 102 82
 1.240000E+02 253 15574 113 20 109 92
 1.260000E+02 277 15564 125 24 114 98
 1.280000E+02 291 15546 128 25 125 106
 1.300000E+02 321 15525 141 31 131 115
 1.320000E+02 354 15506 164 32 144 122
 1.340000E+02 390 15484 183 39 156 129
 1.360000E+02 406 15458 186 38 166 140
 1.380000E+02 412 15428 172 41 179 154
 1.400000E+02 464 15392 207 47 197 160
 1.420000E+02 471 15359 195 53 210 169
 1.440000E+02 513 15325 218 51 223 184
 1.460000E+02 542 15281 224 54 239 200
 1.480000E+02 579 15240 243 61 254 210
 1.500000E+02 619 15213 259 67 273 222
 1.520000E+02 665 15177 279 71 292 235
 1.540000E+02 705 15140 298 71 311 250
 1.560000E+02 731 15089 300 75 327 267
 1.580000E+02 762 15031 299 82 351 283
 1.600000E+02 856 14975 352 98 373 303
 1.620000E+02 911 14905 379 96 404 328
 1.640000E+02 982 14860 427 87 431 355
 1.660000E+02 1025 14807 435 84 461 383
 1.680000E+02 1125 14746 483 102 490 409
 1.700000E+02 1181 14679 501 105 533 432
 1.720000E+02 1240 14601 515 119 567 450
 1.740000E+02 1319 14528 543 127 603 479
 1.760000E+02 1368 14456 549 138 639 500
 1.780000E+02 1521 14369 653 144 674 526
 1.800000E+02 1576 14270 639 165 725 554
 1.820000E+02 1678 14189 676 167 764 596
 1.840000E+02 1796 14083 721 183 812 636
 1.860000E+02 1913 13961 768 185 870 684
 1.880000E+02 2078 13851 840 212 942 727
 1.900000E+02 2236 13736 930 212 1011 776
 1.920000E+02 2326 13593 938 229 1079 816
 1.940000E+02 2478 13459 1013 227 1151 863
 1.960000E+02 2603 13319 1030 262 1230 913
 1.980000E+02 2782 13160 1105 269 1301 983
 2.000000E+02 2922 13015 1138 288 1384 1047

#Simulation ended (eff.: 0.941739, detail below)
	#Events: 47199
	#Valid embedding but no longer unary when required: 0.000000
	#Valid embedding but not binary when required: 0.000000
	#Clashing instance: 0.000000
	#Lazy negative update: 1.000000
	#Lazy negative update of non local instances: 0.000000
	#Perturbation interrupting time advance: 0.000000
